10000e	10000:a
génome	genom
génotypage	gentypning
généalogie	genealogi
généalogiste	genealog
génépi	absint
général	allmän
général	general
généralisation	generalisering
généraliser	förallmänliga
génération	generation
généreux	generös
générique	vinjett
géocentrique	geocentrisk
géochronologie	geokronologi
géocroiseur	jordnära objekt
géographe	geograf
géographie	geografi
géographique	geografisk
géologie	geologi
géologique	geologisk
géologue	geolog
géomorphologie	geomorfologi
géométrie	geometri
géométrique	geometrisk
géopolitique	geopolitisk
géorgien	georgisk
géorgien	georgiska
géotechnique	geoteknik
géotextile	geotextil
géranium	näva
gérant	administratör
gérer	förvalta
gérontocratie	gerontokrati
gésier	muskelmage
gésir	ligga
gêner	hindra
gêné	förlägen
gîte	strandningställe
gîte	nattkvarter
habibi	habibi
habilité	makt
habillement	beklädande
habiller	kläda
habitant	invånare
habitation	boning
habiter	bo
habitude	vana
habituel	vanlig
habituellement	vanligen
hache	bila
hacher	hugga
hachoir	köttkvarn
hackathon	hackathon
hackeur	hackare
hackney	Hackneyhäst
hacktiviste	hacktivist
hadith	hadith
hadron	hadron
hafnium	hafnium
hagiographie	hagiografi
hahnium	hahnium
haie	häck
haine	hat
hale-bas	kick
haleine	andning
haleter	flämta
hallebarde	hillebard
hallucination	hallucination
halo	halo
halogène	halogen
halopéridol	haloperidol
hamac	hängmatta
hamburger	hamburgare
hameçon	fiskekrok
hammam	hamam
hampe	notskaft
hamster	hamster
hanche	höft
handballeur	handbollsspelare
handicap	handikapp
hangeul	hangul
hanneton	majbagge
hanséatique	hanseatisk
haoussa	hausa
haptique	haptik
harcèlement	trakasseri
hard-edge	hard-edge
hard-top	hardtop
hardi	fräck
harelde boréale	alfågel
harem	harem
hareng	sill
harfang	fjälluggla
harfang des neiges	fjälluggla
hargneux	vresig
haricot	böna
haricot de Lima	Limabönan
haricot vert	haricots verts
harle bièvre	storskrake
harle huppé	småskrake
harle piette	salskrake
harmonica	munspel
harmoniser	harmonisera
harpe	harpa
harpie	harpyja
harpie féroce	harpyja
harpiste	harpspelare
harpon	harpun
harponner	harpunera
harponneur	harpunerare
hasard	slump
hasardeux	riskabel
haschich	haschisch
hassium	hassium
hauban	vant
haustration	haustra
haut	ljudelig
haut	högt
haut fait	stordåd
haut fourneau	masugn
haut les mains	upp med händerna
haut-le-cœur	kväljning
haut-parleur	högtalare
hautbois	oboe
hautboïste	oboist
haute saison	högsäsong
haute tension	högspänning
hauteur	höjd
havir	sveda
havre	hamn
hawaïen	hawaiisk
hawaïen	hawaiiska
haïr	hata
haïtien	haitisk
heatmap	färgdiagram
heavy metal	heavy metal
heavy métal	heavy metal
hebdomadaire	veckolig
hectare	hektar
hectogramme	hektogram
hectolitre	hektoliter
hectomètre	hektometer
hectowatt	hektowatt
hellébore fétide	klockjulros
hellénique	hellensk
hellénistique	hellenistisk
helminthe	inälvmask
helvétique	helvetisk
hem	hm
hendécagone	hendekagon
hennir	gnägga
hennissement	gnägg
henry	henry
herbe	gräs
herbes de Provence	herbes de Provence
herbicide	herbicid
hermaphrodite	hermafrodit
hermine	hermelin
herminette	däxel
hernie	bråck
hernie discale	diskbråck
herpétologie	herpetologi
herpétologique	herpetologisk
hersage	harvning
herse	grind
hersement	harvning
herser	harva
herseur	harvare
hertz	hertz
heure	timme
heure de pointe	rusningstrafik
heure d’été	sommartid
heures supplémentaires	övertid
heureusement	lycligtvis
heureux	lycklig
heurter	banka
hexaflexagone	hexaflexagon
hexagonal	hexagonal
hexagone	hexagon
hexalogie	hexalogi
hexaèdre	hexaeder
hexode	hexod
hibernie défeuillante	Lindmätare
hibou	uggla
hibou des marais	jorduggla
hibou grand-duc	berguv
hibou moyen-duc	hornuggla
hibou petit-duc	dvärguv
hic	hake
hideux	hidös
hier	igår
high-tech	högteknologisk
hindi	hindi
hindouisme	hinduism
hippocampe	hippokampos
hippocampe à museau court	kortnosad sjöhäst
hippodrome	galoppbana
hippologie	hippologi
hippologue	hippolog
hippopotame	flodhäst
hipster	hipster
hirondelle	svala
hirondelle de fenêtre	hussvala
hirondelle de rivage	backsvala
hirondelle de rochers	klippsvala
hirondelle rousseline	rostgumpsvala
hirondelle rustique	ladusvala
hirsutisme	hirsutism
hispide	strävhårig
hisser	hissa
histamine	histamin
histogramme	histogram
histoire	historia
histoire de	för att
histoire de l’art	konsthistoria
histoire d’amour	kärlekshistoria
historien	historiker
historique	historisk
historique	historik
hiver	vinter
hivernal	vintrig
hièble	sommarfläder
hiérarchie	hierarki
hiérarchique	hierarkisk
hiératique	prästerlig
hiérogamie	hieros gamos
hiéroglyphe	hieroglyf
hoazin	hoatzin
hoazin huppé	hoatzin
hocher	nicka
hockey	hockey
hockey sur glace	ishockey
hockeyeur	hockeyspelare
holisme	holism
holmium	holmium
hologramme	hologram
holonyme	holonym
homard	hummer
homme	man
homme au foyer	hemmaman
homme blanc	kvit människa
homme de Neandertal	neandertalmänniska
homme de Néandertal	neandertalmänniska
homme des cavernes	grottmänniska
homme d’État	statsman
homme libre	fri människa
homme-robot	robotmänniska
hommesse	maninna
homogène	homogen
homogénéiser	homogenisera
homogénéité	homogenitet
homologuer	erkänna
homonyme	homonym
homonymie	homonymi
homophone	homofon
homosexualité	homosexualitet
homosexuel	homosexuell
homéopathie	homeopati
homéostasie	homeostas
hongkongais	Hongkongs
hongrois	ungersk
hongrois	ungerska
honneur	ära
honnête	anständig
honnêteté	artighetsbevis
honorer	hedra
honorifique	hedrande
honte	vanära
hooligan	huligan
hoplophobie	hoplofobi
hoquet	hicka
hoqueter	hicka
horaire	tidtabell
horizon	horisont
horizontal	horisontal
horloge	klocka
horloge atomique	atomur
horloge parlante	Fröken Ur
horloger	urmakare
hormone	hormon
horodateur	parkeringsautomat
horrible	förskräcklig
hors d’usage	obruklig
hors-jeu	offside
horst	horst
hortensia	hortensiasläktet
horticulture	hortikultur
hosto	sjukan
hot-dog	varmkorv
hotte aspirante	spisfläkt
hotu	noskarp
houblon	humle
houe	hacka
houle	dyning
houmous	hummus
hourra	hurra
houx	järnek
hovercraft	svävare
huard	svartnäbbad islom
huile	olja
huile de foie de morue	fiskleverolja
huile de morue	fiskleverolja
huile de noix	valnötsolja
huile de palme	palmolja
huile de tournesol	solrosolja
huile d’olive	olivolja
huile minérale	mineralolja
huit	åtta
huit	åtta
huit jours	vecka
huit-cents	åttahundra
huitre	ostron
hulotte	kattuggla
humain	mänsklig
humain	människa
humanisme	humanism
humanité	mänsklighet
humanoïde	humanoid
humer	känna doften av
humeur	humör
humide	fuktig
humidité	fuktighet
humilier	förödmjuka
humilité	ödmjukhet
humoriste	komiker
humoristique	humoristisk
humus	humus
humérus	överarmsben
hune	märs
huppe fasciée	härfågel
hurler	böla
hussard	husar
hutte	hydda
huître	ostron
huîtrier pie	strandskata
hybridation	hybridisering
hydraulique	hydraulisk
hydravion	hydroplan
hydrocarbure	kolväte
hydrocureur	slamsug
hydrogène	väte
hydrogéologie	hydrogeologi
hydrogéologique	hydrogeologisk
hydrologique	hydrologisk
hydromel	mjöd
hydrométéorologique	hydrometeorologisk
hydronyme	hydronym
hydroponie	vattenkultur
hydroptère	bärplansbåt
hydroxyde de sodium	natriumhydroxid
hydrozincite	hydrozinkit
hygiène	hygien
hygiénique	hygienisk
hygromètre	hygrometer
hygroscopique	hygroskopisk
hymne	hymn
hymne national	nationalsång
hyménoptère	steklar
hyoscyamine	hyoscyamin
hyper-ventiler	hyperventilera
hyperbole	hyperbol
hypercalcémie	hyperkalcemi
hypercholestérolémie	hyperkolesterolemi
hypercorrection	hyperkorrektion
hyperemesis gravidarum	hyperemesis gravidarum
hyperkaliémie	hyperkalemi
hyperlien	hyperlänk
hypermétropie	översynthet
hyperonyme	hyperonym
hypersonique	hypersonisk
hyperthermophile	hypertermofil
hyperthyroïdie	hyperthyreos
hyperventilation	hyperventilation
hyperventiler	hyperventilera
hypne cyprès	bergklomossa
hypnose	hypnos
hypnotiser	hypnotisera
hypocalcémie	hypokalcemi
hypochlorite de sodium	natriumhypoklorit
hypocoristique	hypokorism
hypocrisie	hyckleri
hypocrite	hycklande
hypocrite	hycklare
hypokaliémie	hypokalemi
hypolaïs des oliviers	olivgulsångare
hypolaïs ictérine	härmsångare
hypolaïs polyglotte	polyglottsångare
hypolaïs pâle	eksångare
hypotension	hypotension
hypothermie	hypotermi
hypothèque	hypotek
hypothèse	hypotes
hypothèse du continu	kontinuumhypotesen
hypothétique	hypotetisk
hypoténuse	hypotenusa
hypérodon austral	sydlig näbbval
hystérectomie	hysterektomi
hystérie	hysteri
hystérique	hysterisk
hyène	hyena
hyène brune	brun hyena
hyène rayée	strimmig hyena
hyène tachetée	fläckig hyena
hâte	hast
hâter	accelerera
hébergement	härbärgerande
héberger	hysa
hébraïque	hebreisk
hébreu	hebreiska
hébéphilie	hebefili
hébétant	förslöande
hébéter	fördumma
hébétude	slöhet
hécatombe	blodbad
hédonisme	hedonism
hédoniste	hedonistisk
hédoniste	hedonist
hégémonie	hegemoni
héliaque	heliakisk
hélice	propeller
hélicoptère	helikopter
hélicoïdal	spiralformig
héliocentrique	heliocentrisk
héliochromie	färgfotografering
héliographie	solbeskrivning
héliopause	heliopaus
hélioscope	helioskop
héliosphère	heliosfär
héliotropisme	heliotropism
hélium	helium
hématie	röd blodkropp
hématite	hematit
hématocèle	blodbrock
hématophobie	hematofobi
hématurie	blodpinkning
hémicycle	halvcirkel
hémiole	hemiol
hémiprocné	trädseglare
hémisphère	hemisfär
hémisphère cérébral	hjärnhalva
hémisphérique	halvklotformig
hémoglobine	hemoglobin
hémogramme	blodstatus
hémolytique	hemolytisk
hémopathie	blodsjukdom
hémophobie	hemofobi
hémoptysie	blodspottning
hémorragie	blödning
hénothéisme	henoteism
hépatique	hepatisk
hépatite	hepatit
hépatocyte	hepatocyt
héraldique	heraldisk
héraldique	heraldik
hérisser	uppreta
hérisson	igelkott
héritage	arv
hériter	ärva
héron	häger
héron bihoreau	natthäger
héron cendré	gråhäger
héron cocoi	cocoihäger
héron coiffé	svartkronad häger
héron crabier	rallhäger
héron de Humblot	madagaskarhäger
héron des Galapagos	Galápagoshäger
héron flûte-du-soleil	visselhäger
héron goliath	goliathäger
héron impérial	kejsarhäger
héron intermédiaire	mellanhäger
héron mélanocéphale	svarthuvad häger
héron pie	svartvit häger
héron pourpré	purpurhäger
héron strié	mangrovehäger
héron typhon	stornäbbad häger
héron vert	grönryggig häger
héron à tête blanche	vithalsad häger
héros	hjälte
héroïne	hjältinna
héroïque	heroisk
héréditaire	hereditär
hérédité	hereditet
hérésie	kätteri
hérétique	heretisk
hésiter	tveka
hétaïre	hetär
hétérogène	heterogen
hétéronationalisme	heteronationalism
hétéronormativité	heteronormativitet
hétérozygote	heterozygot
hêtraie	bokskog
hêtre	bok
hôpital	sjukhus
hôte	gäst
hôtel	hotell
hôtel borgne	skumt hotell
hôtel de ville	rådhus
hôtel des monnaies	mynt
hôtesse	värdinna
ibis falcinelle	svart ibis
iceberg	isberg
ichthyologique	iktyologisk
ichtyologie	iktyologi
ici	här
iconoclasme	ikonoklasm
iconoclaste	bildstormare
iconostase	ikonostas
ictus amnésique	transitorisk global amnesi
ictère	gulsot
icône	ikon
identifiable	identifierbar
idiolecte	idiolekt
idiomatique	idiomatisk
idiosyncratique	idiosynkratisk
idiot	dum
idiot	idiot
idiot du village	byfåne
idiot utile	nyttig idiot
idiotie	idioti
idole	idol
idolâtrer	avguda
idyllique	idyllisk
idéal	ideal
idéalisme	idealism
idéaliste	idealist
idée	idé
idéogramme	ideogram
idéographique	ideografisk
idéolangue	artificiellt språk
iel	hen
ielle	hen
if	idegran
igloo	iglo
iglou	iglo
igname	jams
ikebana	ikebana
il	det
il faut se méfier de l’eau qui dort	i de lugnaste vatten går de största fiskarna
il ne faut pas réveiller le chat qui dort	väck inte den björn som sover
il ne faut pas vendre la peau de l’ours avant de l’avoir tué	sälj inte skinnet innan björnen är skjuten
il n’y a pas de fumée sans feu	ingen rök utan eld
il n’y a pas de mauvais temps, juste de mauvais équipements	det finns inget dåligt väder, bara dåliga kläder
il n’y a pas de quoi	ingen orsak
il y a	för … sedan
illico	direkt
illimité	obegränsad
illogique	ologisk
illusion	illusion
illustrateur	illustratör
illustration	illustration
illustrer	illustrera
illégal	olaglig
illégitime	illegitim
ils	de
image	bild
imagination	fantasi
imberbe	skägglös
imbuvable	odrickbar
imiter	imitera
immanquable	ofelbar
immatriculer	immatrikulera
immatériel	andlig
immense	ofantlig
immensité	gränslöshet
immeuble	fastighet
immigrant	immigrant
immigration	invandring
immigration illégale	illegal invandring
immigrer	invandra
immigré	invandrar-
immigré	invandrare
immonde	oren
immoral	omoralisk
immortalité	odödlighet
immortel	odödlig
immortelle	eternell
immunité	immunitet
immunité de groupe	flockimmunitet
immunologie	immunologi
immunosuppression	immunsuppression
immédiat	omedelbar
immédiatement	omedelbart
impartial	opartisk
impartialité	opartiskhet
impatience	otålighet
impatient	otålig
imperceptible	omärklig
imperceptiblement	omärkligt
imperfection	ofullkomlighet
imperméable	impermeabel
impersonnel	opersonlig
impliquer	innebära
implorer	anropa
imploser	implodera
implosion	implosion
implémenter	implementera
impoli	oartig
impopulaire	impopulär
importance	vikt
important	viktig
important	huvudsak
important	viktigpetter
imposer	framtvingas
imposition	handpåläggning
impossibilité	omöjlighet
impossible	omöjlig
impression	intryck
impressionner	imponera
impressionnisme	impressionism
imprimante	skrivare
imprimante 3D	3D-skrivare
imprimante laser	laserskrivare
imprimer	trycka
imprimerie	tryckeri
imprimeur	tryckare
improbabilité	osannolikhet
improbité	oärlighet
improductif	improduktiv
improvisation	improvisation
imprudence	oförsiktighet
imprudent	oförsiktig
imprégner	genomsyra
imprévu	oförutsedd
impulsif	driv-
impulsion	impuls
impédance	impedans
impératrice	kejsarinna
impérial	kejserlig
impérialiste	imperialistisk
impérialiste	imperialist
impérieux	myndig
impérissable	oförgänglig
impétueux	häftig
impôt	skatt
impôt sur le revenu	inkomstskatt
in situ	in situ
in vino veritas	in vino veritas
inabordable	otillgänglig
inaccessibilité	otillgänglighet
inaccessible	otillgänglig
inactif	overksam
inaction	overksamhet
inactiver	inaktivera
inactivité	inaktivitet
inadmissibilité	otillåtlighet
inadmissible	otillåtlig
inadvertance	förbiseende
inadéquat	omotsvarig
inaliénabilité	oförytterlighet
inaliénable	oförytterlig
inalliable	oförenlig
inaltérabilité	oföränderlighet
inaltérable	oföränderlig
inamical	ovänlig
inamissibilité	omistlighet
inamissible	omistlig
inamovibilité	oavsättlighet
inanité	fåfänglighet
inappétence	aptitlöshet
inapte	odudlig
inaptitude	odudlighet
inattendu	oväntad
inaudibilité	ohörbarhet
inaugurer	inviga
incalculable	oberäknelig
incapable	odugling
incapacité	oförmåga
incendie	brand
incertain	oviss
incertitude	osäkerhet
inceste	incest
incinérer	förbränna
incisif	gräll
incisive	framtand
incitant	incitament
inciter	sporra
incivil	ohövlig
incivilisable	obildbar
incognito	inkognito
incohérent	absurd
incolore	färglös
incommensurable	inkommensurabel
incompatibilité	oförenlighet
incomplet	ofullständig
incompris	misskänd
incompréhensibilité	obegriplighet
incompréhensible	obegriplig
incompétence	inkompetens
inconcevable	ofattbar
inconciliabilité	oförenlighet
inconciliable	oförenlig
inconditionné	ovillkorlig
inconnu	obekant
inconnu	främling
inconquis	oerövrad
inconsciemment	omedvetet
inconscience	omedvetenhet
inconscient	omedveten
inconstant	ombytlig
inconséquemment	inkonsekvent
incontestabilité	obestridlighet
incontestable	obestridlig
incontesté	obestridd
incontrôlable	okontrollerbar
incontrôlé	okontrollerad
inconvénient	nackdel
incorporel	okroppslig
incorrect	inkorrekt
incriminer	anklaga
incrochetable	dyrkfri
incroyablement	otroligt
incrustation	chroma key
incubateur	inkubator
inculper	anklaga
inculquer	inskärpa
inculte	obildad
incunable	inkunabel
incurie	likgiltighet
indemniser	hålla skadeslös
indemnité	ersättning
indescriptible	obeskrivlig
indescriptiblement	obeskrivligt
indestructible	oförstörbar
indexer	indexera
indien	indiansk
indifférence	likgiltighet
indifférent	likgiltig
indigence	armod
indigent	utblottad
indigeste	hårdsmält
indignation	förtrytelse
indigner	harma
indiquer	uppvisa
indiscret	taktlös
indispensable	oumbärlig
indium	indium
individu	individ
individualité	individualitet
individuellement	individuellt
indivisible	odelbar
indo-européen	indoeuropeisk
indo-européen	indoeuropeiska
indocile	oläraktig
indomptable	okuvlig
indompté	obändig
indonésien	indonesisk
indonésien	indonesiska
indubitable	tveklös
indubitablement	tveklöst
inductance	induktans
indulgence	avlatsbrev
indulgence plénière	full avlat
indulgent	överseende
indument	otillbörligen
industrialisation	industrialisering
industrie	industri
industrie minière	gruvdrift
industriel	industriell
indéfinissable	odefinierbar
indélicat	ofin
indémontrable	obevislig
indéniable	oneklig
indéniablement	onekligen
indépendance	självständighet
indépendant	oberoende
ineffaçable	outplånligt
inertie	tröghet
inexistant	obefintlig
inexpugnable	ointaglig
infaillibilité	ofelbarhet
infanterie	infanteri
infanticide	barnadråp
infantile	infantil
infarctus	infarkt
infarctus du myocarde	hjärtinfarkt
infernal	helvetisk
infini	ändlös
infinitif	infinitiv
infinitésimal	infinitesimal
infirmier	sjukvårdare
infirmité	sjukdom
inflammabilité	lättantändlighet
inflammable	lättantändlig
inflammation	inflammation
inflammatoire	inflammatorisk
inflation	inflation
inflationnaire	inflatorisk
influence	påverkan
influencer	påverka
influent	inflytelserik
influer	influera
infodivertissement	infotainment
information	information
informer	informera
infraction	överträdelse
infranchissable	oöverstiglig
infrastructure	infrastruktur
infructueux	fruktlös
ingooglable	ogooglebar
ingrat	otacksam
ingénierie	ingenjörskonst
ingénierie inverse	reverse engineering
ingénieur	ingenjör
ingénieur-conseil	ingenjörskonsulent
ingénieux	uppfinningsrik
ingéniosité	fyndighet
ingérence	inblandning
ingérer	inblanda sig
inhabituel	ovanlig
inhiber	inhibera
inhumation	begravning
inhumer	begrava
iniaque	nack-
inimitié	fiendskap
initiative	initiativ
injecter	injicera
injectif	injektiv
injure	förnärmelse
injuste	orättvis
injustifiable	oförsvarlig
innocent	oskyldig
innovant	innovativ
innovation	innovation
inoccupé	tom
inoffensif	ofarlig
inondation	översvämning
inonder	översvämma
inopportunité	oläglighet
inorganique	oorganisk
inquisiteur	inkvisitor
inquiéter	oroa
inquiétude	oro
insalubre	ohälsosam
inscrire	inskriva
insecte	insekt
insecticide	insektsgift
insensibilité	känslolöshet
insensible	omärklig
insensé	absurd
insidieux	försåtlig
insignifiant	betydelselös
insinuer	alludera
insistance	accent
insoluble	olöslig
insolvable	insolvent
insomnie	sömnlöshet
insoumis	okuvad
insoumission	olydighet
insoupçonné	oanad
inspecter	inspektera
inspecteur	besiktningsman
inspirer	inspirera
instablement	instabilt
installer	inreda
instant	enträgen
instant	ögonblick
instinct	instinkt
instinctif	instinktmässig
instinctivement	ofrivilligt
institut de beauté	skönhetssalong
instituteur	folkskollärare
institutrice	folkskollärarinna
instructif	lärorik
instructrice	handledarinna
instrument	instrument
instrument de mesure	mätinstrument
instrument de musique	musikinstrument
instrument à cordes	stränginstrument
instrument à vent	blåsinstrument
insuffisamment	otillräckligt
insuffisance	brist
insuffisant	otillräcklig
insuline	insulin
insulinothérapie	insulinbehandling
insulte	förnärmelse
insulter	förolämpa
insupportable	outhärdlig
insurmontable	oöverstiglig
inséparable de Fischer	Fischers dvärgpapegoja
inséparable de Lilian	malawidvärgpapegoja
inséparable d’Abyssinie	svartvingad dvärgpapegoja
inséparable masqué	svarthuvad dvärgpapegoja
inséparable rosegorge	rosenhuvad dvärgpapegoja
inséparable à collier noir	svarthalsad dvärgpapegoja
inséparable à joues noires	svartkindad dvärgpapegoja
inséparable à tête grise	gråhuvad dvärgpapegoja
inséparable à tête rouge	rödhuvad dvärgpapegoja
intellect	intellekt
intellectuel	andlig
intellectuel	intellektuell
intelligence	intelligens
intelligentsia	intelligentia
intensité lumineuse	ljusstyrka
intensivement	intensivt
intention	avsikt
intentionnellement	med flit
interactif	interaktiv
interaction	interaktion
intercellulaire	intercellulär
interception	avskärande
intercontinental	interkontinental
interculturel	interkulturell
interdire	förbjuda
interdit	förbjuden
interférence	interferens
intergalactique	intergalaktisk
interjection	interjektion
intermezzo	intermezzo
intermoléculaire	intermolekylär
internalisation	internalisering
international	internationell
internationalement	internationellt
internationalisation	internationalisering
internationaliser	internationalisera
internationaliste	internationalist
internaute	internetanvändare
interopérabilité	interoperabilitet
interpolation	interpolation
interpoler	interpolera
interprète	tolk
interprétation	tolkning
interpréter	framställa
interrupteur	strömbrytare
interruption	avbrott
intersection	skärning
intersectionnalité	intersektionalitet
interstellaire	interstellär
intersubjectivité	intersubjektivitet
intervalle	intervall
intervenir	medla
interview	intervju
interviewer	intervjua
intestin	tarm
intime	intim
intimider	intimidera
intituler	betitla
intolérable	odräglig
intolérant	intolerant
intracellulaire	intracellulär
intraitable	omedgörlig
intramoléculaire	intramolekylär
intransitif	intransitiv
intrication quantique	kvantmekanisk sammanflätning
intriguer	fängsla
introduction	inledning
introduire	införa
intron	intron
introverti	inåtvänd
intruse	popup
intuitif	intuitiv
intuition	intuition
intuitivement	intuitivt
intégration	integration
intégrer	integrera
intéressant	intressant
intérieur	inre
intérieur	interiör
intérêt	gagn
intérêt légitime	berättigat intresse
inule d’Angleterre	luddkrissla
inule à feuilles de saule	krissla
inule à feuilles en glaive	svärdkrissla
inusable	outslitlig
inutile	onödig
inutilisable	obrukbar
invaincu	obegresad
invariant	invariant
invendable	osäljbar
inventeur	uppfinnare
invention	uppfinning
inverse	reciprok
invertébré	ryggradslös
invertébré	ryggradslöst djur
investir	investera
investissement	investering
investisseur	investerare
invisibilité	osynlighet
invisible	osynlig
invitation	inbjudan
inviter	bjuda
invité	gäst
involontaire	ofrivillig
involontairement	ofrivilligt
invoquer	anropa
invraisemblable	osannolik
invulnérable	osårbar
invérifiable	overifierbar
inédit	original
inéligible	ovalbar
inéluctable	ofrånkomlig
inévitable	oundviklig
iochrome	violbusksläktet
iode	jod
ion	jon
ionisant	joniserande
ionisation	jonisering
ioniser	jonisera
ionosphère	jonosfär
iranien	iransk
irascibilité	lättretlighet
irascible	lättretlig
iridescent	regnbågsskimrande
iridium	iridium
iris	iris
irlandais	irländsk
irrationalité	irrationalitet
irrationnel	irrationell
irrespectueusement	respektlös
irresponsabilité	ansvarslöshet
irresponsablement	ansvarslöst
irritable	lättretlig
irritation	förbittring
irriter	irritera
irréconciliable	oförsonlig
irréformable	oomkullkastlig
irréfragable	obestridlig
irrégulier	irreguljär
irréligieux	gudlös
irrésistible	oemotståndlig
irrésistiblement	oemotståndligt
irrésolution	obeslutsamhet
irréversible	irreversibel
irrévocable	oåterkallelig
isatis	fjällräv
islam	islam
islamique	islamisk
islamisation	islamisering
islamiste	islamist
islamophobe	islamfientlig
islandais	isländsk
islandais	isländska
isobare	isobar
isochore	isokor
isocèle	likbent
isoflurane	isofluran
isoglosse	isogloss
isogonal	isogonal
isolat	isolatspråk
isolateur	isolator
isolationniste	isolationistisk
isomorphisme	isomorfism
isométrique	isometrisk
isotope	isotop
isoète	braxengräs
israélien	israelisk
issue	utgång
issue de secours	nödutgång
isthme	näs
italianophone	italiensktalande
italien	italiensk
italien	italienska
itératif	iterativ
itérer	iterera
ivoire	elfenbensfärgad
ivoire	elfenbensfärg
ivoirien	ivoriansk
ivraie	repe
ivraie enivrante	dårrepe
ivre	full
ivre mort	plakat
ivresse	rus
ivrogne	fyllo
jabot	kräva
jachère	träda
jacinthe	hyacint
jacobin	jakobinsk
jacobin	jakobin
jacobinisme	jakobinism
jadis	någonsin
jaguar	jaguar
jais	beckkol
jalousie	jalusi
jaloux	svartsjuk
jamais	aldrig
jamaïcain	jamaicansk
jambe	ben
jambon	skinka
jamboree	jamboree
jante	fälg
janvier	januari
japonais	japansk
japonais	japanska
japper	gläfsa
jardin	trädgård
jardin animalier	djurgården
jardin d’animaux	djurgården
jardin zoologique	zoologisk trädgård
jardinier	trädgårdsmästare
jargon	jargong
jarret	knäveck
jaser	snacka
jaseur boréal	sidensvana
jasmin	jasminsläktet
jasmin d’hiver	Vinterjasmin
jaune	gul
jaune	guling
jaune de cobalt	koboltgult
jaune d’œuf	äggula
jaunâtre	gulaktig
javelot	spjut
jazz	jazz
jaïnisme	jainism
je	jag
je t’aime	jag älskar dig
jean	jeans
jeep	jeep
jet	jet
jeter	kasta
jeter des perles aux pourceaux	kasta pärlor för svin
jeter le bébé avec l’eau du bain	kasta ut barnet med badvattnet
jeter l’ancre	kasta ankare
jeter l’éponge	kasta in handduken
jeter un sort	trolla
jetlag	jetlag
jeu	spel
jeu de cartes	kortspel
jeu de guerre	krigsspel
jeu de rôle	rollspel
jeu de rôle grandeur nature	levande rollspel
jeu de société	brädspel
jeu du foulard	strypleken
jeu d’enfant	barnlek
jeu d’instructions	instruktionsuppsättning
jeu d’échecs	schack
jeu à boire	dryckesspel
jeudi	torsdag
jeune	ung
jeunesse	ungdom
jeûne	fasta
jeûner	fasta
jihadiste	jihadist
jingle	jingel
jiu-jitsu	jiujitsu
jockey	jockej
jogger	jogga
jogging	joggning
joie	fröjd
joie de vivre	livsglädje
joignable	anträffbar
joindre	bifoga
jongler	jonglera
jonglerie	jonglering
jonque	djonk
jonquille	jonkvill
jordanien	jordansk
joue	kind
jouer	bruka
jouer avec le feu	leka med elden
jouet	leksak
joug	ok
jouir	åtnjuta
joule	joule
jour	dag
jour J	dagen D
jour de carence	karensdag
jour de l’an	nyår
jour de l’indépendance	självständighetsdag
jour d’abstinence	fastedag
jour férié	helgdag
jour ouvrable	vardag
jour ouvré	vardag
journal	dagbok
journalier	daglig
journalier	alldaglig
journalisme	journalistik
journaliste	journalist
journellement	dagligen
jovial	jovialisk
joyau	juvel
joyaux de la couronne	kronjuveler
joyeusement	glatt
joyeux	glad
joyeux Noël	god jul
joyeux Noël et bonne année	God Jul och Gott Nytt År
joyeux anniversaire	grattis på födelsedagen
joël	liten silversida
joïk	jojk
jubiler	jubla
jubilé	jubileum
jubé	lektorium
judaïsme	judendom
judicature	domarämbete
judoka	judoka
juge	domare
juger	döma
jugesse	domarinna
jugulaire	hals-
jugulaire	hakrem
juif	judisk
juif errant	vandrande juden
juillet	juli
juin	juni
juive	judinna
jujubier commun	jujubär
jumeau	tvilling
jument	märr
junco ardoisé	mörkögd junco
jungle	djungel
junte	junta
jupe	kjol
jurer	svära
juridique	juridisk
jurisprudence	prejudikatlag
juriste	jurist
jus	saft
jus de citron	citronsaft
jus de fruits	fruktsaft
jus de pomme	äppeljuice
jus d’orange	apelsinjuice
jusques et y compris	till och med
jusquiame noire	bolmört
justaucorps	leotard
juste	riktig
juste milieu	medelväg
justement	just
justice	rättfärdighet
justification	justering
jute	jylländska
jute	jute
juvénile	juvenil
juxtalinéaire	motstående
jésuite	jesuitisk
jésuite	jesuit
kabuki	kabuki
kakapo	kakapo
kakuro	kakuro
kaléidoscope	kalejdoskop
kamtcha	nagajka
kangourou	känguru
kanjobal	kanjobal
kantien	kantsk
karaoké	karaoke
karaté	karate
karezza	coitus reservatus
katal	katal
kava	kava
kayak	kajak
kazakh	kazakisk
kazakh	kazakiska
keiretsu	keiretsu
kelvin	kelvin
ketch	ketch
ketchup	ketchup
khan	khan
khanty	chantiska
khmer	khmer
kiaï	kiai
kibboutz	kibbutz
kidnappeur	kidnappare
kikiriki	kuckeliku
kikuyu	kikuyu
kilogramme	kilogram
kilogramme-force	kilopond
kilomètre	kilometer
kilomètre carré	kvadratkilometer
kilomètre par heure	kilometer per timme
kilt	kilt
kinkajou	veckelbjörn
kiosque	kiosk
kippa	kippa
kiwi	kivi
klaxon	bilhorn
klaxonner	tuta
kleptocratie	kleptokrati
klezmer	klezmer
klingon	klingonska
koala	koala
kolkhoze	kolchos
komse	lappsk vagga
konzern	koncern
