Afrika	Africa
portugis	Portuguese
portvakt	porter
portvaktare	porter
position	position
post	mail
postbud	postman
postkontor	post office
postnummer	postal code
posttjänsteman	mailman
potatis	potato
praktik	practice
praktisk	practical
prata	chat
praxis	tradition
precis	accurate
predika	preach
predikan	sermon
predikant	preacher
present	gift
president	chairman
preussare	Prussian
preventivmedel	preservative
primitiv	primitive
princip	principle
prins	prince
pris	price
prisa	commend
privilegium	privilege
probera	attempt
problem	problem
procent	percent
process	process
processa	act
procession	procession
producera	afford
produkt	product
profession	profession
professor	professor
profet	prophet
profil	profile
profitera	profit
projekt	plan
proklamation	proclamation
proletär	proletarian
promenad	stroll
promenera	go for a walk
prompt	accurate
propagando	propaganda
prosa	prose
prost	pastor
protest	protest
protestant	Protestant
prov	proof
prova	attempt
provbit	sample
provins	province
provinsiell	provincial
präst	clergyman
prästgård	parish
psalm	psalm
pseudonym	pseudonym
psyke	psyche
psykiater	psychiatrist
psykiatri	psychiatry
psykiatriker	psychiatrist
psykisk	psychic
publicera	publish
publicist	journalist
publik	public
puckel	bump
pudding	pudding
puff	push
puffa	push
puls	pulse
pulsera	pulsate
pulver	powder
pump	pump
pumpa	pump
pund	pound
pur	pure
purpur	purple
puss	kiss
pussa	kiss
puts	gag
pyjamas	pyjamas
pyramid	pyramid
päls	fur
pärla	pearl
päron	pear
på	at
påbjuda	command
påbud	command
påfallande	striking
påfågel	peacock
påle	pole
pålitlig	reliable
påsk	Easter
påstå	assert
påstående	contention
påve	pope
påverka	act
rabbin	rabbi
rabies	rabies
rackare	cheat
rad	file
radhus	terrace house
radio	radio
ragata	shrew
ragu	ragout
rak	direct
raka	run
rakblad	razor‐blade
raket	rocket
rakkniv	razor
ramla	make a noise
rang	grade
rapphöna	partridge
rapport	account
rapportera	give an account
rar	dear
ras	breed
rasande	furious
rasp	file
rast	repose
rasta	repose
reaktion	reaction
reaktionär	reactionary
real	actual
realisera	produce
rebell	rebel
recept	prescription
redaktör	editor
redan	already
redd	anchorage
redlig	above‐board
redo	finished
reell	actual
regel	bolt
regelmässig	even
regemente	regiment
regera	control
regering	administration
regim	régime
regissör	stage‐manager
register	account book
registrera	record
regla	bolt
reglemente	regulations
regn	rain
regna	rain
regnbåge	rainbow
regnrock	raincoat
reklam	ad
rekommendabel	recommendable
rekommendation	recommendation
rekommendera	commend
rekord	record
rekryt	recruit
rektor	rector
relation	relation
religion	religion
religiös	religious
rem	belt
ren	already
rena	clean
rengöra	clean
renlärig	orthodox
renommerad	famous
rensa	clean
renskt vin	hock
rep	cord
reparera	fix
repertoar	repertoire
replik	answer
reproduktion	reproduction
reptil	reptile
republik	republic
resa	journey
resande	traveller
resebyrå	tourist agency
resgods	baggage
respekt	respect
respektera	respect
rest	remainder
restaurang	restaurant
resultat	conclusion
reta sig på	be indignant with
revisor	accountant
revolution	revolution
revolutionär	revolutionary
revolver	revolver
rida	ride
riddare	cavalier
rigel	bolt
rik	affluent
rikedom	abundance
riktig	fair
riktning	direction
rim	rhyme
rimma	rhyme
ring	ring
rinna	flow
ris	twig
risgryn	rice
risk	hazard
riskera	hazard
rita	design
ritning	design
ritual	ritual
riva	rub
rival	rival
ro	repose
roddbåt	row‐boat
roder	rudder
roffa	plunder
roll	part
roman	novel
romare	Roman
romersk	Roman
ropa	call
ros	rose
rost	rust
rosta	roast
rostbiff	roastbeef
rostig	rusty
rot	root
rote	district
rovdjur	beast of prey
rubin	ruby
rubrik	column
ruckel	den
ruelse	repentance
ruin	ruin
ruinera	ruin
rulla	roll
rullgardin	roller‐blind
rumla	drink
rumlare	boozer
rumänsk	Romanian
rund	round
runda	round
rundfråga	inquiry
rusig	drunk
rutin	routine
rutten	addled
ruva	incubate
rycka	jerk
rygg	back
ryggrad	spine
ryggsäck	backpack
ryka	smoke
rykte	rumor
rymdpilot	astronaut
rymlig	extensive
rymma	escape
rysk	Russian
ryss	Russian
rytm	rhythm
räcka	file
rädd	afraid
rädda	keep
räddning	salvage
räddningsbåt	life‐boat
rädisa	radish
rädsla	agony
räfsa	rake
räkna	prawn
rämna	burst
rät	direct
rätt	justice
rätta	fix
rättegång	action
rättslig	legal
räv	fox
rävhona	vixen
röd	red
rödspotta	plaice
rödspätta	plaice
rök	smoke
röka	smoke
rökelse	incense
rökkupé	smokers
rönnbär	mountain‐ash berry
rör	barrel
röra	admixture
röst	voice
rösta	vote
röva	plunder
rövare	robber
rå	yard
råd	advice
råda	advise
rådfråga	consult
rådhus	town‐hall
rådjur	roe
rådman	alderman
råg	rye
råma	howl
råna	rob
rånare	robber
råtta	mouse
råttfälla	mousetrap
sabbat	Sabbath
sadel	saddle
saft	lemonade
saga	fairy tale
sak	affair
sakna	miss
saknad	absence
saknas	be lacking
sakrament	sacrament
salad	lettuce
salamander	salamander
saldo	balance
saliv	saliva
sallat	lettuce
salong	lounge
salt	salty
saltvatten	salt water
samarbeta	cooperate
sambo	co‐occupant
samhälle	society
samklang	harmony
samla	collect
samlare	accumulator
samling	collection
samliv	society
samman	together
sammanblanda	blend
sammankomst	assemblage
sammanlevnad	society
sammanlikning	comparison
sammanträde	assemblage
samt	equally
sand	sand
sandal	sandal
sandbank	bank
sandig	sand
sann	true
sannerligen	absolutely
sanning	truth
sannolik	likely
sardin	sardine
sarkastisk	acid
sats	sentence
sax	scissors
scen	scene
scepter	sceptre
schackbräde	chessboard
schakal	jackal
schal	shawl
schavott	scaffold
schema	model
schweizare	Swiss
schweizisk	Swiss
se	see
sedan	... ago
sedel	bank‐note
sedesam	chaste
sedeslös	lewd
sefyr	zephyr
segel	sail
segla	sail
sekel	centennial
sekretarere	secretary
sekt	sect
sektion	section
sekund	second
selleri	celery
semester	vacation
semitisk	Semitic
semla	roll
sena	muscle
senap	mustard
september	September
serbisk	Serb
serenad	serenade
sergeant	sergeant
serie	series
servett	napkin
sex	sex
sexti	sixty
sextio	sixty
sextionde	sixtieth
sexton	sixteen
sextonde	sixteenth
sexuell	generative
sfär	ball
shoppa	shop
siare	prophet
siberisk	Siberian
sida	side
siden	silk
signa	bless
signal	mark
sikt	sieve
sikta	sift
sil	filter
sila	filter
silhuett	outline
silke	silk
silkesmask	silkworm
sill	herring
silver	silver
simbyxor	swimming trunks
simma	float
simpel	simple
sin	her
sinnesrörelse	emotion
sippa	anemone
sirap	syrup
siska	last
sitt	her
sitta	sit
sittplats	seat
situation	circumstances
sju	seven
sjubb	raccoon
sjuk	ill
sjukhem	hospital
sjukhus	hospital
sjuksköterska	nurse
sjukvårdare	nurse
sjunde	seventh
sjunga	sing
sjunka	sink
sjutti	seventy
sjuttio	seventy
sjutton	seventeen
sjuttonde	seventeenth
själ	mind
själfständig	independant
själsläkekonst	psychiatry
själv	self
självbehärskning	restraint
självförtroende	self‐confidence
självljud	vowel
självmant	voluntary
självständig	independant
självverkande	automatic
sjätte	sixth
sjö	lake
sjömakt	navy
sjöman	sailor
sjörövare	pirate
sjötunga	sole
skalbagge	beetle
skald	poet
skalle	skull
skam	shame
skamlös	abandoned
skandal	commotion
skapa	create
skapelse	creature
skata	magpie
skatt	treasure
sked	spoon
skelett	skeleton
skepp	ship
skeppare	captain
skeppsbåt	life‐boat
skild	divorced
skiljas	get a divorce
skillnad	difference
skilsmässa	divorce
skinka	ham
skinn	skin
skinna	skin
skiva	dial
skjorta	vest
sko	shoe
skoband	shoe‐lace
skog	forest
skoj	gag
skoja	jest
skola	school
skorsten	chimney
skotsk	Scottish
skotte	Scot
skottår	leap‐year
skratt	laughter
skratta	laugh
skred	avalanche
skri	cry
skria	cry out
skrifta sig	confess
skriftermål	confession
skrik	cry
skrika	jay
skriva	write
skrivare	clerk
skrivbok	exercise‐book
skrivbord	desk
skrivmaskin	typewriter
skrock	superstition
skruv	screw
skruva	screw
skruvmejsel	screwdriver
skrymta	dissemble
skryta	boast
skräddare	tailor
skråla	cry out
skugga	shadow
skuld	blame
skuldra	shoulder
skulptör	sculptor
skum	foam
skumrask	dusk
skurk	cheat
skutt	jump
skutta	jump
sky	cloud
skydda	protect
skyddsling	protégée
skyffel	spade
skyla	cover
skyldig	guilty
skylla	accuse
skylt	shield
skymning	dusk
skägg	beard
skälla	bark
skälla ut	abuse
skällsord	invective
skälva	quiver
skämd	addled
skämt	gag
skämta	jest
skänk	gift
skänka	donate
skärpa	acerbity
sköka	hooker
sköldpadda	tortoise
skön	beautiful
skönhet	beauty
skönja	see
skönjbar	visible
skörd	harvest
skörda	harvest
sköta	attend
skåda	see
skådespel	show
skådespelerska	actress
skål	cheers
skåp	cabinet
sladd	cord
slag	action
slagbom	barrier
slagsmål	action
slaktare	butcher
slakteri	butcher's shop
slakthus	abattoir
slaktoffer	victim
slam	mud
slav	slave
slavisk	Slavic
slem	mucus
slentrianmässig	automatic
slipa	sharpen
slira	glide
slopa	break down
slott	castle
slug	clever
slump	accidence
slup	boat
slut	end
sluta	end
släknamn	surname
släkt	relations
släkting	relative
släktskap	affiliation
slätt	plain
slösa	waste
slöseri	waste
slå	beat
slåss	fight
smacka	smack
smak	taste
smaka	taste
smakfull	nice
smaklig	nice
smaklös	tasteless
smal	gaunt
smaragd	emerald
smed	smith
smicker	flattery
smickra	flatter
smida	forge
smidig	flexible
smink	make up
smittrena	disinfect
smuggla	smuggle
smutsa	soil
smutsig	dirty
smycka	adorn
smäcker	slender
smäkta	ache
smälta	melt
smärt	slender
smärta	hurt
smärtsam	painful
smör	butter
smörgås	bread and butter
småle	smile
småleende	smile
snabbskrift	shorthand
snacka	chat
snart	soon
snava	stumble
snickare	carpenter
snickra	build
snigel	snail
sniken	acquisitive
snodd	cord
snok	serpent
snoka	spy
snubbla	stumble
snuva	cold
snyltgäst	parasite
snyltväxt	parasite
snäcka	snail
snäll	affable
snälltåg	fast train
snäsig	brutal
snö	snow
snödroppe	snowdrop
snöping	eunuch
snöra	bind
snöre	cord
snövit	snow white
snål	acquisitive
so	sow
social	social
socialism	socialism
socka	sock
socken	parish
socker	sugar
sockerrör	sugar‐cane
sockersjuka	diabetes
sockerskål	sugar‐bowl
sofa	sofa
sol	sun
sold	salary
soldat	pawn
solig	solair
solist	soloist
solnedgång	sunset
solros	sunflower
solstråle	sunbeam
soluppgång	sunrise
somliga	a few
sommar	summer
son	son
sonat	sonata
sondotter	granddaughter
sonhustru	daughter‐in‐law
sonson	grandson
sopa	sweep
sopkvast	broom
soppa	soup
sorg	care
sorgsen	dismal
sort	kind
sortiment	assortment
sot	soot
sovra	clean
sovrum	bedroom
sovvagn	sleeping‐car
spad	gravy
spade	spade
spalt	column
spanjor	Spaniard
spannmål	grain
spara	save
spark	kick
sparka	kick
sparris	asparagus
sparsam	thrifty
sparv	sparrow
spasm	clamp
spatsera	go for a walk
spatsertur	stroll
spe	mockery
specerihandlare	grocer
speciell	particular
spegel	looking‐glass
speja	spy
spejare	spy
spektakel	show
spel	game
spela	play
spenat	spinach
spene	udder
spik	nail
spika	nail
spindel	axis
spindelväv	spiderweb
spion	spy
spionera	spy
spira	sceptre
spiral	spiral
spiritism	spiritualism
spirituell	lively
spis	furnace
spjut	lance
splittra	splinter
sporadisk	sporadic
sport	sport
sportsman	sportsman
spott	saliva
springa	race
springare	knight
springvatten	fountain
sprit	alcohol
språk	language
språklära	grammar
språksam	talkative
spy	throw up
späck	bacon
spöke	ghost
spörja	ask
spörsmål	question
spårvagn	streetcar
stack	heap
stad	city
stadig	fixed
stadsbud	porter
stadshus	city hall
stadslik	urban
stam	stem
standar	flag
stank	stench
stanna	remain
stare	starling
stark	strong
stat	state
station	stage
statistik	statistics
statsman	politician
statut	by‐laws
staty	statue
stav	baton
stava	spell
stavelse	syllable
steg	pace
stege	ladder
sten‐	metalled
sten	stone
stenhuggare	stone‐cutter
stenig	metalled
stenrik	immensely rich
stepp	moor
steril	sterile
stia	sty
sticka	match
stig	path
stil	style
stinka	reek
stirra	gaze
stjälk	blade
stjärna	star
stjärntydare	astrologer
stjärt	backside
stoisk	stoic
stoj	ado
stol	chair
stolle	lunatic
stollig	crazy
stolt	proud
stolthet	pride
stop	jug
stor	big
storhet	bulk
stork	stork
storlek	bulk
storm	storm
storma	assault
straff	punishment
straffa	punish
straffavgift	fine
strand	beach
streck	ray
strejk	strike
strejka	strike
strid	action
strida	fight
strimla	ray
strimma	ray
strumpa	sock
strumpsocka	sock
strupe	throat
struts	ostrich
strykjärn	iron
strypa	choke
ström	current
ströming	current
strömma	flow
strå	blade
stråla	radiate
stråle	beam
stråt	path
student	academic
studera	study
studie	study
studium	study
studsa	rebound
stum	dumb
stygg	bad
styre	handlebars
styrka	force
styv	rigid
städerska	maid
städhjälp	maid
ställa	lay down
ständigt	always
stänga	open
stängd	open
stöd	prop
stödja	lean
stöld	abstraction
stöna	groan
stöpa	pour
stör	pole
stöt	push
stöta	push
stövel	boot
stål	steel
stång	baton
subjekt	subject
subsidier	subsidy
substantiv	noun
subtil	subtle
sucka	sigh
suga	suck
suggestion	the power of suggestion
summa	amount
sump	marsh
sund	strait
sundhet	health
supa	drink
supare	boozer
sur	dismal
surna	acidify
surra	buzz
suverän	sovereign
svag	faint
sval	cool
svala	swallow
svamp	fungus
svan	swan
svans	tail
svar	answer
svara	answer
svart	black
svavel	brimstone
svek	swindle
svensk	Swedish
svenska	Swedish
svett	perspiration
svettas	sweat
svimma	faint
svin	hog
svinga	brandish
svägerska	sister‐in‐law
svält	hunger
sväng	bend
svära	blaspheme
svärd	sword
svärdotter	daughter‐in‐law
svärfader	father‐in‐law
svärfar	father‐in‐law
svärföräldrar	parents‐in‐law
svärm	swarm
svärmor	mother‐in‐law
svärson	son‐in‐law
sväva	float
svåger	brother‐in‐law
svår	difficult
svårighet	difficulty
sy	sew
syd	south
sydlig	south
symbol	symbol
symfoni	symphony
symmetrisk	symmetric
sympati	sympathy
sympatisk	sympathetic
synagoga	synagogue
synas	appear
synbarligen	evident
synd	sin
synda	sin
syndabekännelse	confession
syndig	sinful
synlig	visible
synnerlig	extraordinary
synpunkt	viewpoint
syra	acid
syre	oxygen
syren	lilac
syrsa	cricket
syskon	brothers and sisters
system	system
systematisk	systematic
syster	sister
systerdotter	niece
systerson	nephew
säd	grain
säga	say
säga adjö	say goodbye
säga adjö till	say goodbye
sägen	legend
sägn	legend
säker	certain
säkerhetsnål	safety‐pin
säl	seal
sälja	dispose of
sällsam	rare
sällspord	rare
sällsynt	rare
sämre	worse
sämst	worst
sända	send
sändebud	ambassador
säng	bed
sängkammare	bedroom
sängplats	sleeping‐accomodation
särskild	apart
säsong	season
säteri	estate
sätt	manner
sätta	lay down
söder	south
södra	south
söka	run for election
sökande	candidate
sömn	sleep
söndag	Sunday
sörja	mud
söt	gentle
sötvatten	fresh water
så	barrel
sådan	such
såg	saw
såga	saw
såll	sieve
sålla	sift
sålunda	so
sång	singing
sångare	singer
sångerska	singer
sångmö	muse
såpa	soap
sår	injury
såra	hurt
sås	gravy
såt	close
såvida	if
såvitt	if
ta	get
tabell	index
tack	gratitude
tacka	thank
tacka för	acknowledge
tacka ja till	accept
tacka nej till	reject
tacksam	thankful
tack ska du ha	thank you
tack så mycket	thank you very much
tack tack	thank you
taga	get
tagg	thorn
tak	ceiling
tala	speak
talang	aptitude
tall	pine
tallricksslickare	cadger
tallrik	plate
talltrast	thrush
tallös	countless
tam	tame
tand	tooth
tandborste	tooth‐brush
tandkräm	tooth‐paste
tandkött	gum
tandläkare	dentist
tandpetare	toothpick
tandvärk	toothache
tanke	thought
tant	aunt
tapet	tapestry
tapetsera	paper
tapetserare	paperer
tapper	brave
tarm	intestine
tass	claw
tattare	gypsy
tavla	painting
taxa	tax
taxera	tax
ta hänsyn till	pay attention to
te	tea
teater	theatre
teaterpjäs	play
tecken	character
teckna	design
teckning	design
tegelsten	brick
tekanna	tea‐pot
teknik	technics
teknisk	technical
telefon	telephone
telefonera	telephone
telefonhytt	call box
telegraf	telegraph
telegrafera	telegraph
telegram	telegram
television	television
telning	child
tema	theme
tempel	temple
temperatur	temperature
tempo	speed
tenn	tin
tenor	tenor
teori	theory
term	term
termometer	thermometer
terrass	terrace
terrorism	terrorism
terräng	ground
testamente	testament
text	lyric
tid	time
tidig	early
tidningsman	journalist
tidskrift	periodical
tidtabell	schedule
tie	ten
tiga	be quiet
tiger	tiger
tigga	beg
tiggare	beggar
tiggeri	begging
tiggerska	beggar‐woman
tilja	floor
till	at
tillaga	prepare
tillbedja	adore
tillfälle	chance
tillfällighet	accidence
tillfälligtvis	by accident
tillförlitlig	reliable
tillhopa	together
tillit	confidence
tillkommande	future
tillkomst	arrival
tillkännagiva	acquaint
tillkännagivande	advice
tillnamn	surname
tillreda	prepare
tillreds	finished
tills	until
tillsammans	together
tillvaro	existence
till exempel	for example
till salu	for sale
till uthyrning	for rent
timme	hour
tinning	temple
tio	ten
tionde	tenth
tipp	hint
tippa	bet
tisdag	Tuesday
tissla	whisper
titel	degree
titta	see
tjock	bold
tjocka	fog
tjockben	calf
tjockhet	thickness
tjocklek	thickness
tjugo	twenty
tjugoen	twenty‐one
tjugoett	twenty‐one
tjugonde	twentieth
tjugu	twenty
tjur	bull
tjuv	thief
tjuvgömmare	fence
tjuvnad	abstraction
tjänare	boy
tjänarinna	maid
tjänst	service
tjänstflicka	maid
tjänstsökande	candidate
tjära	tar
toalett	toilet
toalettpapper	toilet‐paper
tobak	tobacco
toffel	slipper
toga	toga
tok	crazy
tokig	crazy
tolerant	tolerant
tolfte	twelfth
tolk	interpreter
tolka	interpret
tolv	twelve
tom	empty
tomat	tomato
tomhet	emptiness
ton	tone
tona	sound
tonsättare	composer
tordön	thunder
torg	plaza
torka	dryness
torn	thorn
torr	dry
torsdag	Thursday
torsk	cod
tortera	agonize
tortyr	torture
total	overall
tradition	tradition
trafik	traffic
trafikant	passenger
trakt	region
traktera	deal with
trall	melody
trampa	pedal
transpirera	sweat
transport	transport
transportera	transport
trappa	staircase
trassel	chaos
trast	thrush
tratt	funnel
tre	three
tredje	third
trefaldig	triple
trehörnig	triangular
trehörning	triangle
tretti	thirty
trettio	thirty
tretton	thirteen
trettondag	Epiphany
trettonde	thirteenth
trevlig	agreeable
triangel	triangle
triangulär	triangular
tribun	rostrum
tribut	tax
triumf	triumph
triumfera	triumph
trivial	commonplace
tro	account
troende	religious
trolig	plausible
troligtvis	probably
trolla	bewitch
trolleri	enchantment
tron	throne
tropisk	tropical
trots	despite
trottoar	pavement
trovärdig	plausible
tro på	believe in
trumpet	trumpet
tryck	pressure
trycka	press
tryckpress	press
trygg	certain
trä‐	wooden
trä	timber
träd	tree
trädgård	garden
trädgårdsmästare	gardener
träffas	meet
träl	serf
träla	work hard
träsk	marsh
trög	slow
trögdjur	sloth
tröskel	sill
tröst	consolation
trösta	comfort
tröstlös	desolate
trött	tired
tröttna	get tired
tråd	thread
trång	narrow
tsar	czar
tu	two
tuberkulos	tuberculosis
tuggummi	chewing‐gum
tuktig	chaste
tull	custom‐house
tulpan	tulip
tum	inch
tumme	thumb
tumult	agitation
tung	burdensome
tunga	tongue
tungomål	language
tunn	gaunt
tunna	barrel
tunnel	tunnel
tunnelbana	subway
tupp	cock
tur	luck
turist	tourist
turk	Turk
tusch	nasturtium
tusen	thousand
tusenfoting	centipede
tveka	hesitate
tvekan	hesitation
tvenne	two
tvetydig	ambiguous
tvilling	twins
tvillingar	twins
tvinga	compel
tvist	quarrel
tvista	quarrel
tvivelaktig	doubtful
tvivla	doubt
tvätta	wash
tvätterska	laundress
två	two
tvål	soap
två hundra	two hundred
tycka	account
tyckas	appear
tycka illa om	dislike
tycka om	appreciate
tycka synd om	have compassion on
tycke	opinion
tydlig	clear
tyg	agent
typ	type
typisk	typical
tyrann	tyrant
tyrannisera	tyrannize
tysk	German
tyska	German
tyst	silent
tyvärr	alas
täcka	cover
tändsticka	match
tändstift	plug
tänka	think
tärning	die
tätting	sparrow
tävlan	competition
tävling	competition
töcken	fog
töcknig	fuzzy
töras	be bold
törhända	maybe
törn	push
törne	thorn
törst	thirst
törstig	thirsty
tös	girl
töväder	melting
tå	toe
tåga	fiber
tåla	endure
tålamod	patience
tålig	patient
tålmodig	patient
tår	tear
tårta	pie
uggla	owl
ull	wool
ulv	wolf
umgås med	associate with
undanflykt	pretext
under	miracle
underbar	miraculous
underbyxor	drawers
underhålla	alimony
underjordisk	underground
underofficer	noncom
underskrift	signature
underskriva	sign
undersöka	examine
undersökning	investigation
underteckna	sign
undervisa	teach
undervisning	instruction
underårig	under age
undfly	avoid
undflykt	escape
undfå	get
undkomma	escape
undra	marvel
undran	astonishment
undseende	respect
undskylla sig	apologize
ung	young
ungdom	youth
ungdomlig	young
unge	child
ungefär	about
ungefärlig	about
ungrare	Hungarian
uniform	uniform
unik	unique
union	union
universal	general
universell	general
universitet	university
upp	above
uppacka	unpack
uppbjuda	invite
uppe	above
uppenbar	evident
uppfattning	opinion
uppfinning	invention
uppfostra	breed
uppfostran	education
uppfylla	fill
uppförande	behavior
uppföra sig	behave
uppgiven	exhausted
upphisa	lever
upphitta	find
upphov	lineage
upphäva	lever
upphöja	lever
uppkomst	lineage
uppkäftig	impertinent
uppleva	go through
upprepa	repeat
uppskatta	appraise
uppskov	adjournment
upptill	above
upptäcka	discover
upptäckt	discovery
upptåg	gag
uppvisa	indicate
uppväxtår	youth
uppåt	above
ur	watch
urbild	prototype
urmakare	watchmaker
urmodig	old‐fashioned
urna	jug
ursinnig	furious
urskog	primeval forest
urskulda	excuse
ursprung	lineage
ursprunglig	coming
ursäkta	excuse me
ursäkte sig	apologize
urval	chrestomathy
ut	from
utan	without
utav	from
utblotta	rob
utbörding	foreigner
utdela	distribute
utdelning	distribution
ute	abroad
uteglömma	forget
utgift	edition
utgivare	publisher
utgång	exit
uthyra	let
utland	foreign country
utlägga	account for
utländsk	alien
utlänning	foreigner
utlåtande	account
utnöta	use up
utom	apart from
utomlands	abroad
utomordentlig	extraordinary
utpeka	indicate
utplåna	exterminate
utrikes	abroad
utrymme	room
uträkna	calculate
utsikt	view
utskicka	broadcast
utställa	exhibit
utställning	exhibition
uttryck	expression
uttrycka	express
utvandra	emigrate
utöver	apart from
uv	eagle owl
vaccin	vaccine
vaccinera	vaccinate
vacker	beautiful
vad	calf
vada	wade
vadd	cotton‐wool
vakna	wake
vakta	guard
vaktare	guard
vaktmästare	waiter
val	whale
valakt	choice
valfisk	whale
vall	dike
vallmo	poppy
vallon	Walloon
valnöt	walnut
valör	value
vampyr	vampire
vana	custom
vanilj	vanilla
vanlig	accustomed
vansinne	craziness
vansinnig	cr
