-aktig	-âtre
judaisera	judaïser
jude	juif
judendom	judaïsme
judiciell	judiciaire
judinna	juive
judisk	juif
judoka	judoka
jugoslav	Yougoslave
jugoslavisk	yougoslave
juice	jus
juicepress	presse-agrumes
jul	Noël
julafton	veille de Noël
julgran	arbre de Noël
juli	juillet
julkaktus	phyllocactus
julklapp	cadeau de Noël
julkrubba	crèche de Noël
julmarknad	marché de Noël
julros	rose de Noël
julstjärna	étoile de Noël
julstämning	esprit de Noël
julsång	chant de Noël
jultomte	Père Noël
jungfru	Vierge
jungfruflygning	premier vol
jungfruresa	voyage inaugural
juni	juin
juniorvärldsmästare	champion du monde junior
junkergirella	girelle
junta	junte
jura	Jurassique
juridik	droit
juridisk person	personne morale
jurisdiktion	juridiction
jurist	juriste
just	juste
justera	ajuster
justitieminister	garde des sceaux
juvel	bijou
juvelerare	bijoutier
juvenil	juvénile
juver	mamelle
jycke	clébard
jägare	chasseur
jämfota	à pieds joints
jämföra	comparer
jämförbar	comparable
jämförelse	comparaison
jämka	rajuster
jämlike	égal
jämlikhet	égalité
jämmerlig	lamentable
jämn	pair
jämnkornig	équigrenu
jämt	toujours
jämvikt	équilibre
jänkare	Yankee
järn	fer
järnortofosfat	orthophosphate de fer
järntriklorid	chlorure ferrique
järnväg	chemin de fer
järnvägare	cheminot
järnvägsolycka	accident ferroviaire
järnvägsspår	voie ferrée
järnvägsstation	gare
järnvägstunnel	tunnel ferroviaire
järtecken	augure
järv	glouton
jäsa	lever
jäsning	fermentation
jäst	fermenté
jäst	levure
jätte	géant
jätte-	-issime
jätteliten	minuscule
jätteloka	berce géante
jäv	conflit d'intérêts
kabaré	cabaret
kabbala	kabbale
kabbalistisk	cabalistique
kabbeleka	populage des marais
kabel	câble
kabeljo	cabillaud
kabyliska	kabyle
kackerlacka	blatte
kackla	glousser
kadaver	carcasse
kadens	cadence
kadett	élève officier
kadmium	cadmium
kaducé	caducée
kaffe	café
kaffeautomat	distributeur de café
kaffebricka	plateau avec le café
kaffebryggare	cafetière
kaffebuske	caféier
kaffeböna	grain de café
kaffefat	soucoupe
kaffefilter	filtre à café
kaffefläck	tache de café
kaffegrädde	crème pour le café
kaffekanna	cafetière
kaffekopp	tasse à café
kaffekvarn	moulin à café
kaffepaus	pause-café
kafferast	pause-café
kaffeservis	service à café
kaffesil	passette à café
kaffesump	marc de café
kaffesurrogat	succédané
kafé	café
kaj	quai
kaja	choucas
kajak	kayak
kajennpeppar	poivre de Cayenne
kaka	cookie
kakadua	cacatoès
kakao	cacao
kakapo	kakapo
kakel	carrelage
kaki	kaki
kakiemon	Kakiémon
kaktus	cactus
kal	chauve
kalander	calendre
kalas	fête
kalcedon	calcédoine
kalcium	calcium
kalciumacetat	acétate de calcium
kalciumcyanamid	cyanamide calcique
kalciumfluorid	fluorure de calcium
kalciumhydroxid	hydroxyde de calcium
kalciumjodid	iodure de calcium
kalciumkarbid	carbure de calcium
kalciumkarbonat	carbonate de calcium
kalciumoxid	oxyde de calcium
kalciumsulfat	sulfate de calcium
kalciumsulfid	sulfure de calcium
kalciumvätekarbonat	hydrogénocarbonate de calcium
kalebass	calebasse
kalejdocykel	kaléidocycle
kalejdoskopisk	caléidoscopique
kalembur	calembour
kalender	calendrier
kalesch	calèche
kaliber	calibre
kalif	calife
kalifat	califat
kalifornier	Californien
kalikå	calicot
kalium	potassium
kaliumacetat	acétate de potassium
kaliumbromid	bromure de potassium
kaliumcyanat	cyanate de potassium
kaliumdikromat	dichromate de potassium
kaliumformiat	formiate de potassium
kaliumklorat	chlorate de potassium
kaliumklorid	chlorure de potassium
kaliumnitrat	nitrate de potassium
kaliumoxid	oxyde de potassium
kaliumperklorat	perchlorate de potassium
kaliumpermanganat	permanganate de potassium
kaliumsorbat	sorbate de potassium
kaliumtiocyanat	thiocyanate de potassium
kalk	calice
kalkon	dinde
kalkonrulle	navet
kalksten	calcaire
kalkyl	calcul
kalkylera	calculer
kall	froid
kalla	appeler
kalla kriget	guerre froide
kallfront	front froid
kalligrafi	calligraphie
kallsup	boire la tasse
kalmuckiska	kalmouk
kalori	calorie
kalsong	caleçon
kalt	froid
kalv	veau
kalvinism	calvinisme
kalvkött	veau
kam	peigne
kambodjan	Cambodgien
kambodjansk	cambodgien
kambodjanska	Cambodgienne
kambräken	blechnum en épi
kamel	chameau
kameleont	caméléon
kamelmjölk	lait de chamelle
kamera	appareil photo
kameral	caméral
kameraman	cadreur
kamerunier	Camerounais
kamerunsk	camerounais
kamfer	camphre
kamin	poêle
kamma	peigner
kamma noll	bredouille
kamomill	camomille
kamomillte	infusion de camomille
kamouflage	camouflage
kamouflera	camoufler
kamp	combat
kampanj	campagne
kampsport	sport de combat
kamrat	ami
kamratskap	camaraderie
kamé	camée
kanadagås	bernache du Canada
kanadames	mésange à tête brune
kanadensare	Canadien
kanadensisk	canadien
kanadensiska	Canadienne
kanal	chaîne
kanalisera	canaliser
kanariefågel	canari
kandelaber	candélabre
kandera	candir
kanderad	confit
kandidat	candidat
kandidatur	candidature
kandidera	candidater
kanel	cannelle
kanin	lapin
kaninbur	clapier
kaninsvält	intoxication protéinée
kanjobal	kanjobal
kanjon	canyon
kanna	cruche
kannada	kannada
kannelera	canneler
kannelyr	cannelure
kannibal	cannibale
kannibalisk	cannibale
kannibalism	cannibalisme
kanon	canon
kanonad	canonnade
kanonisering	canonisation
kanonisk	canonique
kanot	canoë
kanotist	canoéiste
kanotpaddlare	canoéiste
kanske	peut-être
kansler	chancelier
kansli	cabinet
kant	bord
kantarell	chanterelle
kantele	kantele
kantig	anguleux
kantor	chantre
kantra	chavirer
kantsk	kantien
kantstolpe	délinéateur
kanyl	canule
kaos	chaos
kaotisk	chaotique
kap	cap
kapabel	capable
kapell	chapelle
kapillär	capillaire
kapital	capital
kapital	capital
kapitalisera	capitaliser
kapitalism	capitalisme
kapitalist	capitaliste
kapitalistisk	capitaliste
kapitalvara	biens d’équipement
kapitalvinstskatt	impôt sur les plus-values
kapitel	chapitre
kapitäl	chapiteau
kaplan	chapelain
kappa	kappa
kapplöpning	course
kapprak	droit comme un i
kapriciös	capricieux
kaprifol	chèvrefeuille
kapris	caprice
kapronsyra	acide caprique
kapsejsa	chavirer
kapsyl	capsule
kapsylera	encapsuler
kapsylöppnare	décapsuleur
kapten	capitaine
kapucin	capucin
kapun	chapon
kapuschong	capuchon
kaputt	foutu
kapverdisk	cap-verdien
kar	bassine
karakterisera	caractériser
karakteristik	caractéristique
karakteristisk	caractéristique
karaktär	caractère
karamell	bonbon
karantän	quarantaine
karat	carat
karate	karaté
karatjajbalkariska	karatchaï-balkar
karavan	caravane
karavell	caravelle
karbidlampa	lampe à acétylène
karbin	carabine
karcinom	carcinome
karda	carder
kardemumma	cardamome
kardinal	cardinal
kardinalitet	cardinalité
kardinaltal	nombre cardinal
kardiolog	cardiologue
kardiologi	cardiologie
kardiovaskulär	cardiovasculaire
karelsk	carélien
karelska	carélien
karenstid	délai de carence
karessera	caresser
karg	aride
karikatyr	caricature
karikatyrisk	caricatural
karikera	caricaturer
karisma	charisme
karismatisk	charismatique
karneval	carnaval
karolinasumphöna	Marouette de Caroline
karolinatita	mésange de Caroline
kaross	carrosserie
karosseri	carrosserie
karoten	carotène
karott	carotte
karp	carpe
karriär	carrière
karriärist	carriériste
karsk	intrépide
karta	carte
kartell	cartel
kartesisk produkt	produit cartésien
kartograf	cartographe
kartong	carton
karusell	carrousel
karuselldörr	porte tambour
kaschera	cacher
kasein	caséine
kasematt	casemate
kasern	caserne
kashmiri	cachemiri
kashmirisk	cachemiri
kasino	casino
kaskad	cascade
kaskelot	cachalot
kassa	caisse
kassaskåp	coffre-fort
kassasuccé	blockbuster
kassun	caisson
kassör	trésorier
kasta	jeter
kasta in handduken	jeter l'éponge
kasta pärlor åt svin	jeter des perles aux pourceaux
kasta sten i glashus	c'est l'hôpital qui se moque de la charité
kasta yxan i sjön	jeter l'éponge
kastanjefärgad	marron
kastanjett	castagnette
kastby	rafale
kastrat	châtré
kastrera	castrer
kastrull	casserole
kastspörulle	moulinet
kasuell	casuel
kasus	cas
katafalk	catafalque
kataklysm	cataclysme
katal	katal
katalansk	catalan
katalanska	Catalane
katalog	catalogue
katalysator	catalyseur
katamaran	catamaran
katapult	catapulte
katastrof	catastrophe
katastrofal	désastreux
katatoni	catatonie
katatonisk	catatonique
kateder	chaire
katedral	cathédrale
kategori	catégorie
kategorisera	catégoriser
kategorisering	catégorisation
kategorisk	catégorique
katekes	catéchisme
katet	cathète
kateter	cathéter
katjon	cation
katod	cathode
katolicism	catholicisme
katolik	catholique
katt	chat
kattbjörn	panda roux
kattlucka	chatière
kattlåda	bac à chat
kattmynta	cataire
kattsand	litière pour chats
kattunge	chaton
kattöga	cymophane
kausal	causal
kausalitet	causalité
kaustik	caustique
kauterisera	cautériser
kavaljer	cavalier
kavalleri	cavalerie
kavat	courageux
kavel	rouleau à pâtisserie
kaviar	caviar
kaxig	arrogant
kazakisk	kazakh
kazakiska	kazakh
kazoo	gazou
kea	kéa
kebab	kébab
kebabhak	kébab
kedja	chaîne
kedja	enchaîner
kedjebråk	fraction continue
kedjekurva	chaînette
kedjereaktion	réaction en chaîne
kefir	kéfir
kejsaramazon	amazone impériale
kejsardöme	empire
kejsare	empereur
kejsarinna	impératrice
kejsarsnitt	césarienne
kejserlig	impérial
keltisk	celtique
kelvin	kelvin
kemi	chimie
kemikalie	produit chimique
kemilärare	professeur de chimie
kemisk	chimique
kemisk formel	formule chimique
kemisk reaktion	réaction chimique
kemiskt vapen	arme chimique
kemist	chimiste
kemometri	chimiométrie
kenotaf	cénotaphe
kenozoikum	Cénozoïque
kentaur	centaure
kenyan	Kenyan
kenyansk	kenyan
keps	casquette
keramik	céramique
keramiker	céramiste
keramisk	céramique
keramist	céramiste
keratinocyt	kératinocyte
keraunofobi	astrarophobie
keso	fromage blanc
ketchup	ketchup
keton	cétone
kex	biscuit
keyboard	clavier
khmer	khmer
kiasm	chiasme
kibbutz	kibboutz
kibibyte	kibibyte
kidnappa	kidnapper
kidnappare	kidnappeur
kidnappning	kidnapping
kikare	jumelles
kikhosta	coqueluche
kikärt	pois chiche
kilfläckstryckare	baliste écharpe
kilfråga	point de clivage
kille	gars
killing	cabri
kilobyte	kilo-octet
kilogram	kilogramme
kilohertz	kilohertz
kilokalori	grande calorie
kilometer	kilomètre
kilowattimme	kilowattheure
kilrem	courroie trapézoïdale
kilstjärtsörn	uraète
kilt	kilt
kinabinda	renouée à fleurs multiples
kinasyra	acide quinique
kind	joue
kindergarten	école maternelle
kinematik	cinématique
kines	Chinois
kinesisk	chinois
kinesiska	Chinoise
kinetik	cinétique
kinetisk	cinétique
kiosk	kiosque
kippa	kippa
kirgiz	Kirghiz
kirgizisk	kirghiz
kirgiziska	kirghiz
kiromanti	chiromancie
kiropraktik	chiropratique
kiropraktor	chiropraticien
kirskål	égopode podagraire
kirurg	chirurgien
kirurgi	chirurgie
kirurgisk	chirurgical
kisel	silicium
kiseldioxid	dioxyde de silicium
kiseldisulfid	disulfure de silicium
kiselkarbid	carbure de silicium
kiselnitrid	nitrure de silicium
kiseltetraklorid	tétrachlorure de silicium
kissa	pisser
kisse	minou
kissekatt	mistigri
kisspaus	pause pipi
kista	cercueil
kithara	citahre
kittel	chaudron
kittla	chatouiller
kiv	chamaillerie
kivas	chamailler
kiwi	kiwi
kjol	jupe
klack	talon
klacksko	chaussure à talon
kladistik	cladistique
klaga	plaindre
klagomål	plainte
klammerparentes	accolade
klandra	blâmer
klappa	clap
klappa	battre
klapprak	torché
klara	s'en sortir, se débrouiller
klarera	éclaircir
klargöra	clarifier
klarhet	clarté
klarinett	clarinette
klarinettist	clarinettiste
klartext	texte en clair
klase	grappe
klass	classe
klassicism	classicisme
klassificera	classifier
klassificerbar	classifiable
klassificering	classification
klassifikation	classification
klassiker	classique
klassisk	classique
klasskamp	lutte des classes
klasskamrat	camarade de classe
klassrum	salle de classe
klaustrofobi	claustrophobie
klaustrofobisk	claustrophobique
klausul	clause
klav	clé
klave	pile
klaviatur	clavier
klavikord	clavicorde
klematis	clématite
klementin	clémentine
klenod	joyau
klerikalism	cléricalisme
klezmer	klezmer
klibbig	collant
klibbkorsört	séneçon visqueux
klicka	cliquer
klickbete	putaclic
klient	client
klientel	clientèle
klimat	climat
klimatförändring	changement climatique
klimatolog	climatologue
klimatologi	climatologie
klimatologisk	climatologique
klimatskeptiker	climato-sceptique
klingonska	klingon
klinisk	clinique
klippa	falaise
klippkaja	choucas de Daourie
klippning	coupe
klippsparv	bruant fou
klippsvala	hirondelle de rochers
klipsk	malin
klister	colle
klistermärke	autocollant
klitoris	clitoris
kliva	faire un pas
klo	griffe
klocka	cloche
klockhatt	cloche
klok	sage
klon	clone
klona	cloner
kloning	clonage
klor	chlore
kloretanol	alcool
klorid	chlorure
klorofyll	chlorophylle
kloroplast	chloroplaste
klorsyra	acide chlorique
klorättiksyra	acide chloroacétique
kloster	monastère
klubb	club
klubbhus	maison de club
klumpfisk	môle
klumpfot	pied-bot
klumpig	maladroit
klunga	groupe
klunk	gorgée
klyfta	crevasse
klyscha	cliché
klyva	fendre
klä	habiller
kläckning	éclosion
klädedräkt	costume
kläder	habillement
klädesplagg	vêtement
klädnypa	épingle à linge
klämma	pince à linge
klänning	robe
klärobskyr	clair-obscur
klärvoajans	clairvoyance
klärvoajant	voyant
klättra	gravir
klättrare	alpiniste
klättring	ascension
klå	battre
klåda	démangeaison
klösa	griffer
klöver	trèfles
klöverblåvinge	azuré des cytises
knacka	frapper
knapp	bouton
knapphändig	sommaire
knapphål	boutonnière
knapplift	téléski à perche
knappnål	épingle
knappt	un peu moins que
knaprig	croquant
knark	drogue
knarkare	toxicomane
knarklangare	trafiquant de drogue
knekt	valet
knep	astuce
kniv	couteau
knivattack	attaque au couteau
knivblad	lame de couteau
knivhugga	poignarder
knivsmed	coutelier
knockout	knock-out
knop	nœud
knopp	bourgeon
knorrhane	grondin gris
knott	moucheron
knubbig	potelé
knuffa	bousculer
knull	baise
knulla	baiser
knulldocka	poupée sexuelle
knullkompis	copain de baise
knut	chignon
knutpunkt	nexus
knyta	nouer
knyte	balluchon
knytkalas	auberge espagnole
knytnäve	poing
knä	genou
knäcka	briser
knäpp	dingue
knäppa	boutonner
knäskål	rotule
knåda	pétrir
knökfull	archiplein
knöl	tumeur
knölval	jubarte
ko	vache
koagulation	coagulation
koalition	coalition
kobent	cagneux
kobolt	cobalt
koboltmes	mésange nord-africaine
kock	cuisinier
kockmössa	toque
kod	code
kodiakbjörn	ours kodiak
kodominant	codominant
kodon	codon
kodpunkt	point de code
koefficient	coefficient
koenzym	coenzyme
koffein	caféine
koffernagel	cabillot
kofot	pied-de-biche
kofångare	pare-chocs
koger	carquois
kogg	cogue
kognitionsvetenskap	sciences cognitives
kohort	cohorte
koincidens	coïncidence
koine	koinè
koka	bouillir
kokain	cocaïne
kokard	cocarde
kokbok	livre de cuisine
kokerska	cuisinière
kokett	coquet
kokett	allumeuse
koketteri	coquetterie
kokill	moule
kokning	cuisson
kokong	cocon
kokosmjölk	lait de coco
kokosnöt	noix de coco
kokospalm	cocotier
kokosvatten	eau de coco
koksalt	sel de table
kol	charbon
kola	coca
kolatom	atome de carbone
kolchos	kolkhoze
koldioxid	dioxyde de carbone
koldioxidskatt	taxe carbone
kolera	choléra
kolerisk	colérique
kolesterol	cholestérol
kolgruva	mine de charbon
kolhydrat	glucide
kolibri	colibri
kolja	aiglefin
kolkraftverk	centrale à charbon
kollaboratör	collaborateur
kollaborera	collaborer
kollaps	collapsus
kollega	collègue
kollekt	quête
kollektiv	collectif
kollektiv	collectif
kollektivisera	collectiviser
kollektivism	collectivisme
kollektivt	collectivement
kollektivtrafik	transport en commun
kollektor	collecteur
kollision	collision
kollokation	collocation
kollokvium	colloque
kolmonoxid	monoxyde de carbone
kolon	deux points
koloni	colonie
kolonial	colonial
kolonialism	colonialisme
kolonisation	colonisation
kolonisatör	colonisateur
kolonisera	coloniser
kolonn	colonne
koloratur	colorature
koloss	colosse
kolossal	immense
kolportera	colporter
kolportör	colporteur
koltetraklorid	tétrachlorométhane
koltrast	merle
kolumbarium	columbarium
kolumn	chronique
kolumnist	chroniqueur
kolv	piston
kolväte	hydrocarbure
koma	coma
kombinera	combiner
komedi	comédie
komedienn	comédienne
komet	comète
komfort	confort
komfortabel	confortable
komfortzon	zone de confort
komiker	humoriste
komisk	comique
komjölk	lait de vache
komma	virgule
komma	venir
komma överens	s'entendre
kommande	prochain
kommatecken	virgule
kommensurabel	commensurable
kommentar	commentaire
kommentator	commentateur
kommentera	commenter
kommersialisera	commercialiser
kommersiell	commercial
kommissariat	commissariat
kommissarie	commissaire
kommission	commission
kommissionär	commissionnaire
kommitté	comité
kommun	commune
kommunal	communal
kommunalråd	conseil municipal
kommunard	communard
kommunikation	communication
kommuniké	communiqué
kommunism	communisme
kommunist	communiste
kommunistisk	communiste
kommutativ	commutatif
kommutativitet	commutativité
kommutera	commuter
komodovaran	dragon de Komodo
kompakt	compact
komparation	comparaison
komparativ	comparatif
komparera	comparer
kompass	boussole
kompatibel	compatible
kompatibilitet	compatibilité
kompendium	compendium
kompensation	dédommagement
kompensera	dédommager
kompetens	compétence
kompetensflykt	fuite des cerveaux
kompilator	compilateur
kompis	pote
komplementmängd	ensemble complémentaire
komplementvinkel	angle complémentaire
komplex	complexe
komplex	complexe
komplexitet	complexité
komplexkonjugat	conjugué
komplext tal	nombre complexe
komplicera	compliquer
komplicerad	compliqué
komplikation	complication
komplimang	compliment
komplimentera	complimenter
komplott	complot
komponent	composant
komponera	composer
kompost	compost
kompostera	composter
komposterbar	compostable
kompostering	compostage
kompott	compote
kompressibel	compressible
kompression	compression
kompressor	compresseur
komprimera	comprimer
kompromettera	compromettre
kompromiss	compromis
kompromissa	arriver
kon	cône
koncentration	concentration
koncentrera	concentrer
koncentrerad	concentré
koncentrisk	concentrique
koncept	concept
konceptalbum	album-concept
konceptera	conceptualiser
konceptualisera	conceptualiser
konceptuell	conceptuel
koncession	concession
konciliarism	conciliarisme
koncilium	concile
koncis	concis
kondensation	condensation
kondensator	condensateur
kondensera	condenser
kondition	condition
konditor	confiseur
konditori	pâtisserie
kondoleans	condoléances
kondom	préservatif
konduktans	conductance
konduktivitet	conductivité
konduktor	conducteur
konduktör	contrôleur
konfederation	confédération
konfederera	confédérer
konfekt	confiserie
konfektion	confection
konferens	conférence
konfirmation	confirmation
konfirmeringsbias	biais de confirmation
konfiskation	confiscation
konfiskering	confiscation
konflikt	conflit
konformism	conformisme
konformist	conformiste
konformistisk	conformiste
konformitet	conformité
konfrontation	confrontation
konfrontera	confronter
konfucianism	confucianisme
kongoles	Congolais
kongress	congrès
konisk	conique
konjak	cognac
konjugera	conjuguer
konjunktion	conjonction
konjunktiv	subjonctif
konkav	concave
konklusion	conclusion
konkordans	concordance
konkret	concret
konkurrent	concurrent
konkurs	faillite
konkvistador	conquistador
konnotation	connotation
konnässans	connaissance
konnässör	connaisseur
konossement	connaissement
konsekvens	conséquence
konsensus	consensus
konsert	concert
konservatism	conservatisme
konservativ	conservateur
konservator	conservateur
konservera	conserver
konservöppnare	ouvre-boîte
konskribera	conscrire
konskription	conscription
konsolidera	consolider
konsonant	consonne
konsortium	consortium
konspiration	conspiration
konspirationsteori	théorie du complot
konspirera	conspirer
konst	astuce
konstant	constant
konstant	constamment
konstant	constant
konstellation	constellation
konsternation	consternation
konsternera	consterner
konstfiber	fibre chimique
konstgjord	artificiel
konsthall	gallerie d'art
konsthistoria	histoire de l'art
konsthistoriker	historien de l'art
konstig	bizarre
konstituent	constituant
konstitution	constitution
konstitutionell	constitutionnel
konstnär	artiste
konstnärlig	artistique
konstpsykologi	psychologie de l'art
konstruera	construire
konstruktion	construction
konstruktiv	constructif
konstruktivism	constructivisme
konstsamlare	collectionneur d'art
konstsnö	neige artificielle
konstverk	œuvre d’art
konståkning	patinage artistique
konsul	consul
konsulat	consulat
konsultera	consulter
konsument	consommateur
konsumera	consommer
konsumtion	consommation
kontagiös	contagieux
kontakt	contact
kontakta	contacter
kontaktannons	annonce personnelle
kontaktlins	lentille de contact
kontaktyta	surface de contact
kontaminera	contaminer
kontaminering	contamination
kontemplativ	contemplatif
kontext	contexte
kontextualisera	contextualiser
kontextualisering	contextualisation
kontextuell	contextuel
kontinent	continent
kontinental	continental
kontinentalplatta	plaque tectonique
kontinentalsockel	plateau continental
kontinuerlig	continu
kontinuitet	continuité
kontor	bureau
kontorist	commis
kontorsvaror	fournitures de bureau
kontoutdrag	relevé de compte
kontraband	contrebande
kontrabas	contrebasse
kontrafagott	contrebasson
kontrakt	contrat
kontraktion	contraction
kontraproduktiv	contre-productif
kontrast	contraste
kontring	contre
kontroll	contrôle
kontrollera	être maître de
kontrovers	controverse
kontroversiell	controversé
kontur	contour
konungarike	royaume
konvalescens	convalescence
konvektion	convection
konventionalisera	conventionnaliser
konventionalism	conventionnalisme
konventionell	conventionnel
konvergens	convergence
konvergent	convergent
konvergera	converger
konversation	conversation
konversera	converser
konvertera	convertir
konvex	convexe
konvoj	convoi
konvolut	enveloppe
konvulsion	convulsion
kooperera	coopérer
koordinat	coordonnée
koordination	coordination
koordinatsystem	système de coordonnées
kopek	kopeck
kopia	copie
kopiator	photocopieuse
kopiera	copier
kopieringsmaskin	copieur
kopp	tasse
koppar	cuivre
koppardiklorid	bichlorure de cuivre
kopparmynt	monnaie de cuivre
kopparnickel	cupronickel
kopparnitrat	nitrate de cuivre
kopparsulfat	sulfate de cuivre
koppel	laisse
koppla	comprendre
koppleri	proxénétisme
koppsten	boutisse
koprolit	coprolithe
kopula	copule
kopulera	copuler
kor	chœur
korda	corde
korean	Coréen
koreansk	coréen
koreanska	Coréenne
koreograf	chorégraphe
koreografera	chorégraphier
koreografi	chorégraphie
korg	panier
koriander	coriandre
korjakiska	koriak
kork	bouchon
korkad	crétin
korkskruv	tire-bouchon
korn	grain
kornett	cornet à pistons
kornig	granuleux
kornisch	corniche
korniska	cornique
korona	couronne
korp	corbeau
korpral	caporal
korpulens	corpulence
korpulent	corpulent
korpuskel	corpuscule
korrekt	correcte
korrektur	correction
korrekturläsare	relecteur
korrelation	corrélation
korrespondera	correspondre
korridor	couloir
korrigera	corriger
korrigerad	corrigé
korrigering	correction
korrigeringsfärg	fluide correcteur
korrodera	corroder
korrosiv	corrosif
korrumpera	corrompre
korruption	corruption
kors	croix
korsa	traverser
korsdrag	courant d'air
korsett	corset
korsfästa	crucifier
korsfästelse	crucifixion
korsfästning	crucifixion
korsikansk	corse
korsikanska	Corse
korsord	mots croisés
korståg	croisade
korsväg	carrefour
korsört	séneçon
kort	court
kort	brièvement
kort	carte postale
kortbyxor	short
kortfilm	court-métrage
korthet	brièveté
korthus	château de cartes
kortison	cortisone
kortlek	jeu de cartes
kortna	raccourcir
kortnosad elefantnäbbmus	macroscélide à nez court
kortsiktig	à court terme
kortsluta	court-circuiter
kortslutning	court-circuit
kortspel	jeu de cartes
korttålärka	alouette calandrelle
kortvåg	onde courte
korund	corindon
korv	saucisse
korvett	corvette
kosack	Cosaque
koskälla	clarine
kosmisk	cosmique
kosmodrom	base de lancement
kosmogoni	cosmogonie
kosmolog	cosmologiste
kosmologi	cosmologie
kosmologisk	cosmologique
kosmonaut	cosmonaute
kosmopolit	cosmopolite
kosmos	cosmos
kosovan	Kosovare
kosovansk	kosovar
kosta	coûter
kosta skjortan	coûter la peau du cul
kostsam	coûteux
kostym	costume
kota	vertèbre
kotiljong	cotillon
kotlett	côtelette
kotte	chat
krabba	crabe
krackelering	craquelure
kraft	puissance
kraftlöshet	faiblesse
kraftprov	tour de force
kraftuttryck	juron
kraftverk	centrale électrique
kragparadisfågel	paradisier superbe
kragtrapp	outarde houbara
krake	canaille
kram	étreinte
kramis	câlinou
kramp	crampe
kran	robinet
kranbil	grue mobile
krans	couronne
kranvatten	eau du robinet
krapp	garance des teinturiers
krass	grossier
krater	cratère
kratta	râteau
krav	exigence
kravla	ramper
kraxa	croasser
kreation	création
kreativ	créatif
kreativitet	créativité
kreatur	animal de rente
kredibilitet	crédibilité
kredit	crédit
kreditivbrev	lettres de créance
kreditkort	carte de crédit
kreera	créer
krematorium	crématorium
kremera	crématiser
kremering	crémation
krenelering	rempart
kreolspråk	créole
kretensare	Crétois
kretin	crétin
krets	cercle
kretsa	tournoyer
kretslopp	cycle
kricket	cricket
krig	guerre
krigare	guerrier
krigisk	belliqueux
krigsdimma	brouillard de guerre
krigsfartyg	navire de guerre
krigsfilm	film de guerre
krigsfånge	prisonnier de guerre
krigsförbrytare	criminel de guerre
krigskassa	trésor de guerre
krigsslut	fin de la guerre
krigsspel	jeu de guerre
krikon	quetsche
kriminalroman	roman policier
kriminell	criminel
kriminolog	criminologue
kriminologi	criminologie
kriminologisk	criminologique
krimsk	criméen
krimskrams	attirail
krimtatariska	tatar de Crimée
krimtjakiska	krymtchak
kringgå	contourner
kringla	bretzel
krinolin	crinoline
kris	crise
krishantering	gestion de crise
krisma	chrême
krissla	inule à feuilles de saule
kristadelfian	christadelphe
kristall	cristal
kristallisera	cristalliser
kristallkrona	lustre
kristdemokrat	chrétien-démocrate
kristen	chrétien
kristen	chrétien
kristendom	christianisme
kristna	christianiser
kristofobi	christianophobie
krita	craie
kriterium	critère
kritik	critique
kritisera	critiquer
kritiserad	critiqué
kritisk	critique
kritisk punkt	point critique
kroat	Croate
kroatisk	croate
kroatiska	Croate
krock	carambolage
krocka	heurter
krocket	croquet
krockkudde	airbag
krog	bar
krok	hameçon
kroka	accrocher
krokben	croc-en-jambe
krokig	courbé
kroklossare	dégorgeoir
krokna	se courber
krokodil	crocodile
krokodiltår	larmes de crocodile
krokus	crocus
krom	chrome
kromatid	chromatide
kromatin	chromatine
kromdioxid	dioxyde de chrome
kromosfär	chromosphère
kromosom	chromosome
kromsyra	acide chromique
kromtrioxid	trioxyde de chrome
krona	face
kronblad	pétale
kronisk	chronique
kroniskt	chroniquement
kronobiologi	chronobiologie
kronologi	chronologie
kronologisk	chronologique
kronometer	chronomètre
kronprins	prince héritier
kronärtskocka	artichaut
kropp	corps commutatif
kroppsdel	membre
kroppskamera	caméra-piéton
kroppsspråk	langage corporel
kroppstemperatur	température corporelle
krubba	bouffer
krucifix	crucifix
kruciverbist	cruciverbiste
kruka	pot
krukmakare	potier
krukväxt	plante verte
krumhorn	cromorne
krupp	croup
krusbär	groseille à maquereau
krut	poudre à canon
krycka	béquille
krydda	épice
krydda	assaisonner
kryddnejlika	clou de girofle
kryddstark	piquant
krympa	rétrécir
krypa	ramper
krypta	crypte
kryptera	crypter
krypterad	chiffré
kryptografi	cryptographie
kryptografisk	cryptographique
kryptolog	cryptologue
kryptologi	cryptologie
kryptologisk	cryptologique
krypton	krypton
kryptonit	kryptonite
kryptovaluta	crypto-monnaie
kryptozoologi	cryptozoologie
krysotil	chrysotile
kryss	lucarne
kryssning	croisière
kryssningsfartyg	navire de croisière
kryssningsrobot	missile de croisière
kryssprodukt	produit vectoriel
krysta	pousser
krystad	forcé
kräfta	écrevisse
kräftdjur	crustacé
kräkas	vomir
kräkning	vomissement
kräldjur	reptile
kräm	crème
krämpa	infirmité
kränga	retourner
kränka	offenser
kränkt	offenser
kräpp	crêpe
kräsen	difficile
kräslig	friand
kräva	demander
kråka	corbeau
kråkbär	camarine noire
krön	crête
kröna	couronner
krönika	chronique
krönikeskrivare	chroniqueur
krönikör	chroniqueur
kröning	couronnement
krösus	crésus
kub	cube
kubakrokodil	crocodile de Cuba
kuban	Cubain
kubansk	cubain
kubanska	Cubaine
kubera	cuber
kubikmeter	mètre cube
kubikrot	racine cubique
kubisk ekvation	équation cubique
kubism	cubisme
kuckeliku	cocorico
kudde	oreiller
