ABC	alfabet
organization	organisation
original	original
originate	härstamma
ornament	smycka
orthodox	renlärig
ostrich	struts
other	annan
other	utom
ought	böra
our	vår
out	ute
outfit	klädedräkt
outline	silhuett
outside	ute
outskirts	periferi
out	från
out	gammaldags
out	kaputt
oval	oval
oven	kamin
overall	total
overcoat	paletå
overhead	uppe
overpower	ockupera
overshoe	galosch
over	där
ow	ack
owing	på
owl	uggla
own	innehava
owner	ägare
ox	oxe
oxygen	syre
oyster	ostron
o	timme
pace	steg
pack	packa
packet	paket
pad	block
pagan	hednisk
pail	bytta
pain	pina
painful	pinsam
paint	färga
painter	målare
painting	målning
pair	duo
pal	kamrat
palace	palats
pale	glåmig
palm	palm
palmtree	palm
pamper	kela
pamphlet	broschyr
panic	panik
pantechnicon	flyttbil
pantechnicon	flyttbil
panties	underbyxor
pantomime	pantomim
pants	benkläder
paper	tapetserare
paper	dokument
paperback	broschyr
paperer	tapetserare
parachute	fallskärm
parade	parad
paradise	paradis
paraffin	fotogen
paraffin	paraffin
paragraph	paragraf
parallel	parallel
paralyse	förlama
parapet	balustrad
parasite	parasit
parcel	paket
pardon	benåda
parenthesis	spasm
parents	svärföräldrar
parents	föräldrar
parish	prästgård
park	park
parliament	parlament
parlour	salong
parrot	papegoja
parsley	persilja
part	andel
partial	partisk
particular	särskild
partridge	rapphöna
party	anhang
passable	gångbar
passenger	passagerare
passion	glöd
passionate	passionerad
passport	pass
pass	avlida
paste	deg
pastor	präst
patch	flicka
patch	flicka
pate	huvud
patent	oktroj
paternal	faster
paternal	farfader
paternal	farmor
paternal	farföräldrar
paternal	farbroder
path	bana
patience	tålamod
patient	tålig
patriarch	patriark
patrol	patrull
patron	beskyddare
pattern	schema
pause	paus
pavement	gångbana
pavilion	paviljong
paw	ben
pawn	pion
pay	betala
payment	avbetalning
pay	beakta
pay	beakta
pay	avbetala
pay	bekosta
pea	ärt
peace	fred
peach	persika
peacock	påfågel
pear	päron
pearl	pärla
peasant	landsbo
peculiar	egendomlig
pedal	pedal
pedestrian	fotgängare
peel	bark
peer	stirra
pelican	pelikan
pelvis	skål
pen	fickkniv
pencil	blyertspenna
peninsula	halvö
pension	pension
people	folk
pepper	peppar
per	i
percent	procent
percentage	procent
perchance	kanhände
perform	göra
perfume	parfym
perhaps	kanhände
peril	fara
period	period
periodical	tidskrift
periphery	periferi
perish	förgås
permanent	konstant
perplexed	oredig
persecute	förfölja
persecution	förföljande
person	person
personal	personlig
personality	art
personal	personnummer
perspiration	svett
persuade	överbevisa
pessimistic	pessimistisk
pestilence	pest
pet	kela
petrol	bensin
petroleum	fotogen
phantom	gast
pharmaceutical	läkemedel
pheasant	fasan
phenomenon	fenomen
philosopher	filosof
phlegm	slem
phone	telefonhytt
phosphorus	fosfor
photograph	fotografera
photographer	fotograf
photography	fotografi
physical	kroppslig
physician	doktor
physics	fysik
piano	piano
pick	sticka
pick	kora
pick	avhämta
picture	bild
picture	vykort
pie	tårta
piece	andel
piece	möbel
pig	gris
pigeon	duva
pigeonhole	fack
pigmy	dvärg
pike	gädda
pile	hop
pilgrimage	pilgrim
pill	piller
pillar	pelare
pillow	huvudgärd
pilot	lotsa
pin	knappnål
pine	fur
pine	fur
pineapple	ananas
pink	nejlika
pioneer	pionär
pious	gudlig
pip	korn
pipe	pipa
pirate	pirat
pistol	pistol
pit	kärna
pitcher	kruka
pitch	becksvart
pity	hamedlidande
pivot	spindel
placard	affischera
place	ort
place	födelseort
place	kyrka
plague	pest
plaice	rödspotta
plain	slätt
plan	projekt
plane	platan
plane	flygmaskin
planet	planet
plank	bräde
plant	plantera
plate	fat
platform	kaj
platinum	platina
platter	fat
plausible	trolig
play	leka
plaza	torg
pleasant	angenäm
please	varsågod
pleased	belåten
pleasure	behag
plot	intrig
plough	plöja
pluck	plocka
plug	gnista
plug	ansluta
plum	plommen
plume	plym
plunder	roffa
plunge	dyka
pocket	ficka
poem	dikt
poet	diktare
poetry	poesi
point	uppvisa
poison	förgifta
poisonous	ettrig
pole	grav
police	polisstation
police	polis
policeman	konstapel
policy	politik
polish	glansslipa
polite	artig
politeness	artighet
political	politisk
politician	politiker
politics	politik
polyp	polyp
pond	damm
pool	para
poor	arg
pope	påve
poplar	poppel
poppy	vallmo
popular	populär
population	befolkning
porch	partvalv
porcupine	piggsvin
pork	fläsk
port	hamn
portable	portativ
portal	inträde
portent	varsel
porter	dörvakt
portfolio	portfölj
port	babord
position	position
possess	innehava
possession	egendom
possible	möjlig
possibly	kanhände
post	portofri
post	affischera
postage	porto
postage	frimärke
postal	postnummer
postcard	brevkort
poster	affisch
postman	brevbärare
post	postkontor
post	affischera
pot	kanna
potato	potatis
pound	pund
pour	gjuta
poverty	armod
powder	pulver
powerful	mäktig
practicable	gångbar
practical	praktisk
practice	övning
practise	inöva
praise	berömma
prawn	räkna
pray	bedja
prayer	bön
preach	predika
preacher	predikant
precipice	avgrund
precise	ackurat
precursor	varsel
preferably	hellre
pregnant	havande
prejudice	fördom
preparation	beredelse
prepare	bereda
presage	varsel
prescription	recept
presence	närvaro
present	gåva
present	presentera
preservative	preventivmedel
preserve	behålla
president	president
press	trycka
pressure	tryck
presume	anta
pretend	låtsassomom
pretext	förevändning
prevent	förhindra
prey	fångst
price	pris
pricey	dyr
pride	stolthet
primeval	urskog
primitive	primitiv
primrose	viva
prince	furste
princess	furstinna
principality	furstendöme
principle	princip
print	trycka
prison	fängelse
privilege	privilegium
probable	antaglig
probably	troligtvis
problem	problem
procedure	förfäringssätt
proceed	processa
process	förfäringssätt
procession	procession
proclamation	förklaring
produce	alstra
product	alster
production	alstring
profess	bekänna
profession	profession
professor	professor
profile	profil
profit	profitera
profound	djup
programme	program
project	projekt
proletarian	proletär
promise	lova
prompt	ackurat
proof	bevis
prop	stöd
propaganda	propagando
property	bondgård
prophesy	varsla
prophet	profet
prose	prosa
prosecute	förfölja
protect	beskydda
protection	beskydd
protest	protest
prototype	urbild
prot	skyddsling
prot	skyddsling
proud	stolt
prove	bevisa
proverb	ordspråk
provided	om
province	landskap
provincial	provinsiell
proximity	närhet
psalm	psalm
pseudonym	pseudonym
psyche	psyke
psychiatrist	psykiater
psychiatry	psykiatri
psychic	psykisk
public	allmän
publicity	propagando
public	torg
publish	offentliggöra
publisher	förläggare
pudding	pudding
pull	rycka
pull	slopa
pulpit	kateder
pulsate	pulsera
pulse	puls
pump	pumpa
punctual	ackurat
punish	aga
punishment	straff
puppet	docka
purchase	anskaffa
purchaser	köpare
purchase	köpesumma
pure	gedigen
purge	luttra
purple	purpur
purse	börs
pursue	förfölja
pursuit	förföljande
push	puffa
put	lägga
putty	kitt
put	lägga
put	inreda
put	presentera
put	förfärlig
put	lida
puzzle	gåta
puzzle	grubbla
pyjamas	pyjamas
pyramid	pyramid
quadrangle	fyrhörning
quality	egenskap
quarrel	gräla
quarter	kvarter
quarter	kvart
quash	förinta
quay	kaj
queen	dam
question	fråga
quicksilver	kvicksilver
quit	lämna
quite	bra
quiver	bäva
quotation	anförande
quotation	anföringstecken
quote	anföra
rabbi	rabbin
rabbit	kanin
rabies	rabies
raccoon	sjubb
race	springa
rack	grubbla
racoon	sjubb
radiate	stråla
radio	radio
radish	rädisa
raffle	lotteri
raft	flotte
rag	lapp
ragout	ragu
railing	balustrad
railroad	järnväg
railway	järnväg
rain	regna
rainbow	regnbåge
raincoat	regnrock
raise	uppfostra
raise	alarmere
rake	kratta
ram	bagge
ranch	bondgård
rancour	agg
rand	brädd
rank	rang
rapier	värja
rare	rar
raspberry	hallon
rat	råtta
rate	rang
rather	någorlunda
ravine	bergklyfta
raw	okokt
ray	stråle
razor	rakblad
razor	rakkniv
reach	ernå
reaction	reaktion
reactionary	reaktionär
read	läsa
reading	lektyr
ready	färdig
real	faktisk
reality	sanning
realization	begrepp
realize	begripa
really	sannerligen
rear	baklykta
rear	baklykta
reason	orsak
rebel	rebell
rebound	studsa
rebuke	missbilliga
recall	ihågkomma
receipt	betalningsbevis
receive	tackajatill
recess	paus
recipe	recept
recite	deklamera
recline	ligga
recognize	erkänna
recollect	ihågkomma
recollection	minne
recommend	anbefalla
recommendable	rekommendabel
recommendation	anbefallning
record	platta
records	arkiv
recover	hela
recovery	räddning
recruit	rekryt
rector	rektor
red	röd
reek	osa
reflect	begrunda
refusal	vägran
refuse	neka
regal	furstlig
regard	betrakta
regiment	regemente
region	gebit
register	inregistrera
regret	ångra
regrettable	beklaglig
regrettably	detvarsynd
regular	regelmässig
regularly	ofta
regulations	reglemente
reindeer	ackja
reindeer	ackja
reject	tackanejtill
rejoice	fröjda
relate	berätta
related	anhörig
relation	förhållande
relations	släkt
relationship	släkt
relative	anförvant
relatives	släkt
release	befria
reliable	pålitlig
relief	lättnad
relieved	lättad
religion	religion
religious	religiös
relinquish	cedere
rely	haförtroendeför
remain	förbli
remainder	rest
remarkable	anmärkningsvärd
remedy	hela
remember	ihågkomma
remit	arbeställa
removal	flyttning
rent	hyra
rental	hyra
renter	hyresgäst
rent	hyra
rent	uthyra
repair	reparera
repay	återbetala
repeat	upprepa
repentance	ruelse
repertoire	repertoar
replete	mätt
reply	svara
report	rapportera
repose	rasta
representation	figur
representative	agent
reproach	förebrå
reproduction	reproduktion
reprove	förebrå
reptile	kräldjur
republic	republik
request	anmoda
require	behöva
rescue	rädda
resemblance	likhet
resemble	likna
resentment	agg
reservoir	bassäng
residence	boning
respect	harespektför
respiration	andhämtning
respond	svara
responsibility	ansvar
responsible	ansvarig
rest	rest
restaurant	restaurang
restrain	härska
restraint	självbehärskning
restrict	avgränsa
result	härstamma
retirement	pension
reveal	offentliggöra
revenge	hämnd
revolution	revolution
revolutionary	revolutionär
revolver	revolver
reward	belöna
rhino	noshörning
rhinoceros	noshörning
rhyme	rimma
rhythm	rytm
rice	ris
rich	rik
riddle	gåta
ride	rida
ridiculous	löjlig
rifle	gevär
right	korrekt
righteous	riktig
righteousness	rätt
rigid	styv
rim	brädd
ring	ring
riot	tumult
ripe	mogen
ripen	mogna
risk	riskera
ritual	ritual
rival	rival
river	flod
road	bana
roam	irra
roar	råma
roar	gapskratta
roast	halstra
roastbeef	rostbiff
rob	råna
robber	rånare
robe	klänning
rock	klippa
rocket	raket
roe	rådjur
rogue	niding
role	roll
roll	bulle
roller	rullgardin
roller	cylinder
rolling	stenrik
roof	tak
room	utrymme
rooster	tupp
root	rot
rope	lina
rose	ros
rostrum	tribun
rotten	rutten
rough	ovänlig
round	rund
round	runda
route	gång
routine	rutin
row	roddbåt
row	fil
rowan	rönnbär
rowing	roddbåt
royal	furstlig
rub	gnida
rubber	gummi
ruby	rubin
rudder	styre
rude	gensvarig
rudiments	alfabet
ruin	ruinera
rule	härska
ruler	linjal
rules	reglemente
rumor	rykte
rumour	rykte
rump	stjärt
run	springa
run	fly
run	söka
rust	rosta
rusty	rostig
rye	råg
r	regim
r	roll
sack	säck
sacrament	sakrament
sacred	helig
sad	ledsen
saddle	sadel
sadness	bedrövelse
safe	säker
safety	säkerhetsnål
safety	behåll
safety	säkerhetsnål
sagacious	klok
sage	klok
sail	segla
sailor	sjöman
saint	helgon
salad	salad
salamander	salamander
salary	arvode
sale	försäljning
sales	marknad
saliva	dregel
salivate	dregla
sallow	glåmig
salmon	lax
salon	salong
salt	salt
salty	salt
salt	saltvatten
salute	hälsa
salvage	räddning
salvation	räddning
sample	mönster
sanctuary	helgedom
sanctum	helgedom
sand	sandig
sand	sandig
sandal	sandal
sandbank	bank
sap	saft
sarcastic	sarkastisk
sardine	sardin
satisfied	belåten
sauce	spad
sauna	badstuga
sausage	korv
savage	ostyrig
save	rädda
saw	såga
say	säga
say	sägaadjö
say	sägaadjö
say	bejaka
scaffold	schavott
scale	fjäll
scandal	anstöt
scar	ärr
scarcely	knappast
scatter	gjuta
scene	scen
scenery	landskap
scent	doft
sceptre	scepter
schedule	kommunikationstabell
scheme	projekt
school	skola
science	vetenskap
scientific	vetenskaplig
scientist	vetenskapsman
scissors	sax
scold	förebrå
scrap	lapp
scratch	klå
scream	hojta
screw	skruva
screwdriver	skruvmejsel
scuffle	batalj
sculptor	bildhuggare
scythe	lie
sea	säl
sea	hav
seagull	fiskmås
seal	säl
seaside	kust
season	säsong
seat	sittplats
seaweed	alg
second	andra
secret	dold
secretary	sekretarere
sect	sekt
section	fack
secure	befästa
security	behåll
seduce	förföra
see	möta
seed	frö
seek	leta
seem	synas
self	självbehärskning
self	självförtroende
self	blyg
self	självbehärskning
self	självbehärskning
self	självförtroende
self	själv
sell	avyttra
send	sända
sender	adressant
sense	begrepp
sentence	mening
separate	särskild
serenade	serenad
serf	träl
sergeant	sergeant
series	serie
serious	viktig
sermon	predikan
serpent	orm
servant	städerska
service	tjänst
set	apparat
settlement	koloni
set	görabesviken
seven	sju
seventeen	sjutton
seventeenth	sjuttonde
seventh	sjunde
seventy	sjutti
several	alltemellanåt
sew	sy
sewer	avlopp
sex	kön
sexual	sexuell
shack	barack
shade	skugga
shadow	skugga
shallop	slup
shallow	grund
shame	blygsel
shamrock	klöver
shanty	barack
shape	bilda
share	aktie
shark	haj
sharp	amper
sharpen	skärpa
sharpness	skärpa
shatter	krossa
shave	raka
shawl	schal
she	åsninna
she	björnhona
she	get
she	varghona
she	hon
sheaf	knippa
shed	barack
sheep	får
sheet	blad
shell	snäcka
shelter	kasematt
shield	skylt
ship	fartyg
ship	slup
shirt	skjorta
shiver	bäva
shoe	skoband
shoe	sko
shoo	driva
shop	affär
shopkeeper	butiksinnehavare
shopping	affärsgata
shore	kust
short	kortsynt
short	gen
shortage	brist
shortcoming	brist
shorthand	snabbskrift
shorts	knäbyxor
short	knäbyxor
short	novell
should	böra
shoulder	axel
shout	hojta
show	uppvisa
shower	duscha
shrew	ragata
shrub	buske
shuffle	blanda
shy	blyg
shyness	blyghet
siblings	syskon
sick	dålig
side	avtagsväg
side	flank
sideboard	skåp
sidewalk	gångbana
siege	belägring
sieve	sikt
sift	harpa
sigh	sucka
sight	anblick
sign	skylt
sign	varsel
signal	signal
signature	namnteckning
signify	beteckna
silent	tyst
silhouette	silhuett
silk	avsiden
silk	avsiden
silken	avsiden
silkworm	silkesmask
sill	tröskel
silver	silver
similar	liknande
similarity	likhet
simple	simpel
simplify	förenkla
sin	synda
since	alltifrån
sinew	sena
sinful	syndig
sing	sjunga
singer	sångerska
singing	sång
single	ogift
sink	sjunka
sir	herr
sister	svägerska
sister	syster
sit	häcka
sitting	salong
situation	situation
six	sex
sixteen	sexton
sixteenth	sextonde
sixth	sjätte
sixtieth	sextionde
sixty	sexti
size	omfång
skeleton	benrangel
skeptical	klentrogen
skin	päls
skinflint	gnidare
skirt	kjol
skull	hjässa
sky	himmel
slander	bakdanta
slaughterhouse	slakthus
slave	slav
slay	avliva
sleep	sömn
sleeping	sängplats
sleeping	sovvagn
sleeping	sängplats
sleeve	ärm
slender	smal
slim	smäcker
slip	glida
slipper	toffel
slippery	hal
slogan	devis
sloop	slup
sloth	trögdjur
slow	långsam
sly	fiffig
smack	smacka
small	liten
smallpox	koppor
smart	fiffig
smash	krossa
smell	osa
smell	osa
smile	le
smith	smed
smoke	ryka
smokers	rökkupé
smokestack	skorsten
smooth	flack
smuggle	smuggla
snail	snigel
snake	orm
sneeze	nysa
snow	snö
snowdrop	snödroppe
snow	snövit
so	sålunda
soap	såpa
sobriquet	binamn
social	social
socialism	socialism
society	klubb
sock	socka
sofa	kanapé
soft	söt
soften	lena
softness	vekhet
soil	jord
soiled	smutsig
solair	solig
soldier	knekt
sole	fotsula
solicitor	advokat
solitary	ensam
soloist	solist
solve	lösa
some	någorlunda
somebody	någon
someone	någon
something	någonting
sometime	någonsin
sometimes	alltemellanåt
somewhat	någorlunda
somewhere	någonstans
some	någon
son	måg
son	son
sonata	sonat
song	visa
soon	snart
soot	sot
sorcery	trolleri
sorrel	syra
sorrow	bedrövelse
sorrowful	ledsen
sort	sort
sound	ljuda
sound	alarmere
soup	soppa
sour	surna
source	brunn
south	sydlig
southern	sydlig
sovereign	suverän
sow	so
so	lika...som
so	adjösålänge
spa	badort
space	utrymme
spaceman	rymdpilot
spacious	rymlig
spade	gräva
spare	spara
spare	ferier
spark	gnista
spark	gnista
sparrow	sparv
speak	tala
speaker	tribun
spear	lans
special	särskild
speciality	fack
specimen	mönster
spectacle	skådespel
spectacles	glasögon
speechless	stum
speed	hastighetsgräns
speed	fart
speed	hastighetsgräns
spell	stava
sphere	sfär
spider	spindel
spiderweb	spindelväv
spinach	spenat
spine	ryggrad
spinster	fröken
spiral	spiral
spirit	anda
spiritualism	spiritism
spite	agg
splinter	splittra
split	klyva
sponge	svamp
sponger	snyltgäst
spoon	sked
sporadic	sporadisk
sport	idrott
sportsman	sportsman
spot	ort
spray	pistol
spring	brunn
springtime	vår
spruce	gran
spruce	gran
spy	snoka
square	torg
square	flock
square	kvadratmeter
squatter	husockupant
squeeze	trycka
squirrel	ekorre
stab	sticka
stack	stack
stage	regissör
stage	station
staid	allvarlig
staircase	trappa
stairs	trappa
stake	påle
stalk	strå
stallion	hingst
stamp	frimärke
stamped	portofri
stanchion	påle
stand	kram
standard	standar
staple	spasm
star	stjärna
stare	stirra
starling	stare
start	begynna
state	hävda
statement	förklaring
statement	program
station	station
statistics	statistik
statue	bildstod
statute	statut
stay	förbli
stay	förbli
steak	biff
steam	dunst
steel	stål
stem	strå
stench	stank
stenography	snabbskrift
step	steg
steppe	stepp
sterile	steril
stew	ragu
stick	stav
stiff	ceremoniell
still	desslikes
sting	sticka
stingy	girig
stink	osa
stipulation	kondition
stocking	strumpa
stock	börs
stoic	stoisk
stoical	stoisk
stomach	mage
stomach	knip
stone	stenhuggare
stone	sten‐
stonemason	stenhuggare
stop	station
storage	batteri
storage	förvaringsställe
store	affär
storey	våning
stork	stork
storm	storma
story	våning
stove	kamin
straight	rak
straightedge	linjal
straightforward	simpel
strait	sund
strange	främmande
stranger	främling
strangle	strypa
straw	halm
strawberry	jordgubbe
stream	ström
street	gata
streetcar	spårvagn
strength	kraft
stress	accent
stride	steg
strike	banka
striking	påfallande
string	sena
strip	streck
stripe	streck
stroke	smeka
stroll	promenad
strong	kraftfull
struggle	kämpa
student	student
studio	ateljé
study	studera
stumble	snava
stupid	dum
sturgeon	stör
sty	stia
style	stil
subject	subjekt
subscribe	abonnera
subscriber	abonnent
subscribe	abonnera
subscription	abonnemang
subsidy	subsidier
substantive	substantiv
subterfuge	knep
subtle	subtil
suburb	förort
subway	tunnelbana
success	framgång
such	sådan
such	hur
such	hur
suck	suga
sudden	plötslig
suffer	lida
sugar	sockerskål
sugar	sockerrör
sugar	socker
sugarbowl	sockerskål
suggest	utpeka
suggestion	suggestion
suit	klädedräkt
sulphur	svavel
sum	belopp
summer	sommar
summon	kalla
sun	solig
sun	solig
sunbeam	solstråle
sunflower	solros
sunrise	soluppgång
sunset	solnedgång
superficial	grund
superior	överman
superstition	skrock
superstitious	vantrogen
supervise	besiktiga
supper	aftonmåltid
supply	avleverera
support	stödja
supporter	partigängare
supporters	anhang
suppose	anta
sure	given
surely	ju
surgeon	kirurg
surgical	kirurgisk
surgical	operation
surly	ovänlig
surmise	anta
surname	efternamn
surpass	överstiga
surprise	förvåning
surround	kringgå
suspect	misstro
suspicion	misstro
suspicious	misstrogen
sustain	stödja
sustained	konstant
swallow	svala
swamp	kärr
swan	svan
swarm	svärm
swear	svära
sweat	svettas
sweep	sopa
sweet	söt
swim	simma
swimming	bassäng
swimming	bassäng
swimming	simbyxor
swindle	bedrägeri
swine	gris
swing	svinga
swoon	svimma
sword	svärd
sycamore	lönn
syllable	stavelse
symbol	symbol
symmetric	symmetrisk
sympathetic	anslående
sympathy	sympati
symphony	symfoni
synagogue	synagoga
syrup	sirap
system	system
systematic	systematisk
table	bordduk
table	tabell
tablet	tabell
tabulation	tabell
tail	baklykta
tail	stjärt
tailor	skräddare
take	tackajatill
take	tahänsyntill
take	medbringa
take	slopa
take	tackajatill
take	tahänsyntill
take	sägaadjö
take	sägaadjö
take	retasigpå
take	anskaffa
taking	anskaffning
taking	anskaffning
tale	berättelse
talent	begåvning
talk	tala
talkative	språksam
tame	tam
tangerine	mandarin
tangle	kaos
tank	behållare
tapestry	tapet
tar	tjära
tart	tårta
taste	smak
tasteless	smaklös
tasty	läcker
tax	taxera
taxi	droskbil
tea	tekanna
tea	te
teach	undervisa
teacher	lärarinna
tear	tår
technical	teknisk
technics	teknik
technique	teknik
teeth	bett
teetotaller	absolutist
telegram	telegram
telegraph	telegrafera
telephone	anropa
telephone	telefonhytt
telephone	telefonhytt
television	television
tell	säga
tell	ljuga
temper	humör
temperature	temperatur
temple	tinning
tempt	förföra
temptation	förförelse
ten	tie
tenant	hyresgäst
tendency	håg
tender	söt
tenderness	vekhet
tendon	sena
tend	ansa
tenor	tenor
tenth	tionde
term	term
terminate	fullborda
terms	kondition
term	skällsord
terrace	terrass
terraced	radhus
terrace	radhus
terrain	terräng
terrible	förfärlig
territory	mark
terrorism	terrorism
test	examen
testament	testamente
testify	attestera
testimony	attest
text	text
textile	väv
than	än
thank	tacka
thankful	tacksam
thankless	otacksam
thanks	tack
thank	tackaför
thank	tackskaduha
thank	tacksåmycket
that	vad
that	detgöringenting
that	detgöringenting
that	detvarsynd
that	sådan
that	sålunda
thaw	töväder
theatre	teater
theatre	skådespel
theft	stöld
their	sin
theme	tema
theory	teori
there	dit
thermometer	termometer
these	nutida
the	Sydpolen
the	Nordpolen
the	JonBlund
the	Nederländerna
the	JonBlund
the	Ukraina
the	suggestion
thick	diger
thickness	tjockhet
thief	tjuv
thigh	höft
thin	smal
thing	objekt
think	anse
think	begrunda
third	tredje
thirst	törst
thirsty	törstig
thirteen	tretton
thirteenth	trettonde
thirty	tretti
this	iafton
this	hit
thither	dit
thorn	tagg
thou	du
though	ehuru
thought	tanke
thousand	tusen
thread	garn
threat	hot
threaten	hota
three	tre
threshold	tröskel
thrifty	njugg
throat	strupe
throb	pulsera
throne	tron
through	per
throw	kasta
throw	kräkas
thrush	talltrast
thrust	puffa
thumb	tumme
thunder	tordön
thus	sålunda
ticket	biljett
tidy	inreda
tie	binda
tie	binda
tiger	tiger
tile	häll
till	kassa
tillage	jordbruk
timber	trä
time	kommunikationstabell
time	gång
time	ferier
timidity	blyghet
tin	tenn
tiny	liten
tip	tipp
tired	trött
tired	genomtrött
title	titel
titmouse	mes
to	på
toad	padda
toast	halstra
tobacco	tobak
toe	tå
toga	toga
together	ihop
toilet	toalettpapper
toilet	avträde
token	bevis
tolerant	tolerant
tolerate	tåla
tomato	tomat
tomb	graf
tone	ton
tongue	tunga
too	också
tool	instrument
tooth	tandborste
tooth	tandkräm
tooth	tand
toothache	tandvärk
toothpick	tandpetare
too	alltför
topgallant	braxen
topic	tema
torch	bloss
tortoise	sköldpadda
torture	martera
torturer	bödel
total	total
total	absolutist
touch	beröra
tourist	turist
tourist	resebyrå
toward	på
towards	på
tower	torn
town	rådhus
town	köping
town	rådhus
toy	leksak
to	någorlunda
trade	handla
tradition	praxis
traditional	hävdvunnen
traffic	trafik
train	järnvägståg
tram	spårvagn
transformation	ändring
transgress	synda
transgression	synd