άρχης	arch
καλοταΐζω	gorge
καλοταϊσμένος	well-fed
καλουπατζής	molder
καλουπώνω	mold
καλοφαγάς	foodie
καλοφτιαγμένος	well-made
καλού-κακού	just in case
καλούμπα	string
καλούπι	form
καλούπωμα	molding
καλπάζω	gallop
καλπάκι	calpack
καλπασμός	gallop
καλπονοθεία	electoral fraud
καλτσοδέτα	garter
καλτσόν	pantyhose
καλτσόνε	calzone
καλυδώνιος	Calydonian
καλυκοειδές	goblet cell
καλυμμένος	covered
καλυτερεύω	get better
καλυτερότερος	bestest
καλωδιακός	cable
καλωδιώνω	hard-wire
καλωσορίζω	welcome
καλωσορίσατε	welcome
καλωσόρισμα	welcome
καλό	good
καλό βόλι	good shot
καλό ταξίδι	bon voyage
καλόβολος	undemanding
καλόγερος	boil
καλόγνωμη	Arca noae
καλόγνωμος	good-natured
καλόκαρδος	kindhearted
καλόπιασμα	blandishment
καλός	good
καλός	darling
καλότροπος	courteous
καλύβα	hut
καλύπτρα	cover
καλύπτω	cover
καλύτερα	better
καλύτερος	better
καλώ	call
καλώδιο	cable
καλώδιο βραχυκύκλωσης	jump wire
καμάκι	harpoon
καμέλια	camellia
καμήλα	camel
καμίνι	furnace
καμακώνω	spear
καμαρίνι	cubicle
καμαριέρα	chambermaid
καμαρωτά	jauntily
καμαρώνω	pride
καμβάς	canvas
καμεραλισμός	cameralism
καμηλιέρης	cameleer
καμηλοπάρδαλη	giraffe
καμηλόμαλλο	camel hair
καμιζόλα	camisole
καμικάζι	kamikaze
καμινάδα	chimney
καμινέτο	blowtorch
καμουφλάζ	camouflage
καμουφλάρισμα	camouflage
καμουφλάρω	camouflage
καμουφλαρισμένος	camouflaged
καμπάνα	bell-bottom
καμπή	bend
καμπίνα	cabin
καμπίσιος	plains
καμπανάτος	bell-bottomed
καμπανίζω	chime
καμπαναριό	bell tower
καμπανιά	bell-ringing
καμπανοπιπεριά	bell pepper
καμπανούλα	Campanula
καμπαρντίνα	gabardine
καμποτάζ	cabotage
καμπουριάζω	hump
καμπούρα	hump
καμπούρης	humpback
καμπριολέ	convertible
καμπυλόγραμμα	curvilinear
καμπυλότητα	curvature
καμπύλη	curve
καμπύλος	curved
καμτσίκι	whip
καμφορά	camphor
καμφορόδεντρο	camphor
καμωμένος	done
καμωματού	attitudinarian
κανάγιας	ruffian
κανάλι	channel
κανάστα	canasta
κανάτα	jug
κανέλα	cinnamon
κανένας	nobody
κανίβαλος	cannibal
καναπές	couch
καναρίνι	canary
καναρινί	canary
κανελής	cinnamon
κανθαρίδα	Spanish fly
κανθαριδίνη	cantharidin
κανθός	canthus
κανιβαλικός	cannibalistic
κανιβαλισμός	cannibalism
κανναβάτσο	burlap
κανναβούρι	hempseed
κανναβόχαρτο	hemp paper
κανοκιάλι	spyglass
κανονική έκφραση	regex
κανονική κατανομή	normal distribution
κανονικοποίηση	normalization
κανονικό πολυώνυμο	monic polynomial
κανονικός	regular
κανονικότητα	normality
κανονιοφόρος	PGM : Patrol Gun Motor
κανονισμός	bylaw
κανονιστικός	normative
καντάτα	cantata
καντίνα	canteen
καντιανισμός	Kantianism
καντιανός	Kantian
καντράν	dashboard
καντρίλια	quadrille
καντσονέτα	canzonetta
καντόν	Cantonese
καντόνι	canton
κανό	canoe
κανόνας	rule
κανόνι	bomb
καολινίτης	kaolinite
καουμπόης	cowboy
καουτσουκόδεντρο	rubber tree
καουτσούκ	rubber
καούρα	heartburn
καπάκι	lid
καπάρο	deposit
καπάτσος	artful
καπέλο	hat
καπίκι	kopek
καπίστρι	halter
καπαμπάνγκαν	Kapampangan
καπατσοσύνη	lifemanship
καπελάνος	chaplain
καπελιέρα	hatbox
καπετάνιος	captain
καπηλειό	bar
καπιταλάκι	small caps
καπιταλισμός	capitalism
καπιταλιστικός	capitalist
καπιτονάρω	quilt
καπλαμάς	veneer
καπλαντίζω	veneer
καπλαντισμένος	veneered
καπνίζω	smoke
καπναέριο	flue gas
καπναγωγός	flue
καπνισμένος	smoked
καπνιστήρι	smoker
καπνιστός	smoked
καπνοδοχοκαθαριστής	chimney sweep
καπνοδόχος	chimney
καπνοθάλαμος	smokebox
καπνοπαραγωγή	tobacco crop
καπνοπωλείο	tobacconist
καπνοπώλης	tobacconist
καπνοσακούλα	pouch
καπνοσωλήνας	flue
καπνός	smoke
καποτάστο	capo
καπουτσίνος	capuchin
καπούλι	rump
καπούτ	nixed
καπρίτσιο	capriccio
καπτεν-	captain
καπό	bonnet
καπόνι	capon
καράβι	ship
καράτε	karate
καράτι	carat
καράφα	carafe
καρέ	frame
καρέκλα	chair
καρίκωμα	darn
καρίνα	keel
καραβάνι	caravan
καραβέλα	caravel
καραβίδα	crawfish
καραβανσεράι	caravanserai
καραβοφάναρο	lightvessel
καραδοκώ	expect
καραδοκών	lurker
καρακάξα	magpie
καρακόλι	military police
καραμέλα	candy
καραμέλωση	caramelization
καραμπίνα	carbine
καραμπόλα	cannon
καραμπόλα	carambola
καραντίνα	quarantine
καρατέκα	karateka
καρατερίστας	character actor
καρατομώ	behead
καραόκε	karaoke
καρβέλι	loaf
καρβονικό οξύ	carboxylic acid
καρβονικός	carboxylic
καρβουναριό	bunker
καρβουνιάρης	black redstart
καρβουνόσκονη	carbon black
καρβύνιο	carbyne
καρδάρα	churn
καρδερίνα	goldfinch
καρδιά	heart
καρδιακός	cardiac
καρδινάλιος	Cardinal
καρδιοαγγειακός	cardiovascular
καρδιοαναπνευστικός	cardiorespiratory
καρδιογράφημα	cardiogram
καρδιογράφος	cardiograph
καρδιοδυναμική	cardiodynamics
καρδιοειδής	cardioid
καρδιοκατακτητής	heartbreaker
καρδιολογία	cardiology
καρδιολογικός	cardiological
καρδιολόγος	cardiologist
καρδιομεγαλία	cardiomegaly
καρδιοπαλμός	heartbeat
καρδιοπνευμονικός	cardiopulmonary
καρδιοτοκογράφος	cardiotocograph
καρδιοτοκογραφία	cardiotocography
καρδιοτονωτικός	cardiotonic
καρδιοφυσιολογία	cardiophysiology
καρδιοχειρουργική	cardiac surgery
καρδιοχειρουργός	cardiac
καρδιόσχημος	heart-shaped
καρεκλάκι	booster seat
καρηβαρία	drowsiness
καρθαμέλαιο	safflower oil
καριέρα	career
καριερίστας	careerist
καριερισμός	careerism
καρικατουρίστας	caricaturist
καρικωμένος	darned
καρικώνω	darn
καριόλα	harlot
καρκίνος	cancer
καρκίνωμα	carcinoma
καρκινικός	palindromic
καρκινογένεση	carcinogenesis
καρκινογόνος	carcinogenic
καρκινολυτικός	carcinolytic
καρκινοφιλία	carcinophilia
καρκινόλυση	carcinolysis
καρλισμός	Carlism
καρμίνη	carmine
καρμίρικος	stingy
καρμικός	karmic
καρμπιρατέρ	carburetor
καρμπονάρα	carbonara
καρμπόν	carbon
καρνάγιο	boatyard
καρνέ	notepad
καρναβάλι	carnival
καρναβαλιστής	mummer
καροτσάκι	wheelbarrow
καρουζέλ	carousel
καρούλι	reel
καρπερός	fertile
καρπιαίος	carpal
καρποκάψα	codling moth
καρπουζιά	watermelon
καρποφάγος	frugivore
καρποφορία	fructification
καρποφορώ	bear fruit
καρποφόρος	fructiferous
καρπούζι	watermelon
καρπούμενος	benefiting
καρπός	wrist
καρπόφυλλο	carpel
καρστ	karst
καρστικοποίηση	karstification
καρστικός	karstic
καρτ	cart
καρτ ποστάλ	postcard
καρτέλ	cartel
καρτέλα	tag
καρταναγνώστης	card reader
καρτερικός	capable of endurance
καρτερώ	wait for
καρτεσιανισμός	Cartesianism
καρτεσιανό γινόμενο	Cartesian product
καρτοτηλέφωνο	cardphone
καρτουνίστικος	cartoonistic
καρτούν	cartoon
καρυάτιδα	caryatid
καρυδένιος	walnut
καρυδιά	walnut
καρυδότσουφλο	nutshell
καρυδόψιχα	copra
καρυκεύω	season
καρυοθραύστης	nutcracker
καρυοτυπικός	karyotypic
καρυοφύλλι	clove
καρυότυπος	karyotype
καρφάκι	stud
καρφί	nail
καρφίτσα	pin
καρφιτσοθήκη	pincushion
καρφιτσώνω	pin
καρφωμένος	nailed
καρφώνομαι	nailed
καρφώνω	nail
καρχαρίας	shark
καρχηδονιακός	Carthaginian
καρωτίδα	carotid
καρό	checkered
καρότο	carrot
καρότσα	trailer
καρύδα	coconut
καρύδι	walnut
καρύκευμα	condiment
κασέλα	chest
κασέρι	kasseri
κασέτα	cassette
κασίδα	favus
κασετίνα	pencil case
κασετόφωνο	tape recorder
κασιώτικος	Kassian
κασκαντέρ	stunt double
κασκόλ	scarf
κασμάς	pick
κασμίρ	cashmere
κασμιρικά	Kashmiri
κασουάριο	cassowary
κασουβικά	Kashubian
κασσίτερος	tin
κασσιτεροκόλληση	soldering
κασσιτερώνω	galvanize
καστάνια	pawl
καστανέρυθρο	maroon
καστανέρυθρος	maroon
καστανιά	chestnut
καστανιέτα	castanet
καστανό	brown
καστανόξανθος	fulvous
καστανός	chestnut
καστελάνος	castellan
καστορέλαιο	castor oil
καστράτος	castrato
καστρούπολη	bailiwick
καστρόπορτα	gate
καστόνι	bezel
κασόνι	crate
κατ	C. edulis
κατ' αρχάς	at the beginning
κατ' επέκταση	extension
κατ' ουσίαν	in essence
κατά	during
κατά κόσμον	born
κατά λάθος	mistake
κατά μέτωπο επίθεση	frontal assault
κατά παραγγελία	bespoke
κατάγομαι	come from
κατάδοση	denunciation
κατάδυση	dive
κατάθεση	statement
κατάθλιψη	depression
κατάκαυση	burnout
κατάκλειστος	closed
κατάκοπος	exhausted
κατάκριση	reprehension
κατάκτηση	conquest
κατάληξη	ending
κατάληψη	occupation
κατάλληλος	appropriate
κατάλογος	directory
κατάλοιπο	vestige
κατάλυμα	shelter
κατάλυση	catalysis
κατάμαυρος	jet black
κατάμεστος	packed
κατάνα	katana
κατάντη	downstream
κατάντης	downhill
κατάντια	degradation
κατάξερος	bone-dry
κατάπαυση	cessation
κατάπλασμα	poultice
κατάπληκτος	surprised
κατάπληξη	astonishment
κατάπλους	sailing down
κατάπνιξη	constraint
κατάποση	ingestion
κατάρα	curse
κατάργηση	abolition
κατάρρευση	collapse
κατάρριψη	demolition
κατάρτι	mast
κατάρτιση	drafting
κατάσβεση	extinction
κατάσκιος	shaded
κατάσκοπος	spy
κατάσταση	condition
κατάσταση σχέσης	relation state
κατάσταση χρηματοοικονομικής θέσης	statement of financial position
κατάστημα	shop
κατάστιξη	tattoo
κατάστιχο	ledger
κατάστρωμα	deck
κατάσχεση	confiscation
κατάσχω	confiscate
κατάταξη	ranking
κατάτμηση	partitioning
κατάφαση	affirmation
κατάφρακτος	cataphract
κατάφυτος	lush
κατάφωρος	blatant
κατάφωτος	lambent
κατάχρηση	abuse
κατάψυξη	freezer
κατέβασμα	download
κατέρχομαι	descend
κατέχω	possess
κατήγορος	accuser
κατήφεια	gloom
κατήφορος	descent
κατήχηση	indoctrination
κατα-	cata-
καταβάλλω	exhaust
καταβεβλημένος	overwhelmed
καταβολάδα	layering
καταβολή	?
καταβολίζω	catabolize
καταβολεύω	layer
καταβολισμός	catabolism
καταβρέχω	splash
καταβροχθίζω	devour
καταβυθίζω	dip
καταγάλανος	deep blue
καταγέλαστος	ridiculed
καταγγέλλω	accuse
καταγγέλλων	indictor
καταγγελία	accusation
καταγγελθείς	accused
καταγγελμένος	accused
καταγεγραμμένος	recorded
καταγοήτευση	enchantment
καταγράφομαι	go down in history
καταγράφω	record
καταγράψιμος	recordable
καταγραφέας πληκτρολογήσεων	key logger
καταγραφή	transcription
καταγωγή	ancestry
καταδέχομαι	condescend
καταδίδω	denounce
καταδίκη	sentence
καταδίωξη	persecution
καταδεικνύω	demonstrate
καταδεκτικός	congenial
καταδεκτικότητα	affability
καταδικάζω	condemn
καταδικασθείς	convicted
καταδικασμένος	convicted
καταδιώκω	chase
καταδολιεύομαι	defraud
καταδρομή	raid
καταδρομικό	cruiser
καταδυτικός	diving
καταδότης	informer
καταδύομαι	dive
καταζητούμαι	be wanted
καταζητούμενος	wanted
καταζητώ	want
καταθέτης	depositor
καταθέτω	testify
καταθλίβω	depress
καταθλιπτικός	depressive
καταιγίδα	storm
καταιγισμός	flurry
καταιγιστικός	consecutive
καταιονητήρας	handshower
καταιόνηση	shower
κατακάνα	katakana
κατακερματίζω	fragmentize
κατακερματισμός	fragmentation
κατακεφαλιά	paddywhack
κατακλέβω	rip off
κατακλείδα	cadence
κατακλυσμιαίος	cataclysmal
κατακλύζω	flood
κατακρίνω	critisize
κατακραυγή	outcry
κατακρεουργημένος	slain
κατακρεουργώ	butcher
κατακριτέος	reprehensible
κατακτημένος	conquered
κατακτητής	conqueror
κατακτώ	conquer
κατακυρωθείς	confirmed
κατακυρώνω	award
κατακόβω	lacerate
κατακόκκινος	red
κατακόμβη	catacomb
κατακόρυφη επιλογή	project
κατακόρυφη μπάρα	pipe
κατακόρυφος	perpendicular
καταλήγω	end
καταλαβαίνω	understand
καταλαγιάζω	simmer down
καταλαμβάνω	seize
καταλανικά	Catalan
καταλανικός	Catalan
καταληκτικός	final
καταληπτικός	cataleptic
καταληπτός	understandable
καταληψία	catalepsy
καταλλαγή	reconciliation
καταλληλότητα	appropriateness
καταλογίζω	assign
καταλογισιμότητα	accountability
καταλογιστό	rationality
καταλυτικός	catalytic
καταλύτης	catalyst
καταλύω	abolish
καταμέτρηση	counting
καταμαράν	catamaran
καταμερίζω	allot
καταμεσήμερα	high noon
καταμεσήμερο	high noon
καταμετρηθείς	counted
καταμετρώ	count
κατανάλωση	consumption
κατανέμω	apportion
καταναγκάζω	coerce
καταναλωθείς	consumed
καταναλωτής	consumer
καταναλωτικός	consumerist
καταναλωτισμός	consumerism
καταναλώνω	consume
καταναλώσιμος	consumable
κατανεμηθείς	distibuted
κατανεμημένη άρνηση υπηρεσίας	distributed denial of service
κατανεμημένο σύστημα ελέγχου εκδόσεων	distributed version control system
κατανεμημένος	distributed
κατανεύω	nod
κατανικώ	take by storm
κατανοητά	comprehensibly
κατανοητός	understandable
κατανομή	distribution
κατανοώ	understand
καταντικρύ	opposite
καταντώ	end up
κατανόηση	comprehension
καταξίωση	recognition
καταξεσκίζω	tear up
καταπάτηση	impingement
καταπέλτης	catapult
καταπίεση	oppression
καταπίνω	swallow
καταπίστευμα	trust
καταπακτή	trapdoor
καταπατητής	encroacher
καταπατώ	encroach
καταπιέζω	oppress
καταπιεστικά	oppressively
καταπιεστικός	oppressive
καταπιστευματοδόχος	trustee
καταπλήσσω	amaze
καταπληκτικά	fantastic
καταπληκτικός	amazing
καταπληξία	cataplexy
καταπλύνομαι	sail
καταπνίγω	choke
καταπνιγμένος	confined
καταπολεμώ	combat
καταπονημένος	exhausted
καταπράσινος	verdant
καταπραϋντικά	sedatives
καταπραϋντικός	sedative
καταπτοημένος	intimidated
καταπόδας	close behind
καταπόνηση	strain
καταράχι	mountaintop
καταρίθμηση	enumeration
καταραμένος	accursed
καταργημένος	abolished
καταργώ	abolish
καταριέμαι	curse
καταριθμώ	enumerate
καταρράκτης	cataract
καταρράκωση	tailspin
καταρρέω	cave in
καταρρακτώδης	torrential
καταρρακώνω	ruin
καταρροή	katarrh
καταρχήν	in principle
κατασήμανση	designation
κατασβήνω	extinguish
κατασημαίνω	designate
κατασιγάζω	squash
κατασκήνωση	camping
κατασκευάζω	manufacture
κατασκευή	construction
κατασκευασμένος	constructed
κατασκευαστής	manufacturer
κατασκηνωτής	camper
κατασκηνώνω	camp
κατασκηνώτρια	camper
κατασκοπεία	espionage
κατασκοπεύω	spy
κατασκότεινος	murky
κατασπαταλώ	lash out
καταστάλαγμα	deposit
καταστέλλω	repress
κατασταλάζω	settle down
κατασταλτικός	depressive
καταστατικό	statute
καταστεί	rendered
καταστηματάρχης	shopkeeper
καταστιχογράφος	bookkeeper
καταστιχογραφία	bookkeeping
καταστολέας	repressor
καταστολή	repression
καταστρέφω	destroy
καταστρεπτικός	destructive
καταστρεπτικότητα	destructiveness
καταστροφέας	destroyer
καταστροφή	catastrophe
καταστροφικός	catastrophic
καταστροφισμός	diluvialism
καταστρώνω	cook up
κατασφάζω	decimate
κατασφαγμένος	over-slain
κατασχεθείς	seized
κατατάσσω	classify
κατατεμαχισμός	hash
κατατονία	catatonia
κατατονικός	catatonic
κατατοπίζω	inform
κατατοπισμένος	informed
κατατοπιστικός	informative
κατατρίβομαι	potter
κατατροπώνω	vanquish
κατατρώγω	devour
κατατόπιση	orientation
καταυλισμός	bivouac
καταφέρνω	accomplish
καταφέρομαι	accuse
καταφέρω	inflict
καταφατικά	affirmatively
καταφατικός	affirmative
καταφεύγω	resort
καταφθάνω	arrive
καταφορτώνω	download
καταφρονώ	scorn
καταφρόνηση	contempt
καταφύγιο	refuge
καταχαίρομαι	rejoice
καταχείμωνα	dead of winter
καταχείμωνο	dead of winter
καταχρασμένος	embezzled
καταχωνιάζω	cache
καταχωνιασμένος	cached
καταχωρίζω	record
καταχωρητής	register
καταχωρητής εντολών	current instruction register
καταχωρητής τρέχουσας εντολής	current instruction register
καταψηφίζω	blackball
καταψύκτης	freezer
καταψύχω	refrigerate
καταϊδρωμένος	sweaty
κατεβάζω	lower
κατεβαίνω	descend
κατεδάφιση	demolition
κατεδαφίζω	demolish
κατειλημμένος	occupied
κατεξοχήν	eminently
κατεπειγόντως	urgently
κατεργάζομαι	process
κατεργάρικα	roguishly
κατεργάρικος	roguish
κατεργασία	elaboration
κατεργασμένος	processed
κατεστημένο	establishment
κατεστημένος	established
κατεστραμμένος	destroyed
κατευθείαν	directly
κατευθυντήριος	directional
κατευθυντικός	directional
κατευθυντικότητα	directionality
κατευθύνομαι	head
κατευθύνω	direct
κατευνάζω	appease
κατευναστικός	calmative
κατεχόμενος	possessed
κατεψυγμένος	frozen
κατεύθυνση	direction
κατηγμένη	applicate
κατηγορία	accusation
κατηγορηματικά	categorically
κατηγορηματικός	categorical
κατηγορητήριο	indictment
κατηγορητικός	accusatory
κατηγοριοποίηση	categorization
κατηγοριοποιητής	classifier
κατηγοριοποιώ	categorize
κατηγορούμενο	predicative
κατηγορούμενος	accused
κατηγορώ	accuse
κατηγόρημα	predicate
κατηφής	downcast
κατηφορικός	downhill
κατηχητικός	catechetical
κατηχώ	catechize
κατιονικός	cationic
κατιφές	Aztec marigold
κατιόν	cation
κατιόντες	descendants
κατιών	descendant
κατοίκηση	inhabiting
κατοικήσιμος	habitable
κατοικία	residence
κατοικίδιος	domestic
κατοικημένος	inhabited
κατοικώ	inhabit
κατολίσθηση	landslide
κατολισθαίνω	slide down
κατολοφύρομαι	bewail
κατονομάζω	name
κατονομασία	appellation
κατονομαστικός	denominative
κατοπτρισμός	mirroring
κατορθωτός	accomplishable
κατορθώνω	achieve
κατουράω	piss
κατοχυρωμένος	protected
κατοχυρώνω	consolidate
κατοχύρωση	consolidation
κατράμι	pitch
κατρακυλώ	tumble
κατρακύλα	downswing
κατρακύλισμα	fall
κατραπακιά	wallop
κατς	catch wrestling
κατσάδα	jobation
κατσάδιασμα	earful
κατσίκα	goat
κατσίκι	kid
κατσαβίδι	screwdriver
κατσαδιάζω	give somebody hell
κατσαρίδα	cockroach
κατσαρωμένος	curled
κατσαρόλα	pan
κατσαρόλι	saucepan
κατσαρός	curly
κατσαρώνω	crimp
κατσικάκι	baby goat
κατσικίσιος	goat
κατσικοκλέφτης	thief
κατσικόδρομος	goat
κατσικώνομαι	overstay
κατσουλιέρης	crested lark
κατσουφιάζω	frown
κατσούφης	glump
κατωσέντονο	bottom sheet
κατωτέρως	lowly
κατωτερότητα	inferiority
κατόπιν	after
κατόρθωμα	exploit
κατώρευμα	downwash
κατώτατη ενεργειακή βαθμίδα	ground-state
κατώτατος	lowest
κατώτερος	inferior
κατώτερος αξιωματικός	junior commissioned officer
κατώφλι	threshold
καυκαλήθρα	hartwort
καυλιάρης	horny
καυλοκοιτάω	leer
καυλωμένος	horny
καυλώνω	boner
καυσαέριο	exaust gas
καυστήρας	combustion chamber
καυστικός	caustic
καυστικότητα	causticity
καυσόξυλο	firewood
καυτερός	hot
καυτός	hot
καυχηματίας	braggart
καυχησιά	brag
καυχησιάρης	braggart
καυχησιολογία	boastfulness
καυχιέμαι	boast
καφάσι	crate
καφέ	café
καφέ-ω-λαι	café au lait
καφές	coffee
καφασωτό	grille
καφεζυθεστιατόριο	cafe restaurant
καφενείο	coffeehouse
καφεοφυτεία	coffee plantation
καφετέρια	café
καφετής	brown
καφετιέρα	coffeemaker
καφεόδεντρο	coffee plant
καφκικός	Kafkaesque
καφτάνι	kaftan
καφωδείο	café-chantant
καχεξία	atrophy
καχυποψία	distrust
καχύποπτος	suspicious
καψάλισμα	singe
καψαλίζω	burn
καψαϊκίνη	capsaicin
καψούλι	percussion cap
καψόνι	hazing
καϊμάκι	cream
καϊσιά	Prunus armeniaca
καύλα	hard-on
καύση	burning
καύσιμο	fuel
καύσωνας	heat
κβάζαρ	quasar
κβάντα	quanta
κβάντο	quantum
κβάντωση	quantization
κβαντική θεωρία πεδίου	QFT
κβαντικό δυφίο	quantum bit
κβαντικός	quantum
κβαντισμός	quantization
κβαντιστής	quantizer
κβαντοδυφίο	quantum bit
κβαντοδυφιακός	qubit
κβαντοηλεκτρονική	quantum electronics
κβαντομηχανική	quantum mechanics
κβαντοφυσική	quantum physics
κείμαι	lie
κείμενο	text
κείρω	tonsure
κεδρόξυλο	cedarwood
κειμήλιο	relic
κειμενικός	textual
κειμενογλωσσολογία	text linguistics
κειμενογράφος	copywriter
κεκλεισμένων των θυρών	behind closed doors
κεκλιμένος	inclined
κελάηδημα	birdsong
κελάρι	cellar
κελάρυσμα	babble
κελί	cell
κελαηδώ	trill
κελαρυστός	babbling
κελαρύζω	gurgle
κελεμπία	jilbab
κελεπούρι	windfall
κελτικός	Celtic
κεμπάπ	kebab
κενοδοξία	vainglory
κενολογία	bunk
κενολογώ	prate
κενολόγος	prating
κενοτάφιο	cenotaph
κεντρί	sting
κεντρίζω	sting
κεντρική μνήμη	internal memory
κεντρική μονάδα επεξεργασίας	CPU
κεντρικοποιημένος	centralized
κεντρικός	central
κεντρικότητα	centrality
κεντροθολίτης	keystone
κεντρομερές	centromere
κεντρομόλος	centripetal
κεντροσωμάτιο	centrosome
κεντρώος	centrist
κεντώ	prick
κενό	blank
κενό ασφάλειας	security hole
κενός	vacant
κεράσι	cherry
κεράτωση	keratosis
κερί	candle
κεραία	yard
κεραμίδι	roof tile
κεραμιδής	brick red
κεραμικά	ceramics
κεραμική	ceramic
κεραμικός	ceramic
κεραμοποιός	potter
κερασής	cerise
κερασιά	cherry tree
κερασφόρος	horned
κερατάς	cuckold
κερατέα	carob-tree
κερατίαση	keratiasis
κερατίνη	keratin
κερατοειδής χιτώνας	cornea
κερατωμένος	cuck
κερατώνω	cuckold
κεραυνοβόλος έρωτας	love at first sight
κεραυνός	lightning
κεραύνιος	thunder
κερδίζω	win
κερδοσκοπία	profiteering
κερδοσκόπος	speculator
κερδοφόρος	lucrative
κερκίδα	radius
κερκοπίθηκος	Cercopithecus
κερκυραϊκός	Corfiot
κερματοδέκτης	coin slot
κερματοπλυντήριο	coin laundry
κερνάω	treat
κερωμένος	cerated
κεταμίνη	ketamine
κετιμίνη	ketimine
κετσές	felt
κετόνη	ketone
κεφάλα	big head
κεφάλαιο	chapter
κεφάλαιο κίνησης	working capital
κεφάλι	head
κεφίρ	kefir
κεφαλάρι	headband
κεφαλή ανάγνωσης	read head
κεφαλή ανάγνωσης/εγγραφής	read/write head
κεφαλή εγγραφής	write head
κεφαλίδα	header
κεφαλαίο	capital letter
κεφαλαίος	uppercase
κεφαλαιμάτωμα	cephalhematoma
κεφαλαιοκράτης	capitalist
κεφαλαιοποίηση	capitalization
κεφαλαιοποιώ	capitalize
κεφαλαιουχικός	capital
κεφαλαιούχος	financier
κεφαλιά	headbutt
κεφαλικός φόρος	poll tax
κεφαλογραβιέρα	kefalograviera
κεφαλοθραύστης	mace
κεφαλοκλείδωμα	stranglehold
κεφαλοκυνηγός	manhunter
κεφαλομάντιλο	babushka
κεφαλοτύρι	kefalotyri
κεφαλόδεσμος	headband
κεφαλόσκαλο	landing
κεφτές	kofta
κεχρί	millet
κεχριμπάρι	amber
κεχριμπαρένιος	amber
κηδεία	funeral
κηδεμονία	custody
κηδεμόνας	guardian
κηδεστία	alliance
κηδευτικός	funereal
κηλίδα	blot
κηλίδωση	smirch
κηλεπίδεσμος	truss
κηλιδωτός	maculate
κηλιδώνω	besmirch
κηπευτικός	horticultural
κηπουρική	gardening
κηπουρός	gardener
κηπούπολη	garden city
κηρήθρα	honeycomb
κηρίο	lumen
κηροειδής	wax-coloured
κηροζίνη	kerosene
κηρομπογιά	crayon
κηροπήγιο	candelabra
κηροσβέστης	candle snuffer
κηρύκειο	caduceus
κηρύσσω	preach
κηρώδης	ceraceous
κητώδης	cetacean
κηφήνας	drone
κι έζησαν αυτοί καλά κι εμείς καλύτερα	and lived happily ever after
κιάλια	binoculars
κιβδηλεία	falsification
κιβωτιόσχημος	box-shaped
κιβωτός	ark
κιβώριο	ciborium
κιβώτιο	case
κιγκλίδωμα	railing
κιγκλιδώνω	enrail
κιζερίτης	kieserite
κιθάρα	guitar
κιθαρίστας	guitarist
κιθαρωδός	citharoedus
κιλίκιο	cilice
κιλοβάτ	kilowatt
κιλοβατώρα	kilowatt-hour
κιλομπάιτ	kilobyte
κιλτ	kilt
κιλό	kilo
κιλότα	panties
κιμάς	mince
κιμίς	koumiss
κιμονό	kimono
κιμπάρης	upright
κιμπούτς	kibbutz
κιμωλία	chalk
κινάση	kinase
κινέζικος	Chinese
κινίνη	quinine
κινίνο	quinine
κιναισθησία	kinaesthesia
κιναισθητικός	kinaesthetic
κινδυνεύω	danger
κινδυνολόγος	alarmist
κινεζικά	Chinese
κινεζοποίηση	sinicization
κινηματογράφηση	filming
κινηματογράφος	cinematograph
κινηματογραφία	cinematography
κινηματογραφικός	cinematic
κινηματογραφώ	film
κινησιογραφία	kinesiography
κινησιολογία	kinesiology
κινησιολογικός	kinesiology
κινησιομετρία	kinesiometry
κινητή περιουσία	chattel
κινητή τηλεφωνία	mobile telephony
κινητήρας	engine
κινητική	kinematics
κινητικότητα	mobility
κινητοποίηση	mobilization
κινητοποιώ	mobilize
κινητό	cell
κινητό τηλέφωνο	cell phone
κινητός	moving
κιννάβαρι	cinnabar
κινναμαλδεΰδη	cinnamaldehyde
κινούμενη άμμος	quicksand
κινούμενο σχέδιο	animation
κινόα	quinoa
κινώ	move
κιονηδόν	kionedon
κιονοειδής	columnar
κιονόκρανο	capital
κιούπι	pot
κιούριο	curium
κιρ	kir
κιργιζικά	Kyrgyz
κιρκάνιος	circannual
κιρκίρι	Common Teal
κιρκαδιανός	circadian
κιρκαετός	Circaetus
κιρκασιανά	Circassian
κιρκινέζι	lesser kestrel
κιρμάς	kismat
κιρρωτικός	cirrhotic
κιρσός	varicose vein
κισμέτ	kismat
κισσός	ivy
κιτ	kit
κιτάπι	notebook
κιτριά	citron tree
κιτρικό οξύ	citric acid
κιτρικός	citric
κιτρινάδα	yellowness
κιτρινίζω	yellow
κιτρινίλα	yellowness
κιτρινισμένος	yellowed
κιτρινοπράσινος	chartreuse
κιτρινωπός	yellowish
κιτς	kitsch
κιόλας	already
κλάβικορντ	clavichord
κλάδα	branch
κλάδεμα	pruning
κλάδος	branch
κλάκα	claque
κλάμα	cry
κλάνω	fart
κλάση	class
κλάση χαρακτήρων	character class
κλάσμα	fraction
κλάψα	beefing
κλέβω	steal
κλέμα	choc block
κλέφτης	thief
κλέψιμο	intercept
κλήδονας	fortune telling
κλήμα	grapevine
κλήρος	clergy
κλήρωση	draw
κλήση	call
κλήση με αναφορά	call by reference
κλήση με τιμή	call by value
κλήτευση	subpoena
κλίβανος	furnace
κλίκα	clique
κλίμα	climate
κλίμακα	scale
κλίμακα Μποφόρ	Beaufort  Scale
