άρχης	arca
επαναληπτικός	ripetitivo
επαναστάτης	ribelle
επαναστατικός	rivoluzionario
επαναφέρω	rimettere
επανεκκίνηση	riavvio
επανεκλογή	rielezione
επανεξέταση	riesame
επαρκώς	sufficientemente
επαρχία	provincia
επαυξάνω	accrescere
επαφή	contatto
επαφίεμαι	fidarsi di
επείγον	urgenza
επείγων	urgente
επειδή	perché
επεισοδιακός	episodico
επεισόδιο	episodio
επεκτατισμός	espansionismo
επεκτείνω	distendere
επενδυτής	investitore
επεξεργάζομαι	elaborare
επεξεργαστής κειμένου	elaboratore testi
επεξηγητικός	esplicativo
επερώτηση	interrogazione
επηρεάζω	influenzare
επιβάλλω	infliggere
επιβάτης	passeggero
επιβίβαση	imbarco
επιβίωση	sopravvivenza
επιβεβαίωση	conferma
επιβιώνω	sopravvivere
επιβουλεύομαι	insidiare
επιγονατίδα	rotula
επιγραμματικός	epigrammatico
επιδέξιος	abile
επιδείνωση	peggioramento
επιδεικνύω	esibire
επιδεικτικός	ostentato
επιδειξιομανία	esibizionismo
επιδερμίδα	cute
επιδημία	epidemia
επιδημικός	epidemico
επιδημιολογία	epidemiologia
επιδημιολόγος	epidemiologo
επιδιδυμίδα	epididimo
επιδιωκόμενος	disciplinato
επιδοκιμάζω	approvare
επιδοκιμασία	approvazione
επιδόρπιο	dessert
επιδότηση	concessione
επιείκεια	clemenza
επιεικής	indulgente
επιζώ	sopravvivere
επιζών	superstite
επιθήλιο	epitelio
επιθετικός	offensivo
επιθετικότητα	aggressione
επιθεωρήτρια	ispettora
επιθεωρητής	ispettore
επιθεώρηση	ispezione
επιθυμία	desiderio
επιθυμητός	desiderabile
επιθυμώ	desiderare
επικίνδυνος	pericoloso
επικαιρότητα	tempestività
επικαλούμαι	invocare
επικαρπία	usufrutto
επικείμενος	imminente
επικοινωνία	comunicazione
επικοινωνώ	comunicare
επικολλώ	incollare
επικονίαση	impollinazione
επικονιάζω	impollinare
επικονιαστής	impollinatore
επικοντισμός	salto con l'asta
επικοντιστής	astista
επικουρισμός	epicureismo
επικροτώ	applaudire
επικός	epico
επιλέγω	scegliere
επιλαχών	finalista
επιληψία	epilessia
επιλογή	scelta
επιλοχαγός	primo capitano
επιλόχειος	puerperale
επιμέλεια	cura
επιμένω	insistere
επιμελής	diligente
επιμελώς	assiduamente
επιμονή	perseveranza
επινοητικότητα	ingegnosità
επινόηση	invenzione
επιπεδομετρικός	planimetrico
επιπεφυκίτιδα	congiuntivite
επιπλέον	inoltre
επιπλοποιός	ebanista
επιρρηματικός	avverbiale
επιρροή	influenza
επισκέπτης	ospite
επισκέπτομαι	visitare
επισκέψιμος	visitabile
επισκοπή	diocesi
επισκόπηση	panoramica
επιστάτης	caposcala
επιστήμη	scienza
επιστήμονας	scienziato
επιστημολογία	epistemologia
επιστημονική μέθοδος	metodo scientifico
επιστημονική φαντασία	fantascienza
επιστημονικός	scientifico
επιστημονισμός	scientismo
επιστολή	lettera
επιστολικός	epistolare
επιστρέφω	rendere
επιστροφή	resa
επιστόμιο	imboccatura
επιστύλιο	architrave
επισυμβαίνω	sopravvivere
επισυνάπτω	legare
επισφαλώς	precariamente
επιτάχυνση	accelerazione
επιτέλους	finalmente
επιτήδεια	ingegnosamente
επιτίθεμαι	attaccare
επιταγή	assegno
επιτακτικός	imperativo
επιταχύνω	accelerare
επιτετραμμένος	incaricato d'affari
επιτιθέμενος	aggressore
επιτομή	epitome
επιτρέπω	permettere
επιτραπέζιο παιχνίδι	gioco da tavolo
επιτροπή	commissione
επιτροπεία	commissariato
επιτυχία	successo
επιτυχώς	con successo
επιτόκιο	tasso ď interesse
επιφάνεια	superficie
επιφυλακτικός	cauto
επιφύλαξη	riserva
επιφώνημα	interiezione
επιχείρημα	argomento
επιχείρηση	ditta
επιχειρηματίας	uomo d'affari
επιχρωμιώνω	cromare
επομένως	dunque
εποξείδιο	epossido
εποξικός	epossidico
εποπτεία	percezione
εποφθαλμιώ	bramare
εποχή	stagione
επτά θανάσιμα αμαρτήματα	sette peccati capitali
επτακόσια	settecento
επωδός	ritornello
επωμίδα	spallina
επόμενος	seguente
επόπτης	supervisore
επώαση	incubazione
επώδυνα	dolorosamente
επώδυνος	doloroso
επώνυμο	cognome
επώνυμος	eponimo
εραλδική	araldica
ερασιτέχνης	amatore
ερασμιακός	erasmiano
εραστής	amante
εργάζομαι	lavorare
εργάτης	operaio
εργένης	scapolo
εργαλείο	utensile
εργαλειοθήκη	cassetta degli attrezzi
εργαλειοποιώ	strumentalizzare
εργασία	compito
εργασιομανής	stacanovista
εργαστήριο	bottega
εργοδηγός	capoccia
εργοδικός	ergodico
εργοδότης	datore di lavoro
εργολάβος	appaltatore
εργονομία	ergonomia
εργονομικός	ergonomico
εργοστάσιο	fabbrica
ερείπιο	rovina
ερεθισμός	irritazione
ερευνητής	investigatore
ερευνώ	indagare
ερημίτης	eremita
ερημιά	natura
ερημοποίηση	desertificazione
ερμίνα	ermellino
ερμηνευτική	ermeneutica
ερμηνευτικός κύκλος	circolo ermeneutico
ερμηνεύω	interpretare
ερμητικός	ermetico
ερπετολογία	erpetologia
ερπετό	rettile
ερυθρά	rosolia
ερυθραιμία	eritremia
ερυθραϊκός	eritreo
ερυθροκύτταρο	eritrocito
ερυθροποίηση	eritropoiesi
ερυθροποιητίνη	eritropoietina
ερυσίπελας	risipola
ερωδιός	airone
ερωμένη	amante
ερωτευμένος	innamorato
ερωτεύομαι	innamorarsi
ερωτηματικό	punto interrogativo
ερωτηματικός	interrogativo
ερωτηματολόγιο	questionario
ερωτικά	amantemente
ερωτικός	erotico
ερωτισμός	erotismo
ερωτοδουλειά	affare di cuore
ερωτομανία	erotomania
ερύθημα	eritema
ερώτηση	domanda
εσείς	voi
εσθονικά	estone
εσθονικός	estone
εσκεμμένος	intenzionale
εσπεράντο	esperanto
εσπρέσο	espresso
εστέρας	estere
εστέτ	esteta
εστιάζω	focalizzare
εστιάτορας	ristoratore
εστιατόριο	ristorante
εσχατολογία	escatologia
εσχατολογικός	escatologico
εσωτερικό	interno
εσωτερικός	interno
εσωτερισμός	esterismo
εσύ	tu
εσώρουχο	biancheria intima
ετήσιος	annuale
εταίρα	cortigiana
εταζέρα	asse
εταιρεία	ditta
εταιρεία περιορισμένης ευθύνης	società a responsabilità limitata
ετερο-	etero-
ετερογονία	eterogenesi
ετεροδικία	extraterritorialità
ετεροφυλοφιλία	eterosessualità
ετεροφυλόφιλος	eterosessuale
ετερόρρυθμη εταιρεία	società in accomandita
ετικέτα	etichetta
ετοιμασία	preparativo
ετοιμοθάνατος	morente
ετοιμοπόλεμος	bellicoso
ετυμηγορία	verdetto
ετυμολογία	etimologia
ετυμολόγος	etimologa
ευάλωτος	vulnerabile
ευέλικτος	flessibile
ευαίσθητος	sensibile
ευαγγέλιο	vangelo
ευαγγελιστής	evangelista
ευαισθησία	sensibilità
ευανάγνωστος	leggibile
ευγένεια	cortesia
ευγενές αέριο	gas nobile
ευγενικός	cortese
ευγνωμοσύνη	gratitudine
ευδαιμονία	felicità
ευδαιμονιστής	eudemonista
ευδιάκριτος	discernibile
ευελπιστώ	essere speranzoso
ευεργετικός	benefico
ευημερία	prosperità
ευθανασία	eutanasia
ευθεία	retta
ευθυμογράφος	umorista
ευθύνη	responsabilità
ευκάλυπτος	eucalipto
ευκαιρία	occasione
ευκινησία	agilità
ευκολία	facilità
ευκτική	ottativo
ευλογία	benedizione
ευλογημένος	beato
ευλογιά	vaiolo
ευλογώ	benedire
ευμάρεια	abbondanza
ευμεταβλητότητα	levità
ευνήκτης	eunectes
ευνοούμενος	ΧΧΧ
ευνουχίζω	castrare
ευνουχισμός	castrazione
ευνοϊκός	favorevole
ευνούχος	eunuco
ευνοώ	preferire
ευπρεπής	presentabile
ευπρόσδεκτος	benvenuto
ευρέως	popolarmente
ευρετική	euristica
ευρω-	euro-
ευρωβουλευτής	eurodeputato
ευρωπαϊκός	europeo
ευρωσκεπτικισμός	euroscetticismo
ευρωσκεπτικιστής	euroscettica
ευρύχωρος	spazioso
ευρώ	euro
ευρώπιο	europio
ευσέβεια	pietà
ευσεβής	devoto
ευστοχία	precisione nel colpire
ευσυνείδητα	coscienziosamente
ευσυνείδητος	coscienzioso
ευτράπελος	faceto
ευτροφισμός	eutrofizzazione
ευτυχία	felicità
ευτυχισμένος	felice
ευτυχώς	fortunatamente
ευφάνταστος	immaginoso
ευφημισμός	eufemismo
ευφορία	euforia
ευφορβία	euphorbia
ευφυής	intelligente
ευφωνία	eufonia
ευφωνικός	eufonico
ευφωτικός	eufotico
ευφώνιο	eufonio
ευχάριστος	gradevole
ευχή	desiderio
ευχαριστώ	ringraziare
ευχαριστώ πολύ	grazie mille
ευωδιαστός	profumato
εφήβαιο	pube
εφήμερος	effimero
εφίδρωση	sudore
εφαπτομένη	tangente
εφαρμογή	impiego
εφεδρεία	riserva
εφεξής	d’ora in avanti
εφευρέτης	inventore
εφευρέτρια	inventrice
εφευρίσκω	inventare
εφευρετικός	inventivo
εφευρετικότητα	inventività
εφεύρεση	invenzione
εφεύρημα	invenzione
εφηβεία	adolescenza
εφηβικός	adolescente
εφημερίδα	giornale
εφημεριδοπώλης	giornalaio
εφιάλτης	incubo
εφιαλτικός	da incubo
εφοδιάζω	fornire
εφοπλιστής	armatore
εφτά	sette
εφόσον	a condizione che
εχθρά	nemica
εχθρικός	ostile
εχθρός	nemico
εχθρότητα	inimicizia
εύγευστος	delizioso
εύγλωττος	eloquente
εύζωνος	euzone
εύθραυστος	fragile
εύκαμπτος	flessibile
εύκολα	facilmente
εύκολος	facile
εύνοια	favore
εύπεπτος	assimilabile
εύπορος	agiato
εύρηκα	eureka
εύρος ζώνης	larghezza di banda
εύφλεκτος	accensibile
εύχομαι	augurare
εἰσπρακτορεῖον	esattoria
ζάλη	agitazione
ζάρα	grinza
ζάρι	dado
ζάχαρη	zucchero
ζέβρα	zebra
ζέπελιν	zeppelin
ζέστη	caldo
ζήλια	gelosia
ζήλος	zelo
ζήτα	zeta
ζήτηση	domanda
ζήτω	evviva
ζακέτα	golf
ζαλάδα	stordimento
ζαμπαγιόνε	zabaglione
ζαμπόν	prosciutto
ζαρκάδι	capriolo
ζαρντινιέρα	fioriera
ζαφείρι	zaffiro
ζαχαρίνη	saccarina
ζαχαριέρα	zuccheriera
ζαχαροκάλαμο	canna da zucchero
ζαχαροπλάστης	pasticcere
ζαχαροπλαστείο	pasticceria
ζαχαρωτό	caramella
ζαχαρότευτλο	barbabietola da zucchero
ζαχαρώνω	zuccherare
ζεία	farro
ζελεδάκι	gelatina
ζεματίζω	scottare
ζενίθ	zenit
ζεσεοσκοπία	ebullioscopia
ζεσεοσκόπιο	ebullioscopio
ζεσταίνομαι	riscaldarsi
ζεστός	caldo
ζευγάρι	coppia
ζευγάρωμα	accoppiamento
ζεύγμα	zeugma
ζεύγος	coppia
ζηλεύω	invidiare
ζηλιάρης	geloso
ζημιά	danni
ζητιάνα	mendicante
ζητιάνος	mendicante
ζητιανεύω	mendicare
ζητιανιά	mendicità
ζιβάγκο	dolcevita
ζιζάνιο	zizzania
ζιζανιοκτόνο	diserbante
ζιρκόνιο	zirconio
ζιφιός	zifio
ζλότι	zloty
ζογκλάρω	giocolare
ζουλού	zulu
ζουρλομανδύας	camicia di forza
ζοφερός	sinistro
ζούγκλα	giungla
ζυγίζω	pesare
ζυγαριά	bilancia
ζυγωματικό	zigomo
ζυγός	giogo
ζυθοποιείο	birrificio
ζυμαρικό	pasta
ζυμώνω	impastare
ζω	vivere
ζωή	vita
ζωγράφος	pittore
ζωγραφίζω	dipingere
ζωγραφιά	dipinto
ζωγραφική	pittura
ζωηρός	vivace
ζωμός	brodo
ζωντάνια	brio
ζωντανός	vivo
ζωολατρία	zoolatria
ζωολογία	zoologia
ζωολογικός	zoologico
ζωολογικός κήπος	zoo
ζωοπλαγκτόν	zooplancton
ζωοτόκος	viviparo
ζωοφόρος	fregio
ζωροαστρισμός	zoroastrismo
ζωτικός	vitale
ζωόφυτο	zoofito
ζόμπι	zombi
ζύμη	lievito
ζύμωση	fermentazione
ζώδιο	segno
ζώνη	cintura
ζώνη ασφαλείας	cintura di sicurezza
ζώο	animale
η ισχύς εν τη ενώσει	l’unione fa la forza
ηγεμονία	egemonia
ηγεμονικός	egemonico
ηγεμόνας	sovrano
ηγουμένη	badessa
ηγουμενία	abbazia
ηδονικός	edonico
ηδονοβλεψία	voyeurismo
ηδονοβλεψίας	guardone
ηθική	etica
ηθικολόγος	moralista
ηθικός	morale
ηθολογία	etologia
ηθολόγος	etologo
ηθοποιός	attore
ηλέκτριση	elettrificazione
ηλίανθος	girasole
ηλίαση	insolazione
ηλίθιος	imbecille
ηλεκτρίζω	elettrificare
ηλεκτρικά	elettricamente
ηλεκτρική καρέκλα	sedia elettrica
ηλεκτρική σκούπα	aspirapolvere
ηλεκτρικό ρεύμα	corrente elettrica
ηλεκτρικό φορτίο	carica elettrica
ηλεκτρικός	elettrico
ηλεκτρισμός	elettricità
ηλεκτρο-	elettro-
ηλεκτροαπόθεση	elettrodeposizione
ηλεκτροδυναμική	elettrodinamica
ηλεκτροεγκεφαλογράφημα	elettroencefalogramma
ηλεκτροεγκεφαλογράφος	elettroencefalografo
ηλεκτροεγκεφαλογραφία	elettroencefalografia
ηλεκτροκαρδιογράφημα	elettrocardiogramma
ηλεκτρολόγος	elettricista
ηλεκτρολύτης	elettrolita
ηλεκτρομαγνητικός	elettromagnetico
ηλεκτρομαγνητισμός	elettromagnetismo
ηλεκτρομηχανικός	elettromeccanico
ηλεκτρονιακός	elettronico
ηλεκτρονική	elettronica
ηλεκτρονικό ταχυδρομείο	posta elettronica
ηλεκτρονικός	elettronico
ηλεκτρονικός υπολογιστής	ordinatore
ηλεκτροφορητικός	elettroforetico
ηλεκτροφόρηση	elettroforesi
ηλεκτροχημεία	elettrochimica
ηλεκτρόδιο	elettrodo
ηλεκτρόλυση	elettrolisi
ηλεκτρόνιο	elettrone
ηλιέλαιο	olio di girasole
ηλιακό ρολόι	eliotropio
ηλιακό σύστημα	sistema solare
ηλιακός	solare
ηλιαχτίδα	raggio di sole
ηλικία	età
ηλικιωμένος	anziano
ηλιο-	elio-
ηλιοθεραπεία	elioterapia
ηλιοκεντρικός	eliocentrico
ηλιοστάσιο	solstizio
ηλιοφάνεια	eliofania
ηλιόλουστος	soleggiato
ηλιόφιλος	eliofilo
ημέιλ	e-mail
ημίγυμνος	seminudo
ημίθεος	semidio
ημίτονο	seno
ημίφωνο	semiconsonante
ημίψηλο	cilindro
ημεράδα	placidezza
ημερήσιος	diurno
ημερολόγιο	calendario
ημερομηνία	data
ημι-	mezzo-
ημιαγωγός	semiconduttore
ημιειδικευμένος	specializzato
ημιεπίσημος	semiufficiale
ημικίονας	semicolonna
ημικρανία	emicrania
ημικυκλικός	emiciclico
ημικύκλιο	semicerchio
ημιπερατός	semipermeabile
ημιπεριφέρεια	semicirconferenza
ημιπληγία	emiplegia
ημιπροεδρικός	semipresidenziale
ημισέληνος	mezzaluna
ημιστίχιο	emistichio
ημισφαίριο	emisfero
ημισφαιρικός	emisferico
ημιτόνιο	semitono
ημιόλιο	emiolia
ηνίο	briglia
ηπατίτιδα	epatite
ηπατεκτομή	epatectomia
ηπατικός	epatico
ηπειρογένεση	epirogenesi
ηπειρωτικός	continentale
ηράκλειος	erculeo
ηρεμιστικός	sedativo
ηρωίδα	eroina
ηρωίνη	eroina
ηρωικός	eroico
ηρωισμός	eroismo
ησυχία	calma
ησυχαστής	quietista
ησυχαστικός	quietista
ηττοπάθεια	disfattismo
ηφαίστειο	vulcano
ηφαιστειολογία	vulcanologia
ηφαιστειολογικός	vulcanologico
ηφαιστειολόγος	vulcanologa
ηχήεις	risonante
ηχηρός	sonoro
ηχολαλία	ecolalia
ηχομιμητικός	fonosimbolico
ηχορύπανση	inquinamento acustico
ηχόχρωμα	timbro
ηχώ	eco
ηωζωικός	eocene
θάλαμος	camera
θάλαμος αερίων	camera a gas
θάλασσα	mare
θάλλιο	tallio
θάμνος	cespuglio
θάνατος	morte
θάρρος	coraggio
θέα	vista
θέαμα	spettacolo
θέατρο	teatro
θέλγητρο	malia
θέληση	volontà
θέλω	volere
θέμα	soggetto
θέρμανση	riscaldamento
θέση	posizione
θήκη	fodero
θαλασσινά	frutti di mare
θαλασσοθεραπεία	talassoterapia
θαλασσόλυκος	lupo di mare
θαλλός	germoglio
θαλπωρή	benessere
θαμμένος	sepolto
θαμπός	opaco
θαμπώνω	abbacinare
θαμώνας	cliente
θανατικός	funerario
θαυμάζω	ammirare
θαυμάσια	meravigliosamente
θαυμάσιος	meraviglioso
θαυμασμός	meraviglia
θαυμαστικό	punto esclamativo
θαύμα	miracolo
θεά	dea
θεία	zia
θείο	zolfo
θείος	zio
θείτσα	zietta
θεατής	spettatore
θειάφι	zolfo
θειικός	solfato
θεμέλιο	fondamenta
θεμελιώδης	fondamentale
θεμελιώνω	fondare
θεογεννήτρια	Madre di Dio
θεογονία	teogonia
θεοκρατία	teocrazia
θεοκρατικός	teocratico
θεολογία	teologia
θεολογικός	teologico
θεολόγος	teologo
θεοποιώ	deificare
θεοσοφικός	teosofico
θεοφάνεια	teofania
θεοφαγία	teofagia
θερίστρια	falciatrice
θεραπεία	terapia
θεραπευτής	terapeuta
θεραπευτικός	terapeutico
θεραπεύω	guarire
θεριζοαλωνιστική μηχανή	mietitrebbiatrice
θερινό ηλιοστάσιο	solstizio d'estate
θερινός	estivo
θερμίδα	caloria
θερμαίνω	scaldare
θερμαλισμός	termalismo
θερμικός	termico
θερμοβαρικός	termobarico
θερμοδυναμική	termodinamica
θερμοζεύγος	termocoppia
θερμοκήπιο	serra
θερμοκρασία	temperatura
θερμοκρασιακή αναστροφή	inversione termica
θερμομετρία	termometria
θερμοπίδακας	geyser
θερμοπυρηνικός	termonucleare
θερμοσίφωνας	scaldabagno
θερμοστάτης	termostato
θερμοτροπισμός	termotropismo
θερμοχημεία	termochimica
θερμοχωρητικότητα	capacità termica
θερμό μέτωπο	fronte caldo
θερμόμετρο	termometro
θερμός	caloroso
θερμός	termos
θερμότητα	calore
θερμόφιλος	termofilo
θεσπίζω	approvare
θετικές επιστήμες	scienze astratte
θετικισμός	positivismo
θετικός	positivo
θετός	adottivo
θεωρία	teoria
θεωρία γράφων	teoria dei grafi
θεωρητικά	teoricamente
θεωρητικός	teorico
θεωρητικός	teorico
θεωρώ	considerare
θεϊκός	divino
θεϊσμός	teismo
θεός	dio
θεότητα	divinità
θεώρημα	teorema
θηλάζω	allattare
θηλή	tettarella
θηλαστικά	mammifero
θηλαστικός	mammifero
θηλιά	laccio
θηλυκός	femminile
θηλυκότητα	femminilità
θηλυπρεπής	effemminato
θημωνιά	pagliaio
θηρίο	mostro
θηριοτροφείο	recinto
θηριωδία	mostruosità
θηριώδης	mostruoso
θησαυροφύλακας	tesoriere
θησαυρός	tesoro
θητεία	servizio
θιβετιανά	tibetano
θλάση	contusione
θλίβω	infestare
θλίψη	tristezza
θλιβερός	triste
θνησιμότητα	mortalità
θνητότητα	mortalità
θολός	brumoso
θορυβώδης	rumoroso
θούλιο	tulio
θράκα	brace
θρήσκευμα	confessione
θρίαμβος	trionfo
θρίλερ	thriller
θρανίο	banco di scuola
θραύσμα	frammento
θρεονίνη	treonina
θρησκεία	religione
θρησκόληπτος	divoto
θριαμβευτικός	trionfale
θριαμβεύω	trionfare
θρούμπι	santoreggia
θρυλικός	leggendario
θρόμβος	coagulo
θρόνος	trono
θρύλος	leggenda
θυμάμαι	memorizzare
θυμάρι	timo
θυμίζω	ricordare
θυμιατό	incensiere
θυμωμένος	arrabbiato
θυμός	collera
θυροτηλέφωνο	citofono
θυσία	sacrificio
θυσανοσωρείτης	cirrocumulo
θυσανόστρωμα	cirrostrato
θυσιάζω	sacrificare
θωμισμός	tomismo
θωρακικός	toracico
θωρηκτό	corazzata
θόλωμα	appannamento
θόριο	torio
θόρυβος	rumore
θύελλα	bufera
θύμα	vittima
θύμος	timo
θύρσος	tirso
θύσανος	cirro
θώρακας	torace
ιέρεια	sacerdotessa
ιαγουάρος	giaguaro
ιαμβικός	giambico
ιαπωνικός	giapponese
ιατρική	medicina
ιατρικός	medicale
ιατρογενής	iatrogeno
ιατροδικαστής	medico legale
ιβίσκος	ibisco
ιβηρικός	iberico
ιβουάρ	avorio
ιγκλού	iglù
ιγμορίτιδα	sinusite
ιγνυακός	popliteo
ιγνωστικισμός	ignosticismo
ιγνύα	poplite
ιδέα	idea
ιδίωμα	espressione idiomatica
ιδανικός	ideale
ιδεαλίστρια	idealista
ιδεαλισμός	idealismo
ιδεαλιστής	idealista
ιδεαλιστικός	idealistico
ιδεογραφία	ideografia
ιδεοκινητικός	ideomotorio
ιδεοληπτικά	ossessivamente
ιδεοληψία	ossessione
ιδεολογία	ideologia
ιδεολογικός	ideologico
ιδεολόγος	ideologo
ιδεόγραμμα	ideogramma
ιδεώδες	ideale
ιδιοδιάνυσμα	autovettore
ιδιοκτήτης	proprietario
ιδιοκτησία	proprietà
ιδιορρυθμία	bislaccheria
ιδιοσυγκρασία	idiosincrasia
ιδιοτελής	egoista
ιδιοτιμή	autovalore
ιδιοτροπία	bizzarria
ιδιοφυΐα	genio
ιδιοφυής	geniale
ιδιωματικός	idiomatico
ιδιωτεία	idiozia
ιδιωτικοποίηση	privatizzazione
ιδιότητα	qualità
ιδού	ecco
ιδρυτής	fondatore
ιδρωμένος	sudato
ιδρύτρια	fondatrice
ιδρύω	fondare
ιδρώνω	sudare
ιδρώτας	sudore
ιερέας	prete
ιεραπόστολος	missionaria
ιεραρχία	gerarchia
ιεραρχικός	gerarchico
ιεροκήρυκας	predicatore
ιερομόναχος	ieromonaco
ιεροσυλία	sacrilegio
ιερό οστό	osso sacro
ιερόδουλη	prostituta
ιερός	sacro
ιζηματογένεση	sedimentazione
ιζηματολογία	sedimentologia
ιθαγενής	indigeno
ιθυφαλλικός	itifallico
ικανοποίηση	soddisfazione
ικανοποιημένος	contento
ικανοποιώ	accontentare
ικανός	abile
ικανότητα	abilità
ικεμπάνα	ikebana
ικετεύω	supplicare
ικρίωμα	patibolo
ιλαρά	morbillo
ιλαροτραγωδία	tragicommedia
ιλιγγιώδης	vertiginoso
ιλμενίτης	ilmenite
ιμάμης	imam
ιμάντας	cinghia
ιμπεριαλισμός	imperialismo
ιμπεριαλιστής	imperialista
ιμπρεσιονιστής	impressionista
ινίο	occipite
ινδιάνικος	indiano
ινδικός	indiano
ινδοευρωπαϊκός	indoeuropeo
ινδονησιακός	indonesiano
ινδουιστής	induista
ινδουιστικός	induistico
ινοβλάστη	fibroblasto
ινσουλίνη	insulina
ινστιτούτο	istituto
ιντελιγκέντσια	intellighenzia
ιντερλούδιο	interludio
ιντερμέτζο	intermezzo
ιντερνούντσιος	internuncio
ινφλουέντσα	influenza
ινωδολυτικός	fibrinolitico
ινωδόλυση	fibrinolisi
ιξώδης	vischioso
ιολογία	virologia
ιονίζω	ionizzare
ιονιστής	ionizzatore
ιονόσφαιρα	ionosfera
ιουδαϊκός	ebreo
ιουδαϊσμός	ebraismo
ιππέας	cavaliere
ιππασία	equitazione
ιππεύω	cavalcare
ιππικό	cavalleria
ιππικός	equestre
ιπποκόμος	palafreniere
ιπποπόταμος	ippopotamo
ιπποσύνη	cavalleria
ιππόκαμπος	cavallucio marino
ιππότης	cavaliere
ιπτάμενος δίσκος	disco volante
ιρίδιο	iridio
ιρανικός	iraniano
ιριδίζων	iridescente
ιρλανδικά	gaelico
ιρρεδεντισμός	irredentismo
ισημερία	equinozio
ισημερινός	equatore
ισθμός	istmo
ισιωτικό μαλλιών	piastra
ισιώνω	drizzare
ισλαμικός	islamico
ισλαμισμός	islamismo
ισλαμοφοβία	islamofobia
ισοβαρής καμπύλη	isobara
ισογώνιος	equiangolo
ισοδυναμία	equivalenza
ισοδύναμος	equivalente
ισοζύγιο	bilancio
ισοθερμία	isotermia
ισομερές	isomero
ισομερής	isomero
ισομετρία	isometria
ισοπαλία	pareggio
ισοπρένιο	isoprene
ισορροπία	equilibrio
ισορροπώ	bilanciare
ισοσκελής	isoscele
ισοσύλλαβος	parisillabo
ισοτονικός	isotonico
ισοτροπία	isotropia
ισοϋψής	curva altimetrica
ισπανικά	spagnolo
ισπανικός	spagnolo
ισραηλινός	israeliano
ιστιοπλοΐα	navigazione
ιστιοφόρο	nave a vela
ιστολογικός	istologico
ιστολογώ	bloggare
ιστολόγιο	blog
ιστορία	storia
ιστορικό	cronologia
ιστορικός	storico
ιστορικός	storico
ιστοσελίδα	pagina web
ιστοχώρος	sito
ιστόγραμμα	mappa del sito
ιστός	tessuto
ιστότοπος	sito
ισχαιμία	ischemia
ισχαιμικός	ischemico
ισχνός	magro
ισχυρίζομαι	asserire
ισχυρός	efficace
ισχυρότατα	fortissimamente
ισχύς	potenza
ισόβια	ergastolo
ισόβιος	a vita
ισόγειο	piano terra
ισόπλευρος	equilatero
ισότητα	uguaglianza
ισότοπο	isotopo
ιταλικά	italiano
ιταλικός	italiano
ιταμός	sfrontato
ιταμότητα	sfrontatezza
ιταμώς	sfacciatamente
ιτιά	salice
ιχθυογεννητικός	ittiogenico
ιχθυολογία	ittiologia
ιχθυοπωλείο	pescheria
ιχθυοπώλης	pescivendolo
ιχθυοτρόφος	pescicoltore
ιχθυοφάγος	ittiofaga
ιχθυόλη	ittiolo
ιχθυόσαυρος	ittiosauro
ιχώρ	icore
ιωβηλαίο	giubileo
ιόν	ione
ιός	virus
ιώδιο	iodio
κ.ά.	ed altri
κ.λπ.	ecc.
κάβουρας	granchio
κάδμιο	cadmio
κάθαρση	catarsi
κάθε	ogni
κάθετος	perpendicolare
κάθημαι	sedere
κάθισμα	posto
κάθομαι	sedere
κάκτος	cactus
κάλαντα	pastorale
κάλιο	potassio
κάλλιο πέντε και στο χέρι παρά δέκα και καρτέρει	meglio l’uovo oggi che la gallina domani
κάλος	callo
κάλπη	urna elettorale
κάλτσα	calza
κάματος	spossatezza
κάμερα	telecamera
κάμπια	bruco
κάμψη	flessione
κάντζι	kanji
κάνω	fare
κάπα	kappa
κάπαρη	cappero
κάπελας	taverniere
κάπνισμα	fumare
κάποιος	qualcuno
κάποτε	un tempo
κάπου	da qualche parte
κάππαρη	cappero
κάπως	in qualche modo
κάρβουνο	carbone
κάργια	taccola
κάρδαμο	crescione
κάρτα	biglietto
κάσα	cassa
κάστα	casta
κάστανο	castagna
κάστορας	castoro
κάστρο	castello
κάτι	qualcosa
κάτοικος	abitante
κάτοπτρο	specchio
κάτοχος	possessore
κάτω	giù
κέδρος	cedro
κέικ	torta margherita
κέλυφος	guscio
κέντρο	centro
κέρατο	corno
κέρδος	beneficio
κέρινος	cera
κέρμα	moneta
κέτσαπ	ketchup
κέφαλος	cefalo
κέφι	vena
κήλη	ernia
κήπος	giardino
κήρυγμα	sermone
κήτος	cetaceo
κίνδυνος	pericolo
κίνηση	movimento
κίρρωση	cirrosi
κίσσα	ghiandaia
κίτρινη κάρτα	cartellino giallo
κίτρινο	giallo
κίτρινος	giallo
κίτρο	cedro
καίσιο	cesio
καίω	bruciare
καβάλος	cavallo
καβαλάρης	fantino
καβαλέτο	cavalletto
καβαλίνα	letame
καβαλιέρος	cavaliere
καβαλιστής	cabalista
καβαλιστικός	cabbalistico
καβγάς	lite
καβουράκι	borsalino
καβουρντιστήρι	tostino
καβούκι	guscio
καγκελάριος	cancelliere
καγκελαρία	cancellierato
καγκουρό	canguro
καζάρμα	caserma
καζίνο	casino
καθήκον	dovere
καθαρίζω	pulire
καθαρεύουσα	katharevousa
καθαριότητα	pulizia
καθαρτήριο	purgatorio
καθαρτικό	lassativo
καθαρός	pulito
καθεστώς	regime
καθετήρας	catetere
καθετί	tutto
