Aachen	Aquisgrana
berühren	toccare
bescheiden	modesto
beschimpfen	insultare
beschirmen	proteggere
beschleunigen	accelerare
beschließen	decidere
beschmutzen	insudiciare
beschreiben	descrivere
beschränken	limitare
beschuldigen	accusare
beschwören	giurare
beschädigen	danneggiare
beschützen	difendere
besetzen	occupare
besetzt	occupato
besitzen	avere
besonder	separato
besonders	soprattutto
besorglich	pericoloso
besprechen	discutere
besser	migliore
bessern	migliorare
best	migliore
bestehen	esistere
bestellen	ordinare
bestimmen	destinare
bestimmt	certo
bestrafen	castigare
beständig	costante
bestätigen	assicurare
bestürzt	confuso
besuchen	visitare
besänftigen	calmare
betagt	vecchio
beten	pregare
betrachten	considerare
betreffen	concernere
betreffs	concernere
betrunken	brillo
beträchtlich	grave
betrügen	ingannare
bevorstehen	minacciare
bevorstehend	prossimo
bewaffnen	armare
bewegen	muovere
beweglich	mobile
beweisen	provare
bewerten	apprezzare
bewillkommnen	salutare
bewirken	causare
bewohnen	abitare
bewundern	ammirare
bewundernswert	ammirabile
bezahlen	pagare
bezeichnen	significare
bezweifeln	dubitare
bieder	onesto
biegen	curvarsi
billig	abuonmercato
billigen	approvare
binden	rilegare
binnen	dentro
bitten	chiedere
bitter	amaro
blank	brillante
blasen	soffiare
blau	azzurro
blass	pallido
bleiben	stare
bleich	pallido
blind	cieco
blinken	brillare
blockieren	bloccare
blond	biondo
bloß	nudo
bluten	sanguinare
blühen	fiorire
boxen	fareilpugilato
braten	friggere
brauchen	averbisognodi
braun	bruno
brausen	bollire
brechen	rompere
breit	largo
bremsen	fermare
brennen	ardere
bringen	portare
brummig	brusco
bröckeln	sgretolarsi
brüten	covare
böse	irato
bündig	breve
bürgerlich	civile
da	consideratoche
daheim	acasa
daher	dilà
dahin	lontano
damals	allora
danach	dopo
dankbar	grato
danken	ringraziare
dann	dietro
dann und wann	diquandoinquando
darauf	dietro
darlegen	spiegare
darum	perciò
das	i
das heißt	cioé
das ist	cioé
dauern	durare
dass	che
da sein	esistere
decken	coprire
deduzieren	concludere
definieren	definire
definitiv	definitivo
dein	tuo
deinig	tuo
delikat	delicato
demütig	umile
denken	pensare
denn	consideratoche
denunzieren	denunciare
der	i
deshalb	perciò
destillieren	distillare
deutlich	distinto
deutsch	tedesco
dicht	denso
dick	grosso
die	i
dienen	servire
die Absicht haben	intendere
die Bretagne	Bretagna
die Niederlande	Olanda
die Schweiz	Svizzera
die Türkei	Turchia
dingen	mercanteggiare
direkt	destro
diskret	discreto
diskutieren	discutere
disponieren	disporre
dividieren	dividere
doch	sì
donnern	tuonare
doppelt	doppio
dorren	seccare
dorthin	là
drastisch	efficace
draußen	fuori
drei	tre
dreizehn	tredici
dreißig	trenta
dreschen	trebbiare
dringen	spingere
drohen	minacciare
drollig	comico
drucken	stampare
drängen	insistere
dräuen	minacciare
drücken	premere
du	tu
duften	sentire
dulden	sopportare
dumm	ignorante
dunkel	buio
durch	mediante
durchaus nicht	niente affatto
durchdringen	penetrare
durchgehen	percorrere
durchqueren	percorrere
dämpfen	spegnere
dörren	seccare
düngen	concimare
dürfen	potere
düster	afflitto
eben	piano
ebenfalls	anche
ebenso	così
ebenso sehr	tanto
ebenso viel	tanto
echt	vero
egal	eguale
ehrlich	onesto
ehrlos	infame
eigen	proprio
eigenmächtig	arbitrario
eigens	principalmente
eigensinnig	ostinato
eilen	affrettarsi
ein	un
einbinden	rilegare
eindringen	penetrare
eine	un
einen Besuch abstatten	visitare
einen Vertrag schließen	concludere
einfach	semplice
einfältig	semplice
eingestehen	confessare
einhüllen	coprire
einkleiden	investire
einladen	invitare
einleuchten	spiegare
einmal	unavolta
einnehmen	occupare
einpacken	avvolgere
einrichten	predisporre
eins	un
einsammeln	raccogliere
einschlafen	addormentarsi
einschließen	contenere
einschmutzen	insudiciare
einschränken	limitare
einschätzen	apprezzare
einsenden	mandare
einteilen	dividere
eintragen	portare
eintreten	entrare
eintönig	monotono
einwilligen	concordare
einzahlen	pagare
einzeln	separato
einzig	solo
einen Anschlag ausführen	aggredire
ein Attentat ausführen	aggredire
eitel	vanitoso
elegant	elegante
elend	miserabile
elf	undici
elsässisch	alsaziano
empfangen	accettare
empfehlenswert	raccomandabile
enden	finire
endgültig	definitivo
endigen	finire
endlich	allafine
englisch	inglese
entdecken	inventare
entern	attraversare
entfernt	distante
entfliehen	fuggire
entgegen	evitare
entgegnen	replicare
enthalten	contenere
enthüllen	scoprire
entlaufen	fuggire
entledigen	liberare
entleeren	vuotare
entlegen	distante
entraten	sconsigliare
entreißen	strappare
entrichten	pagare
entscheiden	decidere
entscheidend	decisivo
entschieden	decisivo
entsetzlich	terribile
entspringen	discendere
entstehen	discendere
entweichen	evitare
entwenden	rubare
entwerfen	progettare
entziehen	ritirare
entzünden	accendere
entäußern	abbandonare
er	lui
erachten	calcolare
erbauen	costruire
erben	ereditare
erbeuten	prendere
erblicken	intravedere
erbärmlich	miserabile
erbötig	pronto
erdichten	figurarsi
erdrosseln	soffocare
erfassen	capire
erfinden	inventare
erforderlich	necessario
erfrieren	gelarsi
erfüllen	compiere
ergiebig	fecondo
ergreifen	afferrare
ergötzen	divertire
erhaben	alto
erhalten	conservare
erheben	alzare
erheblich	grave
erhängen	sospendere
erhärten	provare
erkenntlich	grato
erklären	spiegare
erkranken	ammalarsi
erlangen	arrivare
erlauben	permettere
erledigen	finire
erläutern	spiegare
erlösen	salvare
ermitteln	trovare
ermorden	ammazzare
ernennen	chiamare
ernst	grave
ernsthaft	serio
ernähren	alimentare
erpressen	opprimere
erproben	provare
erregen	muovere
erreichen	arrivare
erretten	salvare
erringen	guadagnare
ersaufen	annegarsi
erscheinen	apparire
erschießen	fucilare
erschlaffen	debilitare
erschweren	renderedifficile
ersetzen	rilevare
ersichtlich	chiaro
erst	non...che
erstaunen	stupirsi
erste	primo
ersteigen	salire
erstens	dapprima
erster	primo
erstes	primo
ersticken	soffocare
ersuchen	chiedere
ertappen	prendere
erteilen	dare
ertrinken	annegarsi
ertränken	annegare
erwarten	aspettare
erwidern	replicare
erwischen	prendere
erwägen	considerare
erwählen	eleggere
erwähnen	citare
erwünscht	desiderabile
erwürgen	soffocare
erzeugen	produrre
erzielen	arrivare
erzwingen	estorcere
erzählen	raccontare
erörtern	discutere
etwa	circa
etwaige	possibile
euer	tuo
eurige	tuo
eventuell	forse
evident	chiaro
ewig	eterno
exakt	esatto
examinieren	esaminare
existieren	esistere
exploitieren	sfruttare
extrem	estremo
essbar	commestibile
fabrizieren	fabbricare
fade	banale
fahl	pallido
fahnden	perseguire
fahren	andare
fahrlässig	negligente
falls	se
falsch	falso
falten	piegare
fanatisch	fanatico
fangen	prendere
fassen	prendere
fast	quasi
faul	pigro
fassbar	comprensibile
feige	angoscioso
feilschen	mercanteggiare
fein	delicato
feist	grasso
fern	distante
fertig	finito
fest	continuo
festnehmen	arrestare
festsetzen	destinare
fett	grasso
fettig	grasso
finden	trovare
finster	oscuro
fix	fermo
fixieren	fissare
flach	piano
flau	debole
fliegen	volare
fließen	fluire
flugs	presto
flunkern	mentire
flüstern	bisbigliare
folgen	ubbidire
folgend	seguente
folgern	concludere
folgsam	ubbidiente
forsch	energico
fort	lontano
fortfahren	continuare
fortführen	continuare
fortgehen	andarsene
fortlassen	abbandonare
fortlaufen	fuggire
fortnehmen	ritirare
fortwährend	sempre
fragen	domandare
fraglich	dubbioso
frankieren	affrancare
französisch	francese
frecht	impertinente
freilassen	liberare
freilich	certamente
frei machen	liberare
freundlich	amichevole
frisch	fresco
frommen	essereutile
fruchtbar	fecondo
fruchtlos	sterile
fröhlich	allegro
früh	dibuon'ora
früher	davanti
fundieren	fondere
furchtbar	terribile
fähig	abile
fällen	pronunciare
fälschlich beschuldigen	calunniare
fäulniswidrig	antisettico
fördern	accelerare
fügen	congiungere
füglich	conveniente
fügsam	ubbidiente
führen	condurre
fünf	cinque
fünfzehn	quindici
fünfzig	cinquanta
fürchten	avertimore
fürwahr	davvero
für null und nichtig erklären	annullare
füsilieren	fucilare
galant	cortese
ganz	completo
ganz und gar nicht	niente affatto
gar	perfino
gar nicht	innessunmodo
gastlich	ospitale
geben	dare
gebogen	curvo
gebrauchen	impiegare
gebrechlich	decrepito
gedeihen	crescere
gedrängt	denso
geeignet	conveniente
gefallen	piacere
gefährlich	pericoloso
gefügig	ubbidiente
gegen	contro
gegenwärtig	attuale
gegenüber	contro
geheim	segreto
geheimnisvoll	misterioso
gehen	andare
gehorsam	ubbidiente
gehorchen	ubbidire
gehören	appartenere
gehörig	decente
geil	grasso
geistig	spirituale
geistreich	spiritoso
geizig	avaro
gelassen	calmo
gelb	giallo
gelinde	delicato
gelingen	prosperare
gellen	sonare
geloben	promettere
gelten	valere
geläufig	facile
gemein	comune
gemeinsam	comune
gemeinschaftlich	comune
gemessen	misurato
gemächlich	comodo
gemütlich	calmo
genau	esatto
genehm	gradevole
genehmigen	accettare
geneigt zu	disposto
generell	generalmente
genieren	disturbare
genießbar	commestibile
genug	abbastanza
genügen	bastare
genügend	sufficiente
gerad	destro
geraten	prosperare
gering	piccolo
gern	volentieri
gernhaben	amare
gesamt	insieme
geschehen	accadere
gescheit	sensato
geschickt	abile
geschlossen	denso
geschmackvoll	elegante
geschwind	presto
geschäftig	attivo
gesellen	congiungere
gesetzt	serio
Gesichtskreis	orizzonte
gestatten	permettere
gestehen	confessare
gestern	ieri
gestorben	morto
gewahr werden	accorgersi
gewandt	agile
gewinnen	guadagnare
gewissermaßen	percosìdire
gewiss	certo
gewärtigen	aspettare
geübt	abile
gießen	versare
giftig	velenoso
glatt	piano
glauben	credere
gleich	eguale
gleichen	rassomiglare
gleichfalls	anche
gleichlaufend	parallelo
gleichsam	comese
gliedern	dividere
glänzen	brillare
gläubig	fedele
glücken	prosperare
glücklich	felice
gradlinig	destro
gratulieren	felicitare
grau	bigio
grausam	crudele
greifen	afferrare
griechisch	greco
groß	grande
grundlos	senzafondo
grässlich	terribile
grün	verde
gründen	fondere
grüßen	salutare
gut	buono
gutheißen	approvare
gähnen	sbadigliare
gütig	buono
haben	avere
habgierig	avido
halb	mezzo
halsstarrig	ostinato
halten	fermarsi
handeln	agire
harnen	orinare
harren	aspettare
hart	duro
hartnäckig	ostinato
hassen	odiare
hauen	battere
hausen	abitare
heben	alzare
heftig	acuto
hegen	alimentare
hehlen	nascondere
heilen	guarire
heim	acasa
heimlich	segreto
heiter	allegro
heizen	riscaldare
heißen	chiamare
helfen	aiutare
henken	sospendere
heranbringen	portare
heraus	lontano
herb	acido
herkommen	discendere
herleiten	derivare
hernach	dietro
herreichen	dare
herrlich	gradevole
herrschen	dominare
herstellen	fabbricare
hervor	avanti
hervorbringen	produrre
hervorheben	distinguere
heute	oggi
heute Abend	stasera
hierauf	dietro
hierher	quà
hierhin	là
hindern	sbarrare
hindurch	attraverso
hindurchgehen	percorrere
hinfällig	decrepito
hinken	zoppicare
hinlänglich	abbastanza
hinreichen	bastare
hinten	didietro
hinter	dietro
hinterbringen	denunciare
hintergehen	ingannare
hinterher	dietro
hinterlassen	abbandonare
hintereinander	successivamente
hinweg	lontano
hinweisen	mostrare
hinüber	attraverso
hitzig	acuto
hoch	alto
hochfahrend	fiero
hochmütig	fiero
hochschätzen	rispettare
hoffen	sperare
hohl	cavo
hold	caro
holen	ottenere
honett	onesto
horchen	ascoltare
humpeln	zoppicare
hundert	cento
huschen	volare
husten	tossire
hängen	curvarsi
häufig	frequentemente
höflich	cortese
höher	superiore
hören	udire
hübsch	bello
ich	io
ihm	lui
ihn	lui
ihr	tu
ihre	diloro
ihrer	lei
ihrige	tuo
illuminieren	illuminare
imitieren	imitare
immer	sempre
immerhin	certamente
impertinent	impertinente
imstande	abile
in	a
infizieren	infettare
informieren	informare
inhibieren	impedire
inne	dentro
innehaben	avere
innerhalb	dentro
innerlich	interno
innewerden	accorgersi
insbesondere	principalmente
insgeheim	dinascosto
insgesamt	insieme
insofern	se
inspizieren	esaminare
instruieren	insegnare
ins Exil schicken	bandire
intellektuell	spirituale
interessieren	interessare
intern	interno
investieren	investire
inwendig	interno
in Anspruch nehmen	occupare
in Ohnmacht fallen	svenirsi
in Verwunderung setzen	sbalordire
in keiner Weise	innessunmodo
irdisch	terrestre
irgendwo	inqualcheluogo
irre	matto
ja	perfino
jagen	cacciare
jammern	gemere
ja sagen	affermare
jederzeit	sempre
jenseits	attraverso
jugendlich	giovane
jung	giovane
jäh	aduntratto
jährlich	annuale
jämmerlich	miserabile
kahl	calvo
kalkulieren	calcolare
kalt	freddo
kapitulieren	arrendersi
kappen	rovesciare
kassieren	annullare
kauen	masticare
kaum	appena
kein	non
keineswegs	innessunmodo
kennen	conoscere
klagen	lagnarsi
klar	distinto
kleben	appiccicare
kleiden	vestire
klein	piccolo
kleinlaut	umile
klingen	sonare
klopfen	colpire
klug	sensato
kochen	bollire
komisch	comico
kommen	venire
kommend	prossimo
konfirmieren	confermare
konkav	cavo
konservieren	conservare
konstant	costante
konstatieren	constatare
konstruieren	costruire
kontant	contante
kontrollieren	controllare
konvenieren	piacere
konzis	breve
korrigieren	correggere
kosten	costare
kraft	mediante
krank	malato
krank werden	ammalarsi
kratzen	raschiare
kritisieren	criticare
krumm	curvo
kräftig	forte
kränken	insultare
kurieren	guarire
kurios	strano
kurz	breve
kurzsichtig	miope
kämmen	pettinare
können	potere
kühl	fresco
künftig	prossimo
künsteln	posare
küssen	baciare
lachen	ridere
laden	caricare
lang	lungo
lange	alungo
laufen	correre
laut	adaltavoce
leben	vivere
lebe wohl	addio
lediglich	non...che
leer	vuoto
legen	mettere
lehnen	sostenere
lehren	insegnare
leicht	facile
leidenschaftlich	fanatico
leimen	appiccicare
leisten	compiere
leiten	commettere
lenken	condurre
lernen	imparare
lesen	leggere
letzte	scorso
letzter	scorso
letztes	scorso
leugnen	negare
lieb	caro
lieben	amare
lieber	piuttosto
lieblich	affascinante
links	asinistra
loben	lodare
lohnen	ricompensare
losreißen	rompere
loyal	fedele
lustig	allegro
lutschen	succhiare
lächeln	sorridere
lächerlich	ridicolo
lästern	bestemmiare
lästig fallen	disturbare
läuten	sonare
löschen	ammortizzare
lösen	risolvere
lüften	aerare
lügen	mentire
lüstern	avido
machen	commettere
mager	magro
mahlen	macinare
malen	dipingere
manchmal	qualchevolta
markten	mercanteggiare
marschieren	camminare
matt	stanco
meiden	evitare
mein	mio
meist	estremamente
melden	annunciare
messen	misurare
mieten	prendereinaffitto
mild	mite
mit	mediante
mitmachen	spartire
mitteilen	informare
mittelst	mediante
mittlere	medio
mittlerer	medio
mittleres	medio
moderig	ammuffito
monoton	monotono
morgen	domani
multiplizieren	moltiplicare
mutwillig	cattivo
mysteriös	misterioso
mögen	amare
möglicherweise	forse
müde	stanco
mühelos	facile
nach	a
nachahmen	imitare
nachbilden	imitare
nachgeben	cedere
nachher	dietro
nachsehen	esaminare
nachzusetzen	perseguire
nach dort	là
nach hier	quà
nach und nach	pocoapoco
nackt	nudo
nahe	prossimo
nahezu	quasi
national	nazionale
natürlich	naturalmente
nass	bagnato
neben	accanto
nehmen	prendere
nein	no
nennen	citare
neu	fresco
neugierig	curioso
neun	nove
neunzehn	diciannove
neunzig	novanta
neutral	neutrale
nicht	non
nicht mehr	non...più
nicht schwierig	facile
nie	mai
niedrig	basso
niemals	mai
nimmer	mai
nirgends	innessunluogo
noch	ancora
notwendig	necessario
nur	non...che
nächst	prossimo
nähren	alimentare
nötig	necessario
nötig haben	averbisognodi
nützen	essereutile
nützlich	utile
oben	disopra
oberhalb	sopra
obgleich	benche
obschon	benche
offen	aperto
offenbar	chiaro
offiziell	ufficiale
oft	frequentemente
ohnmächtig werden	svenirsi
ordnen	predisporre
packen	avvolgere
parallel	parallelo
passieren	accadere
perfekt	perfetto
persönlich	personale
pfeifen	fischiare
pflanzen	piantare
pflegen	curare
pflücken	rompere
planen	progettare
plaudern	chiacchierare
plötzlich	subitaneo
politisch	politico
praktizieren	praticare
preisen	lodare
pressen	premere
privat	particulare
pro	a
probieren	provare
produzieren	produrre
profitieren	approfittare
projektieren	progettare
proklamieren	proclamare
promovieren	promuovere
proportional	proporzionale
prosperieren	prosperare
protektieren	proteggere
protestieren	protestare
prägen	stampare
prüfen	esaminare
pumpen	pompare
quer	attraverso
quer mitten	attraverso
rasend	furibondo
rasieren	farlabarba
raten	consigliare
rauchen	fumare
rau	crudo
real	reale
rechnen	calcolare
recht	corretto
rechter	destro
rechts	adestra
rechtschaffen	onesto
reden	parlare
regieren	dominare
regnen	piovere
reich	ricco
reichen	arrivare
reif	maturo
rein	puro
reinlich	puro
reisen	viaggiare
reizen	incitare
reizend	affascinante
reparieren	riparare
repräsentieren	rappresentare
reservieren	riservare
respektieren	rispettare
retten	salvare
rezitieren	recitare
richtig	corretto
riechen	sentire
rinnen	fluire
riskieren	arrischiare
ritzen	raschiare
roh	crudo
rostig	arrugginito
rot	rosso
rufen	chiamare
ruhen	riposarsi
ruhig	calmo
rund	rotondo
rücken	spingere
rühren	toccare
rüsten	armare
sagen	dire
saldieren	saldare
sammeln	raccogliere
sauber	puro
sauer	acido
saugen	succhiare
sausen	muggire
schalkhaft	cattivo
scharf	affilato
scheiden	separare
scheinen	brillare
schelmisch	cattivo
schelten	insultare
scherzen	scherzare
schicken	convenire
schier	quasi
schimmern	brillare
schimpfen	insultare
schirmen	riparare
schlafen	dormire
schlagen	battere
schlecht	cattivo
schleudern	gettare
schließen	chiudere
schmal	stretto
schmecken	gustare
schmeicheln	lusingare
schmerzen	farmale
schmücken	decorare
schnarchen	russare
schneiden	tagliare
schneien	nevicare
schnell	presto
schon	già
schrecklich	terribile
schreiben	scrivere
schreien	gridare
schulden	dovere
schuldig	colpevole
schuldig sein	dovere
schwach	debole
schwanger	incinta
schwanken	esitare
schwarz	nero
schwatzen	chiacchierare
schweigen	tacere
schweigend	silenzioso
schwer	difficile
schwer sein	pesare
schwimmen	nuotare
schwitzen	sudare
schwören	giurare
schädlich	nocivo
schätzen	apprezzare
schön	bello
schütten	versare
schützen	proteggere
sechs	sei
sechzehn	sedici
sechzig	sessanta
sehen	vedere
sehr	assai
sein	suo
seiner	lui
seit	di
selber	stesso
selbst	perfino
selten	raramente
seltsam	strano
senden	mandare
separat	separato
setzen	mettere
seufzen	gemere
sicher	certo
sich aufführen	comportarsi
sich aufhalten	trovarsi
sich ausruhen	riposarsi
sich bedanken	ringraziare
sich befinden	trovarsi
sich beklagen	lagnarsi
sich benehmen	comportarsi
sich betragen	comportarsi
sich bewegen	muoversi
sich brechen	vomitare
sich bücken	curvarsi
sich duellieren	duellare
sich einbilden	figurarsi
sich entschließen	decidere
sich erbrechen	vomitare
sich ereignen	accadere
sich ergeben	arrendersi
sich erheben	salire
sich erkundigen	informarsi
sich erkälten	raffredarsi
sich gehören	convenire
sich gewöhnen	solere
sich irren	errare
sich schämen	vergognarsi
sich setzen	sedersi
sich stellen	alzarsi
sich verehelichen	maritarsi
sich verhalten	comportarsi
sich verheiraten	maritarsi
sich verirren	perdersi
sich verlaufen	fuggire
sich verlieben	innamorarsi
sich verlohnen	valere
sich verständigen	convenire
sich vorstellen	figurarsi
sich wundern	stupirsi
sich zieren	posare
sich ängsten	avertimore
sich ängstigen	avertimore
sich übergeben	vomitare
sich überlegen	considerare
sie	lei
sieben	sette
siebzehn	diciasette
siebzig	settanta
sieden	bollire
singen	cantare
sinnreich	spiritoso
sitzen	essereseduto
skizzieren	progettare
so	così
sofern	tanto
sofort	frapoco
sogar	perfino
sogleich	direttamente
sonderbar	strano
sonst	altro
sosehr	tanto
soviel	tanto
soweit	tanto
sozial	sociale
spalten	fendere
spannen	caricare
spaßhaft	comico
speien	sputare
sperren	sbarrare
spezial	speciale
speziell	speciale
sphärisch	sferico
spielen	giocare
spionieren	spiare
spitz	appuntato
sprachlos	muto
sprechen	parlare
sprechen über	discutere
springen	saltare
spröde	rigido
spucken	sputare
sputen	affrettarsi
spät	tardo
später	dietro
spülen	lavare
stacheln	pungere
stammen	discendere
stark	forte
starr	rigido
starren	fissare
starrköpfig	ostinato
stattfinden	accadere
staunen	stupirsi
stechen	pungere
stecken	mettere
stehen	stareinpiedi
stehlen	rubare
steif	rigido
steigen	salire
steil	ripido
stellen	mettere
stemmen	sostenere
sterben	morire
steril	sterile
stetig	costante
stets	sempre
sticheln	pungere
still	calmo
stimulieren	stimolare
stocken	fermarsi
stolz	fiero
stoppen	fermarsi
stoßen	spingere
strafen	castigare
straffen	caricare
strahlen	brillare
strapazieren	affaticare
streiken	faresciopero
streng	severo
sträuben	alzarsi
strömen	fluire
studieren	studiare
stumm	muto
stumpf	smussato
ständig	costante
stöhnen	gemere
stören	impedire
stürmisch	furibondo
stützen	sostenere
subskribieren	firmare
suchen	cercare
sudeln	insudiciare
sukzessive	pocoapoco
sächlich	neutrale
säen	seminare
säugen	allattare
südpolar	antartico
süß	dolce
tangieren	toccare
tanzen	ballare
tapezieren	tappezzare
tatsächlich	difatto
taub	sordo
taubstumm	sordomuto
tauen	sgelare
taufen	battezzare
tauglich	adatto
taumeln	esitare
tauschen	cambiare
tausend	mille
teilen	dividere
teilhaftig machen	annunciare
teilnehmen	spartire
teils	inparte
terrestrisch	terrestre
teuer	caro
teuflisch	diabolico
tief	fondo
tippen	scrivereamacchina
toll	matto
tot	morto
total	completo
tragen	portare
traktieren	trattare
traurig	afflitto
treffen	colpire
trefflich	perfetto
treiben	spingere
treten	andare
treu	fedele
treulos	infedele
trinken	bere
trocken	secco
trocknen	seccare
trotzen	insistere
trotzig	ostinato
trunken	brillo
trächtig	incinta
träge	depresso
träumen	sognare
trösten	consolare
trübe	buio
tun	commettere
täglich	giornaliero
tätig	attivo
täuschen	ingannare
tödlich	mortale
tönen	sonare
töten	ammazzare
tüchtig	energico
u. s. w.	ecc.
um	intornoa
umgehend	seguente
umreißen	distruggere
umringen	circondare
umsonst	invano
umstimmen	convertire
umstoßen	rovesciare
umstürzen	rovesciare
