ABC	alfabeto
quite	abbastanza
quiver	tremare
quotation	citazione
quotation	virgolette
quote	citare
quotes	virgolette
rabbit	coniglio
rabid	rabbioso
race	razza
radiation	radioterapia
radio	radio
radish	ravanello
ragout	cibreo
railing	parapetto
railroad	ferrovia
railway	ferrovia
railway	vagone
rain	piovere
rainbow	arcobaleno
raise	alzare
ranch	fattoria
rand	orlo
rapier	spada
rare	raro
raspberry	lampone
rat	topo
rate	apprezzare
rather	piuttosto
raven	corvo
raw	crudo
ray	sciopero
reach	arrivare
react	reagire
read	leggere
ready	pronto
real	reale
reality	verità
realize	capire
really	davvero
rear‐lamp	luce di posizione
rear‐light	luce di posizione
rear	retroguardia
rearguard	retroguardia
reason	causa
reasonable	sensato
rebuke	biasimare
receipt	ricevuta
receive	accettare
recent	fresco
recently	recentemente
recess	alcova
recipient	destinario
recite	recitare
recognize	riconoscere
recollection	memoria
recommend	raccomandare
recommendable	raccomandabile
recommendation	raccomandazione
recruit	arruolare
red	rosso
redeemable	rimborsabile
redemption	ammortizzamento
reduce	respingere
reek	sentire
referee	arbitro
refined	delicato
refusal	rifiuto
refuse	rifiutarsi
regard	considerazione
register	raccomandare
regret	rincrescere
regular	regolare
regularly	frequentemente
regulation	regola
reject	rifiutare
relate	raccontare
related	congiunto
related	imparentato
relation	relazione
relations	parentado
relationship	parentado
relative	parente
relatives	parentado
release	liberare
relinquish	cedere
remain	resti dietro
remit	annullare
remote	isolato
remote	telecomando
rendezvous	appuntamento
rent	affittare
repair	riparare
repayable	rimborsabile
repeat	ripetere
repentance	pentimento
repentant	pentito
reply	replicare
report	informare
repose	riposarsi
represent	rappresentare
representation	figura
representative	delegato
reproach	riprendere
reprove	riprendere
republic	repubblica
request	chiedere
require	aver bisogno di
rescue	salvare
resemble	rassomiglare
reserve	ordinare
residence	residenza
respect	rispettare
respectable	onorevole
respiration	respirazione
respond	reagire
responsible	responsabile
rest	riposarsi
restaurant	ristorante
restrain	dominare
restrict	limitare
result	discendere
resumé	sommario
retain	ritenere
retardation	ritardo
retarded	deficiente
retention	conservazione
return‐ticket	biglietto d'andata e ritorno
return	restituire
reveal	pubblicare
revenge	vendetta
revue	rivista
reward	ricompensare
rhino	rinoceronte
rhinoceros	rinoceronte
ribbon	nastro
rice	riso
rich	ricco
rickety	decrepito
ride	camminare
ridiculous	ridicolo
rifle	fucile
right‐hand	destra
right	destro
righthand	destro
right	fra poco
right	fra poco
rigid	rigido
rim	orlo
ring	anello
riotous	dissoluto
ripe	maturo
rise	salire
risk	arrischiare
river	fiume
road	cammino
roar	muggire
rob	derubare
robe	abito
rock	roccia
rod	barra
roll‐call	chiamata
roll	panino
roller‐blind	persiana
roller	cilindro
roof	tetto
room	spazio
rooster	gallo
rough	crudo
round	rotondo
round	arrotondare
rouse	incitare
route	cammino
rubber	gomma
rubbish	macerie
rudder	remo
rude	rozzo
rudiments	alfabeto
ruin	rovinare
rule	dominare
rump	sedere
run	fuga
run	colpire
run	fuggire
rush	affrettarsi
rusty	arrugginito
rye	segale
sack	borsa
sad	afflitto
sadness	tristezza
safety	sicurezza
sagacious	saggio
sage	salvia
sail	vela
sailor	marinaio
salad	insalata
salary	paga
sale	smercio
sales	sbocco
sallow	pallido
salmon	salmone
salon	salotto
salt	sale
salute	salutare
sample	campione
sand	sabbia
satisfied	contento
sauce	salsa
saucepan	casseruola
saucer	piattino
sausage	salsiccia
savage	selvaggio
save	salvare
saw	sega
say	dire
say	dire addio
say	dire addio
say	affermare
scale	squama
scales	bilancia
scandal	maldicenza
scarcely	appena
scare	impaurire
scatter	versare
schedule	orario
scheme	progetto
scholar	allievo
school	scuola
science	scienza
scientist	scienziato
scissors	forbici
scold	riprendere
scratch	raschiare
scream	gridare
screen	schermo
screw	vite
screwdriver	cacciavite
scuffle	battaglia
sculptor	scultore
sculpture	scultura
scythe	falce
sea‐dog	foca
sea	mare
seagull	gabbiano
seal	foca
seasickness	mal di mare
seaside	costa
season	stagione
seat	posto
second	secondo
second	pronipote
secret	segreto
secretion	secrezione
section	divisione
secure	fissare
security	sicurezza
see	incontrare
seek	cercare
seem	parere
seemly	conveniente
seize	afferrare
seizure	apoplessia
seldom	raramente
self‐conscious	timido
self‐interested	egoistico
self	stesso
selfish	egoistico
sell	vendere
send	mandare
send	imbarcare
sensible	sensato
sensitive	sensibile
sentence	frase
separate	separato
serious	grave
serpent	serpente
servant	servire
serve	servire
service	uffizio divino
set	apparecchio
settlement	pareggiamento dei conti
seven	sette
seventeen	diciasette
seventh	settimo
seventy	settanta
several	qualche volta
severe	severo
sex	sesso
shack	baracca
shade	ombra
shadow	ombra
shaft	albero
shallow	basso
shame	vergogna
shanty	baracca
share	azione
shareholder	azionista
shark	pescecane
sharp	affilato
shave	far la barba
she‐goat	capra
she	lei
shed	tettoia
sheep	pecora
sheet	foglia
sheet	latta
shelf	asse
shell	conchiglia
shelter	riparo
shine	brillare
shiver	tremare
shoe	scarpa
shoemaker	calzolaio
shoot	fucilare
shop	negozio
shore	costa
short‐sighted	miope
short	corto
shortage	mancanza
shortcoming	mancanza
shortness	asma
shoulder	spalla
shout	gridare
show	mostrare
shower	doccia
shrew	megera
shrub	arbusto
shut	chiudere
shy	timido
sick	malato
side‐whiskers	baffi
side	fianco
sideboard	armadio
siege	assedio
sigh	sospirare
sight	apparenza
sightless	cieco
sign	augurio
signal	segno
signalman	cantoniere
signature	firma
signify	significare
silent	silenzioso
sill	soglia
silver	argento
similar	simile
simple	semplice
since	di
sincere	sincero
sing	cantare
singer	cantante
sir	signore
sister‐in‐law	cognata
sister	sorella
sit	covare
sitting‐room	stanza
sit	sedersi
six	sei
sixteen	sedici
sixth	sesto
sixty	sessanta
sizable	considerevole
size	grandezza
skeleton	scheletro
sketch	progettare
skilfulness	abilità
skill	abilità
skillful	abile
skillfulness	abilità
skim	scremare
skimpy	magro
skin	pelle
skinny	magro
skull	cranio
sky	cielo
sky	azzurro
slander	calunniare
slay	ammazzare
sleep	dormire
sleeping‐car	vettura letti
slender	sottile
slice	tagliare
slow	lento
slug	lumaca
slum	quartiere popolare
small	piccolo
smell	sentire
smell	sentire di
smile	sorridere
smoke	fumare
smokers	fumatori
smokestack	fumaiuolo
smooth	piano
snail	chiocciola
snake	serpente
snore	russare
snow	nevicare
so	così
sober	sobrio
sobriquet	soprannome
social	sociale
society	compagnia
soft	dolce
soil	insudiciare
sole	pianta
solicitor	avvocato
soliloquy	monologo
solitary	solo
solve	risolvere
somber	afflitto
sometimes	qualche volta
somewhere	in qualche luogo
son‐in‐law	genero
son	figlio
song	canzone
soon	fra poco
soothe	calmare
sorrow	tristezza
sort	genere
sound	sonare
soup	minestra
sour	acido
source	fonte
south	sud
souvenir	memoria
sow	seminare
so	arrivederci
so	così così
so	per così dire
spa	bagni
space	spazio
spanner	chiave
spark	scintilla
spark	candela
sparrow	passero
speak	parlare
special	separato
specimen	campione
spectacles	occhiali
speechless	muto
speed	velocità
speed	accelerare
spell	compitare
spend	spendere
sphere	sfera
spider	ragno
spiked	appuntato
spinach	spinaci
spindle	albero
spine	spina dorsale
spirit	spirito
spiritual	spirituale
spit	sputare
split	fendere
spoil	danneggiare
spoon	cucchiaio
sport	sport
spot	luogo
spring	fonte
springtime	primavera
spy	spiare
squad	compagnia
square	piazza
square	gruppo
squeeze	premere
squirrel	scoiattolo
stab	pungere
stable	stabile
staid	serio
staircase	scala
stairs	scala
stale	trito e ritrito
stall	stalla
stamp	bollo
stand	granaio
standard	stendardo
stand	alzarsi
stand	far fronte a
star	stella
stare	fissare
start	cominciare
state	asserire
statement	dichiarazione
station‐master	capostazione
station	stazione
statue	statua
stay	stare
stay	resti dietro
stay	stare
steak	bistecca
steal	rubare
steam‐boiler	caldaia
steel	osso di balena
steep	ripido
steering‐wheel	timone
stem	tronco
stenotypist	dattilografa
step‐brother	fratellastro
step‐father	patrigno
step‐mother	matrigno
step‐sister	sorellastra
step	passo
sterile	sterile
stern	poppa
stew	cibreo
stick	appiccicare
sticky	appiccicaticcio
stiff	rigido
still	ancora
stimulate	incitare
sting	pungere
stingy	avaro
stir	incitare
stoke	riscaldare
stomach	stomaco
stomach	mal di pancia
stone	pierra
stoop	curvarsi
stop	fermata
storage	accumulatore
store	negozio
storey	piano
storm	tempesta
story	piano
straggler	ritardatario
straight	destro
straightforward	semplice
strait	stretto
strange	strano
strawberry	fragola
stray	perdersi
stream	corrente
strech	caricare
street	via
streetcar	tram
strength	forza
stress	accentare
stretcher	barella
strict	severo
stride	passo
strike	battere
strike	saldare
stroke	apoplessia
stroke	apoplessia
strong	forte
struggle	battaglia
stubborn	ostinato
student	studente
study	studiare
stupid	ignorante
sty	stalla
subject	eccetto
subject	tassabile
subscriber	abbonato
subscription	abbonamento
subsequently	dietro
succeed	riuscire
success	successo
successor	discendente
such	così
such	come
such	come
suck	succhiare
suckle	allattare
sudden	subitaneo
suddenly	ad un tratto
suffice	bastare
sufficient	sufficiente
sufficiently	abbastanza
suffix	suffisso
suffocate	soffocare
sugar	zucchero
suggest	indicare
suggestion	suggerimento
suit	abito
suitable	decente
suitcase	valigia
sum	importo
summer	estate
summery	sommario
summit	punta
summon	chiamare
sun	sole
sunrise	levar del sole
sunset	tramonto
superficial	basso
superior	superiore
superstition	superstizione
superstitious	superstizioso
supervise	controllare
supper	cena
supplication	domanda
support	sostenere
supporter	membro
supporters	partito
suppose	supporre
suppress	opprimere
sure	certo
surface	cima
surgeon	chirurgo
surly	brusco
surmise	supporre
surname	cognome
surprise	sorprendere
surrender	arrendersi
surround	circondare
surroundings	ambiente
suspect	sospettare
suspicion	sospetto
sustain	sostenere
sustained	costante
swallow	rondine
swear	bestemmiare
sweat	sudare
sweet	dolce
swiftly	presto
swim	nuotare
swindle	imbroglio
swindling	imbroglio
swine	porco
switch	accendere
swoon	svenirsi
system	sistema
table‐cloth	toviglia
table	tavolo
tail‐light	luce di posizione
tail	coda
tailor	sasta
take	accettare
take	agire
take	ritirare
take	demolire
take	accettare
take	considerare
take	dire addio
take	dire addio
take	constatare
take	togliere
take	comperare
take	spartire
take	rilevare
taking	acquisto
taking	acquisto
talent	ingegno
talented	dotato
talk	parlare
tall	alto
tap	origliare
tape‐recorder	registratore
tar	catrame
tardy	tardo
target	proposito
tart	acido
task	compito
taste	gustare
tattler	chiacchierone
tax	tassare
tea‐pot	teiera
tea	tè
teach	insegnare
teacher	maestra
tear	lagrima
tear	rompere
tease	irritare
teeth	dentatura
tell	dire
telltale	chiacchierone
tell	mentire
temper	umore
temple	tempia
ten	dieci
tender	dolce
tend	curare
terminate	finire
terrestrial	terrestre
terrible	terribile
territory	teritorio
test	esame
testimony	certificato attestato
than	che
thank	ringraziare
thankful	grato
thankless	ingrato
thanks	grazie
that	che
that	cioé
that	tanto
that	così
thaw	sgelare
the	i
theatre	teatro
thee	dar del tu a
theft	furto
their	di loro
then	dopo
thence	di là
there	là
thereafter	dopo
therefore	perciò
these	oggigiorno
they	essi
the	Antartico
the	Artico
the	Olanda
the	dopodomani
the	ieri l'altro
thick	denso
thief	ladra
thigh	coscia
thin	magro
thing	cosa
think	pensare
think	anticipare
think	rispettare
third	terzo
thirst	sete
thirteen	tredici
thirty	trenta
this	stasera
this	stamattina
this	quà
thither	là
thorn	spina
thou	tu
though	benche
thought	pensiero
thousand	mille
thread	filo
threat	minaccia
threaten	minacciare
three	tre
three	tre volte
thresh	trebbiare
threshold	soglia
thrice	tre volte
throat	gola
through	finito
throw	gettare
throw	vomitare
thrust	spingere
thumb	pollice
thunder	tuonare
thus	così
thwart	rendere difficile
ticket‐window	sportello
ticket	biglietto
tie	cravatta
tie	legare
tiger	tigre
timber	legno
time‐table	orario
time	tempo
timid	angoscioso
tin	latta
tin	latta
tip	punta
tire	gomma
tired	stanco
tired	esausto
tire	affaticare
to	a
toad	rospo
today	oggi
toe	dito del piede
together	insieme
toilet‐paper	carta igienica
toilet	cesso
token	prova
tolerate	sopportare
tomato	pomodoro
tomorrow	domani
tomorrow	domani sera
tomorrow	domattina
tongs	pinzette
tongue	lingua
too	anche
tool	arnese
too	troppo
top	cima
topgallant	scardola
topical	attuale
torch	fiaccola
torture	torturare
torturer	boia
touch	toccare
touch	menzionare
touch	menzionare
toward	a
towards	a
towel	asciugamano
tower	torre
town‐hall	municipio
town	città
township	paesello
toy	giuocattolo
trace	delimitare
trace	delimitare
trade	commercio
train	treno
tram	tram
tranquil	calmo
transfer	attraversare
transformation	cambiamento
translate	tradurre
translation	traduzione
transmit	mandare
tran
