α	t
κατοχή	besittning
κατράμι	tjära
κατσίκα	get
κατσίκι	kid
κατσαβίδι	skruvmejsel
κατσαρίδα	kackerlacka
κατσαρόλα	kastrull
κατσαρόλι	kastrull
κατσαρός	krullig
κατσουλιέρης	tofslärka
κατώτερος	underordnad
κατώφλι	tröskel
καυκαλήθρα	strävsilja
καυλωμένος	kåt
καυσαέριο	avgas
καυτερός	het
καυτός	kokande
καυχηματίας	skrytmåns
καφέ	kafé
καφέ-ω-λαι	kaffe med mjölk
καφές	kaffe
καφεΐνη	koffein
καφενείο	café
καφετέρια	fik
καφετιέρα	kaffebryggare
καφεόδεντρο	kaffebuske
καφκικός	kafkaartad
καχεκτικός	klen
καψαϊκίνη	capsaicin
καύση	förbränning
καύσιμο	bränsle
καύσιμος	brännbar
καύσωνας	värmebölja
κβάζαρ	kvasar
κβάντο	kvantum
κβάντωση	kvantisering
κβαντομηχανική	kvantmekanik
κβαντοφυσική	kvantfysik
κείμαι	ligga
κείμενο	text
κειμήλιο	släktklenod
κειμενογράφος	editor
κελάρι	källare
κελί	cell
κελτικός	keltisk
κεμπάπ	kebab
κενοτάφιο	kenotaf
κεντρίζω	sticka
κεντρικός	central
κεντρομερές	centromer
κενό	tomrum
κενός	ihålig
κεράσι	körsbär
κερί	ljus
κεραία	antenn
κεραμίδι	takpanna
κεραμική	keramik
κερασιά	sötkörsbär
κερατάς	hanrej
κερατίνη	keratin
κερατοειδής χιτώνας	hornhinna
κεραυνοβόλος έρωτας	kärlek vid första ögonkastet
κεραυνός	blixt
κερδίζω	vinna
κερδοσκοπία	spekulation
κερδοσκόπος	spekulant
κερδοφόρος	vinstgivande
κεταμίνη	ketamin
κετσές	filt
κετόνη	keton
κεφάλαιο	kapitel
κεφάλι	huvud
κεφίρ	kefir
κεφαλίδα	rubrik
κεφαλαίο	stor bokstav
κεφαλαίος	versal
κεφαλαιοκράτης	kapitalist
κεφαλιά	nick
κεφαλόσκαλο	trappavsats
κεχρί	hirs
κεχριμπάρι	bärnsten
κεχριμπαρένιος	bärnstensfärgad
κηδεία	begravning
κηδεμόνας	förmyndare
κηλίδα	fläck
κηπευτικός	hortikulturell
κηπουρική	hortikultur
κηπουρός	trädgårdsmästare
κηρομπογιά	krita
κηροπήγιο	ljusstake
κηροσβέστης	ljussax
κηρύσσω	predika
κηφήνας	drönare
κιάλι	likare
κιάλια	kikare
κιβωτός	ark
κιβώτιο	låda
κιγκλίδωμα	balustrad
κιθάρα	gitarr
κιθαρίστας	gitarrist
κικιρίκου	kuckeliku
κιλοβατώρα	kilowattimme
κιλομπάιτ	kilobyte
κιλτ	kilt
κιλό	kilo
κιλότα	knäbyxor
κιμάς	köttfärs
κιμονό	kimono
κιμπούτς	kibbutz
κιμωλία	krita
κινάση	kinas
κινέζικος	kinesisk
κινεζικά	kinesiska
κινηματογράφος	film
κινηματογραφώ	filma
κινητήρας	motor
κινητικός	kinetisk
κινητικότητα	rörlighet
κινητοποίηση	mobilisering
κινητό	mobil
κινητό τηλέφωνο	mobil
κινητός	mobil
κινούμενη άμμος	kvicksand
κινώ	flytta på sig
κιονοειδής	pelarformig
κιονόκρανο	kapitäl
κιούριο	curium
κιργιζικά	kirgiziska
κιρκινέζι	rödfalk
κισσός	murgröna
κιτάπι	bok
κιτρικό οξύ	citronsyra
κιτρινωπός	gulaktig
κιτς	kitsch
κιόλας	redan
κλάβικορντ	klavikord
κλάδεμα	beskärning
κλάδος	gren
κλάμα	gråt
κλάνω	prutta
κλάξον	bilhorn
κλάση	klass
κλάσμα	bråk
κλέβω	stjäla
κλέφτης	tjuv
κλήρος	prästerskap
κλήρωση	dragning
κλήση	kallelse
κλίκα	klick
κλίμα	klimat
κλίμακα	skala
κλίνη	bädd
κλίνω	böja
κλίση	böjning
κλαίω	gråta
κλαδί	gren
κλαδεύω	ansa
κλαμπ	nattklubb
κλαρινέτο	klarinett
κλαρινετίστας	klarinettist
κλασέρ	gaffelpärm
κλασικός	klassisk
κλαψουρίζω	lipa
κλείδα	nyckelben
κλείδωση	led
κλείνω	stänga
κλείστρο	slutstycke
κλειδί	nyckel
κλειδαράς	låssmed
κλειδαριά	lås
κλειδαρότρυπα	nyckelhål
κλειδώνω	låsa
κλειστοφοβία	cellskräck
κλειστός	sluten
κλειτορίδα	klitoris
κλειτοριδικός	klitorisk
κλεμμένος	stulen
κλεπτοκρατία	kleptokrati
κλεπτομανία	kleptomani
κλεψύδρα	timglas
κληρικός	klerk
κληροδοτώ	testamentera
κληροδότης	testator
κληρονομιά	arv
κληρονομικός	ärftlig
κληρονομικότητα	ärftlighet
κληρονομώ	ärva
κληρονόμος	arvinge
κλητική	vokativ
κλητικός	vokativ
κλικάρω	klicka
κλιμακοστάσιο	trappa
κλιματική αλλαγή	klimatförändring
κλιματικός	klimatisk
κλιματισμός	luftkonditionering
κλιματολογία	klimatologi
κλιματολογικός	klimatologisk
κλινάμαξα	sovvagn
κλινοστρωμνή	sängkläder
κλισέ	kliché
κλοπή	stöld
κλοτσιά	spark
κλουβί	bur
κλπ.	et c.
κλωνοποίηση	kloning
κλωνοποιώ	klona
κλωστή	tråd
κλόουν	clown
κνήμη	skenben
κνησμός	klåda
κνούτο	knutpiska
κοάζω	kväka
κοάλα	koala
κοίλος	konkav
κοίτη	säng
κοβάλτιο	kobolt
κογιότ	prärievarg
κογκρέσο	kongress
κοιλάδα	dal
κοιλιά	buk
κοιλιοκάκη	celiaki
κοιλότητα	hålighet
κοιμάμαι	sova
κοινή λογική	bondförstånd
κοινοβουλευτικός	parlamentarisk
κοινοβούλιο	parlament
κοινολογώ	förmedla
κοινοπολιτεία	samvälde
κοινωνία	samhälle
κοινωνικοπολιτιστικός	sociokulturell
κοινωνικό δίκτυο	socialt nätverk
κοινωνικός	social
κοινωνιογλωσσολογία	sociolingvistik
κοινωνιολογία	sociologi
κοινωνιολογικός	sociologisk
κοινωνιοπάθεια	sociopati
κοινωνιόγραμμα	sociogram
κοινωνιόλεκτος	sociolekt
κοινό	allmänhet
κοινός	gemensam
κοινότητα	samfund
κοιτάζω	se
κοκ	koks
κοκίτης	kikhosta
κοκαΐνη	kokain
κοκκίνισμα	rodnande
κοκκινίζω	rodna
κοκκινολαίμης	rödhake
κοκκινομάλλης	rödhårig
κοκοφοίνικας	kokospalm
κοκτέιλ	cocktail
κολάζ	kollage
κολέγιο	fakultet
κολακεία	smicker
κολακεύω	smickra
κολατσιό	mellanmål
κολεκτιβοποίηση	kollektivisering
κολεός	slida
κολεόσπασμος	vaginism
κολιέ	halsband
κολικός	kolik
κολιμπρί	kolibri
κολλάω	limma
κολλαγόνο	kollagen
κολλητήρι	lödkolv
κολλητός	polare
κολλοειδής	kolloid
κολοκυθάκι	squash
κολοκυθόπιτα	pumpapaj
κολοκύθα	kurbits
κολοκύθι	squash
κολομπαράς	bög
κολονοσκόπηση	koloskopi
κολοσσιαίος	kolossal
κολοσσός	koloss
κολοφώνιο	kolofonium
κολυμβητής	simmare
κολυμπώ	simma
κολχόζ	kolchos
κολόνα	kolonn
κολόνια	eau-de-cologne
κομάντο	kommandosoldat
κομήτης	komet
κομητεία	grevskap
κομμάτι	stycke
κομματιάζω	strimla
κομμουνίστρια	kommunist
κομμουνισμός	kommunism
κομμουνιστής	kommunist
κομμουνιστικός	kommunistisk
κομμωτής	frisör
κομμώτρια	hårfrisörska
κομοδίνο	sängbord
κομπάζω	skryta
κομπαστής	skrytmåns
κομπιουτεράκι	kalkylator
κομπιουτεράς	nörd
κομπλέ	kostym
κομπογιαννίτης	kvacksalvare
κομπρεσέρ	tryckluftsborr
κομπόστ	kompost
κομπόστα	kompott
κομψός	prydlig
κομψότητα	elegans
κονβόι	konvoj
κονεσέρ	konnässör
κονιάκ	konjak
κονσέρβα	konservburk
κονσερβοποιώ	konservera
κονσερτίνα	concertina
κονστρουκτιβισμός	konstruktivism
κοντά	när
κοντάρι	stav
κοντινός	i närheten
κοντομάνικος	kortärmad
κοντοτιέρος	kondottiär
κοντραμπάσο	kontrabas
κοντός	kort
κοπάδι	hjord
κοπάζω	lägga sig
κοπερνίκιο	copernicium
κοπιράιτ	upphovsrätt
κοπρίζω	gödsla
κοπρίτης	byracka
κοπτήρας	framtand
κοράκι	korp
κοράλλι	korall
κορίτσι	flicka
κορδέλα	band
κορδόνι	sladd
κορεατικά	koreansk
κορεατικός	koreansk
κορεννύω	mätta
κορεσμός	mättnad
κορινθιακός	korintisk
κοριτσάκι	tulta
κοριτσίστικος	tjejig
κοριός	vägglus
κορμοράνος	storskarv
κορμός	stam
κορνάρω	tuta
κορνφλάουρ	majsstärkelse
κορομηλιά	körsbärsplommon
κορονοϊός	coronavirus
κοροϊδία	raljeri
κοροϊδεύω	efterapa
κορούνδιο	korund
κορσές	korsett
κορσικανικά	korsikansk
κορσικανικός	korsikansk
κορυδαλλός	lärka
κορυφή	spets
κορυφή του παγόβουνου	toppen av ett isberg
κορυφαίος	ledande
κορωνίδα	kornisch
κορόμηλο	körsbärsplommon
κοσκινίζω	sikta
κοσμήτορας	dekan
κοσμηματοπώλης	juvelerare
κοσμικός	sekulär
κοσμογονία	kosmogoni
κοσμοδρόμιο	kosmodrom
κοσμοθεωρία	världsåskådning
κοσμολογία	kosmologi
κοσμοναύτης	kosmonaut
κοσμοσυρροή	mängd
κοστίζω	kosta
κοστούμι	kostym
κοτέτσι	hönshus
κοτλέ	manchester
κοτολέτα	kotlett
κοτοπουλάκι	kyckling
κοτσάνι	stjälk
κοτσίδα	fläta
κοτυληδόνα	hjärtblad
κοτόπουλο	kyckling
κουάρκ	kvark
κουίζ	frågesport
κουαρτέτο	kvartett
κουβάρι	nystan
κουβάς	hink
κουβέντα	samtal
κουβέρτα	filt
κουβεντούλα	konversation
κουδουνίζω	låta
κουδούνι	skälla
κουζίνα	kök
κουζινομάχαιρο	kökskniv
κουκί	bondböna
κουκλοπαίχτης	dockspelare
κουκουβάγια	uggla
κουκουνάρα	kotte
κουκούλα	huva
κουκούλι	puppa
κουκούτσι	kärna
κουλάκος	kulak
κουλούρι	kringla
κουλτούρα	kultur
κουμαριά	smultronträd
κουμκουάτ	kumquat
κουμπί	knapp
κουμπαράς	spargris
κουμπότρυπα	knapphål
κουνάβι	tamiller
κουνέλι	kanin
κουνιάδα	svägerska
κουνιάδος	svåger
κουνουπίδι	blomkål
κουνουπιέρα	myggnät
κουνούπι	mygga
κουνώ	svinga
κουπέ	kupé
κουπί	åra
κουπαστή	ledstång
κουράδα	bajskorv
κουράζω	trötta
κουρέας	barberare
κουρέλι	lapp
κουρασμένος	trött
κουρδικά	kurdiska
κουρδικός	kurdiska
κουρείο	frisersalong
κουρεύω	meja
κουρκουμάς	gurkmeja
κουρκούτι	smet
κουρούνα	kråka
κουρτίνα	gardin
κουσκούς	couscous
κουτάβι	valp
κουτάλα	slev
κουτάλι	sked
κουτί	dator
κουτορνίθι	dumbom
κουτσαίνω	halta
κουτσομπολεύω	skvallra
κουτσομπολιό	skvaller
κουτσομπόλης	skvallerkärring
κουτσός	lam
κουφαίνω	bedöva
κουφός	döv
κοφτερός	vass
κοχλίας	hörselsnäcka
κοχύλι	musselskal
κούκλα	docka
κούκος	gök
κούλης	kuli
κούνια	vagga
κούπα	hjärter
κούραση	trötthet
κούρεμα	klippning
κούρνια	sittpinne
κούτσουρο	stock
κούφιος	tom
κράμα	legering
κράμπα	kramp
κράνο	kornell
κράνος	hjälm
κράσπεδο	vägkant
κράτος	stat
κρέας	kött
κρέμα	fläter
κρέμομαι	hänga
κρίκετ	cricket
κρίμα	vara skada synd tråkig att
κρίνο	lilja
κρίση	kris
κρίση πανικού	panikattack
κρίσιμος	avgörande
κραγιόν	läppstift
κραδαίνω	svinga
κραδασμός	vibration
κραιπάλη	sedeslöshet
κρανίο	skalle
κρασί	vin
κρασοπότηρο	vinglas
κρατήρας	krater
κρατισμός	etatism
κρατούμενος	fängelseintern
κρατώ	hålla
κραυγή	skrik
κρεατοελιά	vårta
κρεατομηχανή	köttkvarn
κρεατοφάγος	rovdjur
κρεβάτι	bädd
κρεβατοκάμαρα	sovrum
κρεμ	gräddfärg
κρεμ ντε λα κρεμ	gräddan
κρεμάλα	galge
κρεμάστρα	galge
κρεμάω	hänga upp
κρεμμύδι	lök
κρεοπωλείο	slakteri
κρεοπώλης	slaktare
κρεσέντο	crescendo
κριάρι	bagge
κριθάρι	korn
κριθαράκι	risoni
κριμαϊκός	krimsk
κρινολίνο	krinolin
κριτήριο	kriterium
κριτική	kritik
κριτικός	kritiker
κριός	bagge
κροατικά	kroatiska
κροατικός	kroatisk
κροκάλα	kullersten
κροκοδείλια δάκρυα	krokodiltår
κροκόδειλος	krokodil
κροταλίας	näsgropsorm
κρουαζιέρα	kryssning
κρουασάν	croissant
κρουπιέρης	croupier
κρούστα	skorpa
κρυολόγημα	förkylning
κρυπτογραφία	kryptografi
κρυπτονόμισμα	kryptovaluta
κρυπτό	krypton
κρυστάλλωση	kristallisation
κρυσταλλοτρίοδος	transistor
κρυφακούω	tjuvlyssna
κρυφτό	kurragömma
κρωγμός	kraxande
κρόκος	krokus
κρόταφος	tinning
κρύβω	gömma
κρύο	köld
κρύος	kall
κρύπτη	krypta
κρύσταλλο	kristall
κρύσταλλος	kristall
κτήμα	egendom
κτίριο	byggnad
κτηματολόγιο	fastighetsregister
κτηνίατρος	veterinär
κτηνοβασία	tidelag
κτηνώδης	brutal
κτητικός	possessiv
κτλ.	och så vidare
κυάνιο	cyanid
κυανίδιο	cyanid
κυανός	blå
κυβέρνηση	regering
κυβίστηση	kullerbytta
κυβερνήτης	guvernör
κυβερνητική	kybernetik
κυβερνητικός	regerings-
κυβερνο-	cyber-
κυβερνοέγκλημα	cyberbrott
κυβερνοασφάλεια	cybersäkerhet
κυβερνοεπίθεση	cyberattack
κυβερνοχώρος	cyberrymd
κυβερνώ	regera
κυβικός	kubik-
κυβισμός	kubism
κυδωνιά	kvitten
κυδώνι	kvitten
κυκλάμινο	cyklamen
κυκλικός	cirkel
κυκλοφορία	trafik
κυκλοφορούν ενεργητικό	omsättningstillgång
κυκλώνας	cyklon
κυλινδρώνω	rulle
κυματίζω	försätta något i vågrörelse
κυματοθραύστης	vågbrytare
κυματομορφή	vågform
κυνήγι	jakt
κυνήγι μαγισσών	häxjakt
κυνηγός	jägare
κυνικός	cynisk
κυνισμός	cynism
κυοφορία	dräktighet
κυπαρίσσι	cypresser
κυπρίνος	karp
κυπριακός	cypriotisk
κυρία	fru
κυρίαρχος	suverän
κυριαρχία	suveränitet
κυριλλικός	kyrillisk
κυρτός	konvex
κυστεΐνη	cystein
κυστεοσκόπηση	cystoskopi
κυτταρίνη	cellulosa
κυτταρικός	cellulär
κυτταρινάση	cellulas
κυτταρολογία	cytologi
κυτταρόπλασμα	cytoplasma
κυψέλη	bikupa
κυψελίδα	alveol
κωδεΐνη	kodein
κωδικοποίηση	kodning
κωδικός	kod
κωδικός πρόσβασης	lösenord
κωδωνοκρούστης	klockringare
κωδωνοστάσιο	klocktorn
κωλοτούμπα	kullerbytta
κωλοτρυπίδα	arsle
κωλόφαρδος	lyckans ost
κωμωδία	komedi
κωνικός	konisk
κωπηλάτης	roddare
κωπηλατώ	ro
κωφάλαλος	dövstum
κωφός	döva
κόβω	hugga
κόκαλο	skohorn
κόκκινη κάρτα	rött kort
κόκκινο	röd
κόκκινος	röd
κόκκος	gryn
κόκορας	tupp
κόκπιτ	cockpit
κόλα	cola
κόλαση	helvete
κόλεϊ	collie
κόλιαντρος	koriander
κόλλα	lim
κόλον	grovtarm
κόλπο	fint
κόλπος	bukt
κόμβος	knop
κόμη	hår
κόμης	greve
κόμι	komi
κόμικς	tecknad serie
κόμισσα	grevinna
κόμμα	komma
κόμμωση	frisyr
κόμπος	knut
κόμπρα	kobra
κόνδορας	kondor
κόντρα	mot
κόπανος	klappbräda
κόρα	skorpa
κόρακας	kråka
κόρη	dotter
κόσα	lie
κόσκινο	såll
κόσμημα	juvel
κόσμος	värld
κόστος	kostnad
κότα	höna
κότερο	kutter
κότσος	knut
κότσυφας	koltrast
κόφτης	avbitartång
κόψη	egg
κόψιμο	giv
κύβος	kub
κύβος του Ρούμπικ	Rubiks kub
κύηση	graviditet
κύκλος	cykel
κύκλοτρο	cyklotron
κύκλωμα	krets
κύκνειο άσμα	svanesång
κύκνος	svan
κύλινδρος	cylinder
κύμα	bölja
κύμβαλο	bäcken
κύμινο	kummin
κύπελλο	pokal
κύριο όνομα	egennamn
κύριος	huvudsaklig
κύριος	herr
κύρος	pondus
κύρωση	sanktion
κύστη	cysta
κύτταρο	cell
κύψελος	tornseglare
κώδικας	balk
κώλος	röv
κώμα	koma
κώνος	kon
κώφωση	dövhet
λάβα	lava
λάβαρο	banderoll
λάγνος	liderlig
λάδι	olja
λάθος	fel
λάκα	lack
λάκκος	grop
λάμα	knivblad
λάμπα	lampa
λάπαθο	syra
λάρυγγας	struphuvud
λάσπη	lera
λάστιχο	däck
λάτρης	tillbedjare
λάχανο	kål
λέαινα	lejonhona
λέβητας	panna
λέιζερ	laser
λέκτορας	föreläsare
λέμφος	lymfa
λέμφωμα	lymfom
λέξη	ord
λέξημα	lexem
λέπι	flaga
λέπρα	lepra
λέσχη	klubb
λέω	säga
λέω τα σύκα σύκα και τη σκάφη σκάφη	en spade är en spade
λήθαργος	letargi
λήθη	glömska
λήμμα	uppslagsord
λίβρα	pund
λίγο	lite
λίγος	få
λίθιο	litium
λίμα	fil
λίμνη	sjö
λίμπερο	libero
λίπασμα	dynga
λίπος	fett
λίρα	pund
λίστα	lista
λίτρο	liter
λαίδη	fru
λαβή	hjalt
λαβράκι	havsabborre
λαβύρινθος	labyrint
λαγνεία	begär
λαγωνικό	hund
λαγός	hare
λαδόκολλα	bakplåtspapper
λαδώνω	olja
λαζάνια	lasagneplatta
λαθρέμπορος	smugglare
λαθρεμπόριο	smuggling
λαθρεπιβάτης	fripassagerare
λαθροθηρία	tjuvjakt
λαθρομετανάστης	illegal invandrare
λαιμαργία	frosseri
λαιμοδέτης	slips
λαιμός	hals
λακές	lakej
λακκάκι	skrattgrop
λακκούβα	potthål
λακτόζη	laktos
λακωνικός	lakonisk
λαλιά	röst
λαμαρίνα	plåt
λαμβάνω	erhålla
λαμπερός	lysande
λαμπρυντικό	spolglans
λαμπρός	intelligent
λαμπύρισμα	skimmer
λανθάνιο	lantan
λανθάνων	fördröjning
λανθασμένος	felaktig
λαογραφία	folklore
λαούτο	luta
λαπαροσκόπηση	laparoskopi
λαρδί	ister
λασπωτήρας	framskärm
λατέρνα	positiv
λατίνι	latinsegel
λατινικά	latin
λατινικό αλφάβητο	Latinska alfabetet
λατινικός	latinsk
λατιφούντιο	latifundium
λατομείο	brott
λατρεία	dyrkan
λαχαίνω	utlotta
λαχανιάζω	flämta
λαχανικό	grönsak
λαχανόκηπος	köksträdgård
λαχείο	lott
λαχτάρα	längtan
λαχταρώ	längta
λαϊκή αγορά	loppis
λαϊκή δημοκρατία	folkrepublik
λαϊκιστής	populist
λαϊκιστικός	populist
λαϊκός	populär
λαός	folk
λείος	glatt
λείπω	sakna
λεβάντα	lavendel
λεγεωνάριος	legionär
λεγεώνα	legion
λεγόμενος	så kallad
λεηλατώ	plundra
λειαίνω	glätta
λειτουργία	liturgi
λειτουργικό σύστημα	operativsystem
λειτουργικός	fungerande
λειτουργικότητα	funktionalitet
λειτουργισμός	funktionalism
λειτουργός	statstjänsteman
λειτουργώ	fungera
λειχήνα	lav
λειψυδρία	vattenbrist
λειψός	ofullständig
λεκ	lek
λεκάνη	bäcken
λεκάνη απορροής	avrinningsområde
λεκές	fläck
λεμονί	citron
λεμονιά	citron
λεμφαγγείο	lymfkärl
λεμφικό σύστημα	lymfatiskt system
λεμφοκύτταρο	lymfocyt
λεμόνι	citron
λενινισμός	leninism
λεξικογράφος	lexikograf
λεξικογραφία	lexikografi
λεξικό	ordbok
λεξιλόγιο	ordförråd
λεξιπλασία	tillfällig ordbildning
λεοπάρδαλη	leopard
λεπίδα	blad
λεπρός	spetälsk
λεπτοδείκτης	minutvisare
λεπτομέρεια	detalj
λεπτομερής	detaljerad
λεπτό	minut
λεπτό έντερο	tunntarm
λεπτόνιο	lepton
λεπτός	tunn
λερώνω	fläcka
λεσβία	flata
λετονικός	lettisk
λευκίνη	leucin
λευκαίνω	bleka
λευκαντικό	blekmedel
λευκορωσικά	vitryska
λευκορωσικός	vitrysk
λευκό	vit
λευκό αιμοσφαίριο	leukocyt
λευκός	vit
λευκόχρυσος	platina
λευχαιμία	leukemi
λεφτά	pengar
λεχώνα	barnsängskvinna
λεωφορείο	buss
λεωφορειογραμμή	busslinje
λεωφόρος	aveny
λεύκα	popplar
ληξιαρχείο	folkbokföring
ληστής	rånare
ληστεύω	råna
λιάζομαι	sola
λιάνα	lian
λιανεμπόριο	detaljhandel
λιανική	detaljhandel
λιβάδι	äng
λιβάνι	virak
λιβελούλα	trollslända
λιβερμόριο	livermorium
λιγκατούρα	ligatur
λιγνίτης	brunkol
λιγοστεύω	minska
λιγούστρο	liguster
λιγότερο	mindre
λιθάνθρακας	stenkol
λιθοβολώ	stena
λιθογραφία	litografi
λιθοξόος	stenhuggare
λιθοτριψία	stenkrossning
λιθουανικά	litauiska
λιθουανικός	litauisk
λιθόσφαιρα	litosfär
λιθώνας	morän
λικέρ	likör
λιλά	lila
λιμάνι	hamn
λιμάρω	fila
λιμενοβραχίονας	pir
λιμνάζω	stagnera
λιμνοθάλασσα	lagun
λιμνόβιος	limnisk
λιμνόμετρο	pegel
λιμουζίνα	limousin
λιμπίζομαι	önska
λιμός	hungersnöd
λινάρι	lin
λιναρόσπορος	linfrö
λιντσάρω	lyncha
λιοντάρι	lejon
λιονταράκι	lejonunge
λιονταρίνα	lejoninna
λιπαίνω	smörja
λιπαντικό	glid
λιπαρός	fet
λιποαναρρόφηση	fettsugning
λιποθυμία	svimning
λιποθυμώ	svimma
λιποπρωτεΐνη	lipoprotein
λιποτάκτης	desertör
λιποτακτώ	desertera
λιποταξία	desertering
λιπώδης	fett-
λιτανεία	litania
λιτότητα	stränghet
λιώνω	smälta
λοίμωξη	smitta
λοβοτομή	lobotomi
λοβός	lob
λογάριθμος	logaritm
λογαριασμός	räkning
λογική	logik
λογικολόγος	logiker
λογισμικό	mjukvara
λογισμός	analys
λογιστής	bokhållare
λογιστική	bokföring
λογοδιάρροια	logorré
λογοδοσμένος	fästman
λογοκλοπή	plagiat
λογοκλοπώ	plagiera
λογοκρισία	censur
λογοτεχνία	litteratur
λογόρροια	logorré
λογότυπο	logga
λοιπόν	så
λοκντάουν	nedstängning
λομβαρδικά	lombardiska
λομπίστας	lobbyist
λονδρέζικος	Londons
λοξοδρομία	loxodromlinje
λοξοκοιτάζω	skela
λοξός	sned
λοστρόμος	båtsman
λοστός	kofot
λοταρία	lotteri
λουθηρανισμός	lutheranism
λουθηρανός	lutheran
λουκάνικο	korv
λουκέτο	hänglås
λουκούμι	marmeladkonfekt
λουλούδι	blomma
λουξ	lux
λουξεμβουργιανά	luxemburgiska
λουρί	koppel
λουσέρνα	oljelampa
λουστράρω	polera
λουτήτιο	lutetium
λουτζ	rodel
λουτρό	badrum
λουτρώνας	badhus
λοχίας	sergeant
λοχαγός	befälhavare
λούγαρο	grönsiska
λούζω	schamponera
λούμεν	lumen
λούνα παρκ	nöjesfält
λούπινο	lupin
λούστρος	skoputsare
λυγίζω	kröka
λυγαριά	korgvide
λυγμός	snyft
λυκάκι	vargunge
λυκάνθρωπος	varulv
λυκόπουλο	vargunge
λυκόφως	halvdager
λυπάμαι	beklaga
λυπώ	bedröva
λυσίνη	lysin
λυσιτελής	ändamålsenlig
λυτρισμικό	utpressningsprogram
λυχνάρι	oljelampa
λωρένσιο	lawrencium
λωρίδα	fil
λωτός	kakiträd
λόγιος	lärd
λόγιος	forskare
λόγος	förnuft
λόγχη	spjut
λόγω	av
λόξιγκας	hicka
λόφος	backe
λόχμη	busksnår
λύγκας	lodjur
λύκαινα	varginna
λύκειο	gymnasie
λύκος	varg
λύπη	sorg
λύρα	lyra
λύση	lösning
λύσσα	rabies
λύτρα	lösensumma
μ.Χ.	e.Kr.
μάγειρας	kock
μάγισσα	häxa
μάγμα	magma
μάγος	trollgubbe
μάγουλο	kind
μάζα	massa
μάθημα	lektion
μάθηση	lärdom
μάλλον	hellre
μάμπο	mambo
μάνγκο	mango
μάννα	manna
μάντης	orakel
μάντρα	mantra
μάραθο	fänkål
μάργα	märgel
μάρκα	bricka
μάρμαρο	marmor
μάρσιπος	pung
μάρτυρας	martyr
μάσα	käk
μάσκα	mask
μάστορας	mästare
μάταια	förgäves
μάταιος	fåfäng
μάτην	förgäves
μάτι	öga
μάτιασμα	onda ögat
μάτσο	packe
μάχη	slag
μέγαιρα	megära
μέγγενη	skruvstäd
μέγεθος	storlek
μέδουσα	manet
μέθη	rus
μέθοδος	metod
μέθυσος	fyllo
μέλι	honung
μέλισσα	bi
μέλλον	tillkommande
μέλλοντας	futurum
μέλλων	framtida
μέλος	medlem
μέντα	mynta
μέντορας	mentor
μένω	förbli
μέρα	dag
μέρισμα	dividend
μέρος	del
μέρος του λόγου	ordklass
μέσα	inne
μέση	halva
μέση γαλλική	medelfranska
μέσο μαζικής μεταφοράς	kollektivtrafik
μέσος	mellerst
μέσος	långfinger
μέταλλο	metall
μέτοχος	aktieägare
μέτριος	mellan
μέτρο	meter
μέτωπο	panna
μέχρι	till
μήκος	längd
μήλα	spökboll
μήλο	äpple
μήνας	månad
μήνας του μέλιτος	bröllopsresa
μήνιγγα	hjärnhinna
μήνυμα	budskap
μήτρα	livmoder
μίλι	mil
μίσος	avsky
μίσχος	stjälk
μίτρα	mitra
μίτωση	mitos
μα	vid
μαέστρος	dirigent
μαία	barnmorska
μαίανδρος	meander
μαγαζί	affär
μαγγάνιο	mangan
μαγεία	magi
μαγειρεύω	laga mat
μαγειρική	kök
μαγεύω	trolla
μαγιά	jäst
μαγικός	magisk
μαγιονέζα	majonnäs
μαγιό	baddräkt
μαγκούστα	mungo
μαγνήσιο	magnesium
μαγνήτης	magnet
μαγνητικό πεδίο	magnetfält
μαγνητικός	magnetisk
μαγνητισμός	magnetism
μαγνητόφωνο	bandspelare
μαδαροκέφαλος	skallig
μαζί	tillsammans
μαζεύω	samla
μαζικός αριθμός	masstal
μαζοχισμός	masochism
μαζοχιστής	masochist
μαζούρκα	masurka
μαθαίνω	lära
μαθηματικά	matematik
μαθηματικός	matematisk
μαθηματικός	matematiker
μαθητής	elev
μαθητευόμενος	lärling
μαιευτήριο	förlossningsavdelning
μαιευτική	obstetrik
μαικήνας	mecenat
μαινόμενος	rasande
μακάκος	makak
μακαρίτης	avliden
μακαρόνια	spagetti
μακεδονικός	makedonisk
μακελάρης	slaktare
μακιαβελικός	machiavellisk
μακιγιάζ	smink
μακράν	i särklass
μακριά	långt
μακρινός	avlägsen
μακρομόριο	makromolekyl
μακροοικονομία	makroekonomi
μακροπρόθεσμος	långsiktig
μακρύς	lång
μαλάκας	idiot
μαλάκιο	blötdjur
μαλαγιάλαμ	malajiska
μαλακός	mjuk
μαλαχίτης	malakit
μαλαϊκά	malajisk
μαλγασικά	malagassiska
μαλλί	ull
μαλλιά	hår
μαλτέζικα	maltesiska
μαλτέζικος	maltesisk
μαμά	mamma
μαμή	barnmorska
μαμούθ	mammut
μανάβης	grönsakshandlare
μανάβικο	grönsaksaffär
μανάτος	manat
μανία	mani
μανίκι	ärm
μανδαλωτής	låskrets
μανδαρίνος	mandarin
μανδύας	mantel
μανιέρα	sätt
μανιακός	maniker
μανιασμένος	förbannad
μανιερισμός	manierism
μανιτάρι	svamp
μανιφέστο	manifest
μανιχαϊσμός	manikeism
μανιώδης	nörd
μανούλα	mamma
