έξ	ex
ισλαμολογία	islamologie
ισλαμοφοβία	islamophobie
ισλανδικός	islandais
ισοβαρής καμπύλη	isobare
ισογώνιος	équiangle
ισοδυναμία	équivalence
ισοδυναμώ	équivaloir
ισοδύναμος	équivalent
ισοθερμία	isothermie
ισολογισμός	bilan
ισομερής	isomérique
ισομετρία	isométrie
ισοπέδωση	aplatissement
ισοπαλία	match nul
ισοπεδωτικός	nivellement
ισοπεδώνω	niveler
ισοπρένιο	isoprène
ισορροπία	équilibre
ισορροπίστρια	équilibriste
ισορροπημένος	équilibré
ισορροπιστής	équilibriste
ισορροπώ	équilibrer
ισοσκελής	isocèle
ισοσκελίζω	équilibrer
ισοστάθμιση	équilibration
ισοσταθμίζω	balancer
ισοστασία	isostasie
ισοτιμία	parité
ισοτονικός	isotonique
ισοτροπία	isotropie
ισοφαρίζω	égaliser
ισοχρονισμός	isochronisme
ισούμαι	égaler
ισπανικά	espagnol
ισπανικός	espagnol
ισραηλινός	israélien
ιστίο	voile
ισταμίνη	histamine
ιστιοπλοΐα	voile
ιστιοπλοϊκό	voilier
ιστιοσανίδα	planche à voile
ιστιοφόρο	voilier
ιστογράφος	blogueur
ιστολογία	histologie
ιστολογικός	histologique
ιστολογιόσφαιρα	blogosphère
ιστολυσία	histolysie
ιστολυτικός	histolytique
ιστολόγιο	blog
ιστολόγος	blogueur
ιστοπαθολογία	histopathologie
ιστορία	histoire
ιστορικά	historiquement
ιστορικό	historique
ιστορικός	historique
ιστορικός	historien
ιστορικότητα	historicité
ιστοριοφοβία	historiophobie
ιστοσελίδα	page Web
ιστοτομία	histotomie
ιστοχώρος	site
ιστόγραμμα	plan du site
ιστός	tissu
ιστότοπος	site
ισχίο	hanche
ισχαιμία	ischémie
ισχαιμικός	ischémique
ισχιαλγία	sciatique
ισχνός	maigre
ισχνότητα	faiblesse
ισχυρίζομαι	prétendre
ισχυρισμός	allégation
ισχυροποιώ	fortifier
ισχυρός	puissant
ισχυρότερος	plus fort
ισχύς	puissance
ισόβιος	perpétuel
ισόθερμος	isotherme
ισόπαλος	match
ισόπλευρος	équilatéral
ισότητα	égalité
ισότοπο	isotope
ιταλικά	italien
ιταλικός	italien
ιταλομανία	italomanie
ιταμός	effronté
ιταμότητα	effronterie
ιταμώς	effrontément
ιτιά	saule
ιχθυάλευρο	farine
ιχθυέλαιο	huile de poisson
ιχθυαγορά	marché aux poissons
ιχθυοβόρος	piscivore
ιχθυοειδής	ichtyoïde
ιχθυοκαλλιέργεια	pisciculture
ιχθυολογία	ichtyologie
ιχθυολογικός	ichtyologique
ιχθυομαντεία	ichthyomancie
ιχθυοπωλείο	poissonnerie
ιχθυοπώλης	poissonnier
ιχθυοτροφία	pisciculture
ιχθυοτροφείο	ferme
ιχθυοφάγος	ichtyophage
ιχθυοφαγία	ichtyophagie
ιχθυόεις	poissonneux
ιχθυόλη	ichtyol
ιχθυόσαυρος	ichtyosaure
ιχθυόσκαλα	criée
ιχνηλάτης	détective
ιχνηλατώ	filature
ιχνογραφία	dessin
ιχνογραφικός	ichnographique
ιχνολογία	ichnologie
ιχώρ	ichor
ιωβηλαίο	jubilé
ιωδισμός	iodisme
ιωνικός	ionien
ιόν	ion
ιόνιος	ionique
ιός	virus
ιώδιο	iode
ιώτα	iota
κ.λπ.	etc.
κ.ο.κ.	ainsi
κάβα	cellier
κάβος	amarre
κάβουρας	crabe
κάγκελο	balustrade
κάδμιο	cadmium
κάδος	conteneur
κάδρο	cadre
κάζο	aléa
κάθαρμα	canaille
κάθαρση	catharsis
κάθε	chaque
κάθειρξη	emprisonnement
κάθετα	perpendiculairement
κάθετος	perpendiculaire
κάθημαι	siiger
κάθιδρος	sueur
κάθισμα	siège
κάθοδος	descente
κάθομαι	s'asseoir
κάιζερ	Kaiser
κάκτος	cactus
κάλαντα	noëls
κάλιο	potassium
κάλλιο πέντε και στο χέρι παρά δέκα και καρτέρει	un tiens vaut mieux que deux tu l’auras
κάλλιστα	parfaitement
κάλλος	beauté
κάλος	cor
κάλπη	urne
κάλπικος	factice
κάλτσα	chaussette
κάλυκας	calice
κάλυμμα	couverture
κάμα	canicule
κάμαρα	chambre
κάμαρη	chambre
κάματος	fatigue
κάμερα	caméra
κάμερα οπισθοπορίας	caméra de recul
κάμπια	chenille
κάμπιγκ	camping
κάμπος	champ
κάμψη	pompe
κάμωμα	acte
κάνναβη	cannabis
κάννη	canon
κάνω	faire
κάπα	kappa
κάπελας	caviste
κάπηλος	spéculateur
κάπνισμα	fumer
κάποιος	quelqu'un
κάποτε	autrefois
κάπου	quelque part
κάππαρη	câpre
κάπως	assez
κάρβουνο	charbon
κάρδαμο	cardamome
κάρι	curry
κάρμα	karma
κάρο	carriole
κάρτα	carte
κάρτιγκ	karting
κάρωση	léthargie
κάσα	huisserie
κάσκα	casque
κάστα	caste
κάστανο	châtaigne
κάστορας	castor
κάστρο	château
κάταγμα	fracture
κάτεργο	bagne
κάτι	quelque chose
κάτισχνος	décharné
κάτοικος	habitant
κάτοπτρο	miroir
κάτουρο	pipi
κάτοχος	dépositaire
κάτοψη	dessus
κάτω	sous
κάτωθι	ci-dessous
κάτωχρος	pâle
κάψα	ardeur
κάψουλα	capsule
κέδρος	cèdre
κέικ	quatre-quarts
κέιτερινγκ	catering
κέλευσμα	ordre
κέλυφος	coque
κέντρο	centre
κέρασμα	régal
κέρατο	corne
κέρβερος	cerbère
κέρδος	profit
κέρινος	cireux
κέρμα	jeton
κέτσαπ	ketchup
κέτσουα	quechua
κέφαλος	mulet
κέφι	bonne humeur
κήπος	jardin
κήρυγμα	sermon
κήρυξη	proclamation
κήτος	cétacé
κίνδυνος	danger
κίνημα	mouvement
κίνηση	mouvement
κίνητρο	mobile
κίονας	colonne
κίρρωση	cirrhose
κίσσα	geai
κίστος	ciste
κίτρινη κάρτα	carton jaune
κίτρινο	jaune
κίτρινος	jaune
κίτρο	cédrat
κα	Mᵐᵉ
καΐκι	caïque
καίρια	dangereusement
καίριος	crucial
καίσιο	césium
καίτοι	bien que
καίω	brûler
καβάλα	à califourchon
καβάτζα	réserve
καβαλάρης	cavalier
καβαλέτο	tréteau
καβαλιέρος	cavalier
καβαλισμός	cabalisme
καβαλιστής	cabaliste
καβαλιστικά	cabalistiquement
καβαλιστικός	cabalistique
καβαλώ	chevaucher
καβγάς	dispute
καβγαδίζω	se disputer
καβγατζής	querelleur
καβγατζού	querelleuse
καβουράκι	borsalino
καβούκι	carapace
καβυλικά	kabyle
καβύλος	kabyle
καγιάκ	kayak
καγκελάριος	chancelier
καγκελαρία	chancellerie
καγκουρό	kangourou
καδράρω	cadrer
καδρόνι	poutre
καζάνι	chaudron
καζάντι	bénéfice
καζίνο	casino
καζακικά	kazakh
καζαμίας	almanach
καζανάκι	chasse d'eau
καζεΐνη	caséine
καζουιστικός	casuistique
καζούρα	chahut
καημένος	pauvre
καημός	chagrin
καθάρισμα	nettoiement
καθέκαστα	détails
καθήκον	devoir
καθήλωση	immobilisation
καθίζηση	affaissement
καθίσταμαι	devenir
καθαίρεση	dépossession
καθαιρώ	déposer
καθαρά	clairement
καθαρή συνάρτηση	fonction pure
καθαρίζω	nettoyer
καθαρίστρια	femme
καθαρευουσιάνος	puriste
καθαρεύουσα	katharévousa
καθαρισμός	nettoyage
καθαριστήριο	pressing
καθαριστής	homme
καθαριότητα	propreté
καθαρτήριο	purgatoire
καθαρτικό	laxatif
καθαρός	propre
καθαυτό	parler
καθεδρικός	cathédral
καθεστώς	régime
καθετήρας	cathéter
καθετί	tout
καθηγήτρια	professeure
καθηγεσία	professorat
καθηγητής	professeur
καθηγητικός	professoral
καθηλωμένος	cloué
καθηλώνω	clouer
καθημερινά	quotidiennement
καθημερινός	journalier
καθημερινότητα	quotidienneté
καθησυχάζω	rassurer
καθησυχαστικός	rassurant
καθιέρωση	adoption
καθιερωθείς	établi
καθιερωμένος	établi
καθιερώνω	établir
καθισιό	pause
καθιστικό	(salle de) séjour
καθιστικός	sédentaire
καθιστώ	rendre
καθοίκι	pot de chambre
καθοδήγηση	direction
καθοδηγητής	dirigeant
καθοδηγητικός	directif
καθοδηγώ	guider
καθοδικός	cathodique
καθολικισμός	catholicisme
καθολικός	catholique
καθολικότητα	universalité
καθορίζω	déterminer
καθορισμένος	convenu
καθοριστικός	décisif
καθοσίωση	lèse-majesté
καθρέφτης	miroir
καθρέφτισμα	réflexion
καθρεφτάδικο	miroiterie
καθρεφτίζομαι	mirer
καθρεφτίζω	refléter
καθυποτάσσω	assujettir
καθυστέρηση	retard
καθυστερημένος	attardé
καθυστερώ	retarder
καθωσπρέπει	comme il faut
καθόλου	du tout
καθόσον	en tant que
καθώς	comme
και	et
και αν	même si
καιάδας	Céadas
καινοζωικός	Cénozoïque
καινοτομία	innovation
καινοτομώ	innover
καινοτόμος	innovant
καινοφανής	moderne
καινούριος	nouveau
καινός	nouveau
καιροσκοπισμός	opportunisme
καιροσκοπώ	temporiser
καιροσκόπος	opportuniste
καιρός	temps
καισαρική τομή	césarienne
καισαρικός	césarien
καισαροβασιλικός	impérial-royal
κακά	caca
κακάο	cacao
κακάσχημος	affreux
κακί	kaki
κακία	méchanceté
κακαρίζω	caqueter
κακεργέτης	maléfique
κακοήθης	malin
κακοαναθρεμμένος	mal élevé
κακογλωσσεύω	être mauvaise langue
κακογραμμένος	illisible (style)
κακοδιαθεσία	indisposition
κακοδιαχείριση	gestion
κακοδοξία	hérésie
κακοκαιρία	intempérie
κακολογία	calomnie
κακολογώ	calomnier
κακομαθαίνω	gâter
κακομαθημένος	gâté
κακομελετώ	appréhender
κακομεταχειρίζομαι	abuser
κακομοίρης	pauvre
κακομοίρικος	misérable
κακομοιριά	infortune
κακομούτσουνος	gueule
κακοπερνάω	difficiles
κακοπιστία	foi
κακοποίηση	abus
κακοποιός	maléfique
κακοποιός	apache
κακοποιώ	maltraiter
κακοπροαίρετος	malicieux
κακορίζικος	infortuné
κακοσμία	mauvaise odeur
κακοτεχνία	malfaçon
κακοτοπιά	dangereux
κακοτράχαλος	accidenté
κακοτυχία	malchance
κακουχία	épreuves
κακοφωνία	cacophonie
κακοχρονίζω	maudire
κακούργημα	forfait
κακούργος	criminel
κακτοειδές	cactacée
κακόβουλος	malintentionné
κακόγλωσσος	mauvaise langue
κακόδοξος	hérétique
κακόκεφος	humeur
κακόμοιρος	infortuné
κακόπιστος	foi
κακός	mauvais
κακότροπος	impoli
κακότυχος	malencontreux
κακόφημος	malfamé
καλά	bien
καλά Χριστούγεννα	joyeux Noël
καλάθι	panier
καλάμι	se croire sorti de la cuisse de Jupiter
καλέμι	burin
καλένδες	calendes
καλές τέχνες	beaux arts
καλή όρεξη	bon appétit
καλαθάς	vannier
καλαθοποιός	vannier
καλαθοσφαιρίστρια	basketteuse
καλαθούνα	couffin
καλαμάκι	paille
καλαμάρι	calmar
καλαμένιος	roseau
καλαμίνη	calamine
καλαμιά	roseau
καλαμιώνας	roselière
καλαμπόκι	maïs
καλαμπόρτζος	charlatan
καλαντάρι	calendrier
καλαπόδι	embauchoir
καλαφατίζω	calfater
καλβινίστρια	calviniste
καλειδοσκοπικός	caléidoscopique
καλειδοσκόπιο	kaléidoscope
καλεσμένος	invité
καλημέρα	bonjour
καλημερίζω	bonjour
καληνυχτίζω	bonne
καληνύχτα	bonne nuit
καλησπέρα	bonsoir
καλησπερίζω	bonsoir
καλιφόρνιο	californium
καλλίγραμμος	corps
καλλίκνημος	bien jambé
καλλίνικος	victorieux
καλλίπυγος	callipyge
καλλιέργεια	culture
καλλιγράφος	calligraphe
καλλιγραφία	calligraphie
καλλιγραφικός	calligraphique
καλλιεργήσιμος	cultivable
καλλιεργήτρια	cultivatrice
καλλιεργημένος	cultivé
καλλιεργητικός	cultural
καλλιεργώ	cultiver
καλλιστήμονας	callistemon
καλλιστεία	beauté
καλλιτέχνης	artiste
καλλιτεχνικά	artistement
καλλιτεχνικός	artistique
καλλονή	beauté
καλλυντικό	beauté
καλλωπίζω	embellir
καλλωπισμός	décoration
καλλωπιστικός	ornemental
καλμάρω	calmer
καλντέρα	caldera
καλντερίμι	rue
καλντεριμιτζού	michetonneuse
καλοήθης	bénin
καλοβλέπω	avoir
καλογερική	vie monastique
καλογρίτσα	castagnole noire
καλογραμμένος	bien tourné
καλοκάγαθος	débonnaire
καλοκάθομαι	se prélasser
καλοκαίρι	été
καλοκαιρία	beau temps
καλοκαιριάτικα	été
καλοκαιρινός	estival
καλοκαρδίζω	faire
καλοκοιτάζω	lorgner
καλομαθαίνω	choyer
καλοξυρισμένος	frais
καλοπέφτω	bien
καλοπαντρεύομαι	beau
καλοπερασάκιας	bon vivant
καλοπερνάω	agréables
καλοπιάνω	amadouer
καλοπροαίρετος	bienveillant
καλοριφέρ	radiateur
καλοστεκούμενος	aisé
καλοσυνάτος	aimable
καλοσύνη	bonté
καλοταϊσμένος	bien nourri
καλούμαι	appelé
καλπάζω	galoper
καλπάζων	galopant
καλπασμός	galop
καλπονοθεία	fraude electoral
καλτσοδέτα	jarretière
καλτσόν	collant
καλυκοποιείο	cartoucherie
καλυμμένος	couvert
καλυτέρευση	amélioration
καλυτερεύω	améliorer
καλωδιώνω	câbler
καλωσορίζω	souhaiter la bienvenue
καλωσορίσατε	bienvenue
καλωσόρισμα	bienvenue
καλό	bien
καλό ταξίδι	bon voyage
καλόβολος	accomodant
καλόγερος	furoncle
καλόκαρδος	de bon cœur
καλός	bon
καλύβα	hutte
καλύπτω	couvrir
καλύτερα	mieux
καλύτερος	meilleur
καλώ	appeler
καλώδιο	câble
καμάκι	harpon
καμάρα	voûte
καμάρι	fierté
καμέλια	camélia
καμένος	brûlé
καμήλα	chameau
καμία	aucune
καμίνι	four
καμακώνω	harponner
καμαρίνι	loge
καμαριέρα	femme de chambre
καμαρωτά	fièrement
καμαρότος	cabine
καμαρώνω	être fier de
καμβάς	canevas
καμεραλισμός	caméralisme
καμηλιέρης	chamelier
καμηλιέρισσα	chamelière
καμηλοπάρδαλη	girafe
καμηλό	camelot
καμικάζι	kamikaze
καμινάδα	cheminée
καμιόνι	camion
καμουφλάζ	camouflage
καμουφλάρω	camoufler
καμπάνα	patte d'éléphant
καμπάνια	campagne
καμπή	tournant
καμπίνα	cabine
καμπανάκι	alarme
καμπαναριό	clocher
καμπανοειδής	campaniforme
καμπαρέ	cabaret
καμπαρντίνα	gabardine
καμπουριάζω	se courber
καμπούκι	kabuki
καμπούρα	bosse
καμπούρης	bossu
καμπριολέ	cabriolet
καμπτήρας	fléchisseur
καμπυλογράφος	curvigraphe
καμπυλόγραμμος	curviligne
καμπυλότητα	courbure
καμπυλώνω	courber
καμπύλη	courbe
καμπύλος	courbé
καμτσίκι	chambrière
καμφορά	camphre
καμωμένος	fait
κανάγιας	canaille
κανάλι	chaîne
κανάτα	pichet
κανέλα	cannelle
κανένας	personne
κανίβαλος	cannibale
καναδικός	canadien
κανακεύω	cajoler
καναντέρ	canadair
καναπές	canapé
καναρίνι	canari
καναρινί	canari
κανθαριδίνη	cantharidine
κανθός	canthus
κανιβαλισμός	cannibalisme
κανιστροειδής	corbiculé
κανκάν	cancan
κανναβούρι	chènevis
κανοΐστας	céiste
κανονικοποίηση	normalisation
κανονικός	normal
κανονικότητα	normalité
κανονιοβολισμός	canonnade
κανονιοβολώ	bombarder
κανονιοφόρος	canonnière
κανονισμένος	arrangé
κανονισμός	règlement
κανονιστικός	normatif
καντάτα	cantate
καντήλα	ampoule
καντίνα	cantine
καντιανός	kantien
καντράν	cadran
καντρίλια	quadrille
καντόν	cantonais
καντόνι	canton
κανό	canot
κανόνας	règle
κανόνι	bombe
καουτσούκ	caoutchouc
καούρα	brûlure
καπάκι	couvercle
καπάρο	arrhes
καπάτσος	capable
καπέλο	chapeau
καπίκι	kopeck
καπίστρι	bride
καπελάρισμα	capelage
καπελάρω	capeler
καπελάς	chapelier
καπετάνιος	capitaine
καπηλεία	trafic
καπηλειό	taverne
καπιταλίστρια	capitaliste
καπιταλισμός	capitalisme
καπιταλιστής	capitaliste
καπιταλιστικός	capitaliste
καπιτονέ	capitonné
καπλαμάς	Furnier
καπλαντίζω	recouvrir
καπνίζω	fumer
καπνίστρια	fumeuse
καπνεργάτης	ouvrier
καπνιά	suie
καπνιστήρι	enfumoir
καπνιστήριο	fumoir
καπνιστής	fumeur
καπνιστός	fumé
καπνογόνο	fumigène
καπνογόνος	fumigène
καπνοδοχοκαθαριστής	ramoneur
καπνοδόχος	cheminée
καπνοθάλαμος	boîte à fumée
καπνομαντεία	capnomancie
καπνός	fumée
καποτάστο	capodastre
καπούλι	croupe
καπρίτσιο	caprice
καπό	capot
καράβι	bateau
καράτε	karaté
καράφα	carafe
καρέ	carré
καρέκλα	chaise
καρίκωμα	raccommodage
καρίνα	quille
καραβάνι	caravane
καραβέλα	caravelle
καραβίδα	écrevisse
καραβοκύρης	armateur
καραδοκώ	guetter
καρακάξα	pie
καρακόλι	police militaire
καραμέλα	bonbon
καραμέλωση	caramélisation
καραμελωμένος	caramélisé
καραμελώνω	caraméliser
καραμπίνα	carabine
καραμπινάτος	carabiné
καραμπόλα	carambolage
καραντίνα	quarantaine
καραούλι	garde
καρατέκα	karatéka
καρατομώ	décapiter
καραφάκι	pichet
καραφλιάζω	chauve
καρβέλι	miche
καρβονικό οξύ	acide carboxylique
καρβουναριό	soute à charbon
καρδίτιδα	cardite
καρδερίνα	chardonneret
καρδιά	coeur
καρδιαγγειακός	cardio-vasculaire
καρδιακός	cardiaque
καρδιαλγία	cardialgie
καρδινάλιος	Cardinal
καρδιοαγγειακός	cardiovasculaire
καρδιογράφημα	cardiogramme
καρδιογράφος	cardiographe
καρδιογραφία	cardiographie
καρδιολογία	cardiologie
καρδιολογικός	cardiologique
καρδιολόγος	cardiologue
καρδιομεγαλία	cardiomégalie
καρδιοπάθεια	cardiopathie
καρδιοπαλμός	pulsation
καρδιοπνευμονικός	cardiopulmonaire
καρδιοτονωτικός	cardiotonique
καρδιοχειρουργική	cardiochirurgie
καρδιοχειρουργός	cardiochirurgien
καρεκλάς	rempailleur
καρεκλοπόδαρο	il pleut des cordes
καριέρα	carrière
καριερίστας	carriériste
καριερισμός	carriérisme
καρικατουρίστας	caricaturiste
καρικατούρα	caricature
καρικώνω	bâtir
καριόλα	putain
καρκίνος	cancer
καρκίνωμα	carcinome
καρκίνωση	cancérisation
καρκινικός	cancéreux
καρκινογόνος	cancérigène
καρκινοειδές	carcinoïde
καρκινοειδής	carcinoïde
καρκινολογία	cancérologie
καρκινολόγος	cancérologue
καρκινοπαθής	cancéreux
καρκινωματώδης	cancéreux
καρκινόλυση	carcinolyse
καρμίνη	carmine
καρμίρης	avare
καρμικός	karmique
καρμπιρατέρ	carburateur
καρμπονάρα	carbonara
καρμπόν	papier carbone
καρνάγιο	chantier naval
καρνέ	carnet
καρναβάλι	carnaval
καρντέ	cardé
καροσερί	carrosserie
καροτσάκι	caddie
καρουζέλ	carrousel
καρπέτα	carpette
καρπαζιά	baffe
καρπερός	fertile
καρποκάψα	carpocapse
καρποφάγος	frugivore
καρποφορώ	fructifier
καρποφόρος	fructifère
καρπούζι	pastèque
καρπός	poignet
καρπώνομαι	jouir
καρστικός	karstique
καρτ	kart
καρτ ποστάλ	carte postale
καρτέλ	cartel
καρτέλα	carte
καρτέρι	embuscade
καρτερία	endurance
καρτερικός	résigné
καρτερώ	attendre
καρτεσιανισμός	cartésianisme
καρτούν	caricature
καρυάτιδα	cariatide
καρυδένιος	noyer
καρυδιά	noyer
καρυδότσουφλο	coquille
καρυκεύω	épicer
καρυοθραύστης	casse-noisette
καρυότυπος	caryotype
καρφί	clou
καρφίτσα	épingle
καρφιτσοθήκη	pique-aiguille
καρφιτσώνω	épingler
καρφώνω	clouer
καρχαρίας	requin
καρωτίδα	carotide
καρότο	carotte
καρότσα	carrosse
καρύδα	noix de coco
καρύδι	noix
καρύκευμα	condiment
κασέ	cachet
κασέλα	caisse
κασέρι	kasséri
κασέτα	cassette
κασίδα	favus
κασετίνα	trousse
κασετόφωνο	lecteur de cassette
κασκέτο	casquette
κασκαντέρ	cascadeur
κασκόλ	écharpe
κασμάς	crétin
κασμίρ	cachemire
κασμιρικά	cachemiri
κασονάκι	caissette
κασουάριο	casoar
κασσίτερος	étain
καστανιά	châtaignier
καστανιέτα	castagnette
καστανός	châtain
καστελάνος	châtelain
καστορέλαιο	huile de ricin
κασόνι	caisse
κατ' επέκταση	extension
κατ' ουσίαν	en substance
κατά	pendant
κατά κόρον	ad nauseam
κατά μέτωπο επίθεση	attaque frontale
κατά νου	tête
κατά το μάλλον ή ήττον	approximativement
κατάβαση	descente
κατάγομαι	originaire
κατάδειξη	démonstration
κατάδηλος	manifeste
κατάδικος	condamné
κατάδοση	délation
κατάδυση	plongée sous-marine
κατάθεση	déposition
κατάθλιψη	dépression
κατάκαρδα	à cœur
κατάκαυση	incinération
κατάκοιτος	grabataire
κατάκοπος	exténué
κατάκτηση	conquête
κατάλευκος	tout blanc
κατάληξη	terminaison
κατάληψη	occupation
κατάλληλα	adéquatement
κατάλληλος	appropprié
κατάλογος	catalogue
κατάλοιπο	vestige
κατάλυμα	gîte
κατάμαυρος	noir
κατάμεστος	bondé
κατάντια	dèche
κατάνυξη	recueillement
κατάπαυση	cessation
κατάπλασμα	cataplasme
κατάπληκτος	surpris
κατάπληξη	étonnement
κατάπλους	arrivée
κατάπνιξη	étouffement
κατάποση	ingestion
κατάπτυστος	abject
κατάρα	malédiction
κατάργηση	abolition
κατάρρευση	effondrement
κατάρριψη	abat
κατάρτι	mât
κατάρτιση	formation
κατάσβεση	extinction
κατάσκοπος	espion
κατάσταση	état
κατάσταση πολιορκίας	état de siège
κατάστημα	magasin
κατάστιχο	registre
κατάστρωμα	pont
κατάσχεση	confiscation
κατάσχομαι	confisqué
κατάσχω	confisquer
κατάταξη	classement
κατάτμηση	fractionnement
κατάφαση	affirmation
κατάφυτος	verdoyant
κατάφωρος	flagrant
κατάχαμα	par terre
κατάχλομος	blême
κατάχρηση	abus
κατάψυξη	compartiment
κατέβασμα	descendre
κατέχω	posséder
κατέχων	possédant
κατήγορος	accusateur
κατήφεια	morosité
κατήφορος	descente
κατήχηση	endoctrinement
καταβάλλω	épuiser
καταβεβλημένος	abattu
καταβολάδα	marcotte
καταβολή	origine
καταβολιάζω	marcotter
καταβολισμός	catabolisme
καταβρέχω	asperger
καταβρεχτήρας	arroseuse
καταβροχθίζω	engloutir
καταβυθίζω	saborder
καταβύθιση	submersion
καταγάλανος	tout bleu
καταγίνομαι	s'occuper
καταγγέλλω	dénoncer
καταγγέλλων	dénonciateur
καταγγελία	accusation
καταγράφομαι	être transcrit
καταγράφω	enregistrer
καταγραφέας	transcripteur
καταγραφή	inventaire
καταγραφικός	transcription
καταγωγή	origine
καταγώγιο	tripot
καταδέχομαι	daigner
καταδίδω	dénoncer
καταδίκη	condamnation
καταδίωξη	persécution
καταδεικνύω	démontrer
καταδεκτικός	affable
καταδικάζω	condamner
καταδικασθείς	condamné
καταδικασμένος	condamné
καταδικαστέος	condamnable
καταδιωγμένος	persécuté
καταδιωγμός	persécution
καταδιώκω	poursuivre
καταδολίευση	fraude
καταδολιευτικός	frauduleux
καταδρομέας	commando
καταδρομή	raid
καταδρομικό	croiseur
καταδυναστεύω	opprimer
καταδότης	délateur
καταδότρια	rapporteuse
καταδύομαι	plonger
καταζητώ	poursuivre
καταθέτω	déposer
καταθλίβω	déprimer
καταθλιμμένος	déprimé
καταθλιπτικός	déprimant
καταιγίδα	orage
καταιγιστικός	intense
κατακάθι	dépôt
κατακάθομαι	décanter
κατακέφαλα	pleine
κατακεραυνώνω	foudroyer
κατακερματίζω	démanteler
κατακερματισμός	fragmentation
κατακλυσμιαίος	cataclysmique
κατακλυσμός	déluge
κατακλύζω	envahir
κατακρίνω	critiquer
κατακραυγάζω	désapprouver
κατακραυγή	clameur
κατακρεουργώ	charcuter
κατακριτέος	condamnable
κατακτήτρια	conquérante
κατακτητής	conquérant
κατακτώ	conquérir
κατακυρώνω	adjuger
κατακόκκινος	complètement rouge
κατακόρυφα	flèche
κατακόρυφος	vertical
καταλάγιασμα	apaisement
καταλήγω	aboutir
καταλαβαίνω	comprendre
καταλαγιάζω	apaiser
καταλαμβάνω	occuper
καταλανικά	catalan
καταλανικός	catalan
καταληκτικός	final
καταληπτικός	cataleptique
καταληπτός	compréhensible
καταλογίζω	imputer
καταλογισμός	imputation
καταλογιστό	imputabilité
καταλογιστός	imputable
καταλυτής	catalyseur
καταλυτικά	catalytiquement
καταλυτικός	catalytique
καταλύτης	catalyseur
καταλύω	abolir
καταμαράν	catamaran
καταμερίζω	répartition
καταμερισμός	partage
καταμεσήμερο	midi
κατανάλωση	consommation
κατανέμω	distribuer
καταναγκασμός	contrainte
καταναγκαστικός	coercitif
καταναλωτής	consommateur
καταναλωτικός	consommation
καταναλωτισμός	consumérisme
καταναλώνω	consommer
καταναλώτρια	consommatrice
κατανοητός	compréhensible
κατανομή	distribution
κατανοώ	comprendre
καταντώ	finir
κατανόηση	compréhension
καταξίωση	reconnaissance
καταπάτηση	empiétement
καταπέλτης	catapulte
καταπέφτω	tomber
καταπίεση	oppression
καταπίνω	avaler
καταπίστευση	fidéicommis
καταπακτή	trappe
καταπατώ	empiéter
καταπιάνομαι	s'atteler
καταπιέζω	oppresser
καταπιεσμένος	opprimé
καταπιεστής	oppresseur
καταπιεστικός	oppressant
καταπλέω	escale
καταπλήσσω	surprendre
καταπληκτικά	étonnamment
καταπληκτικός	chouette
καταπληξία	cataplexie
καταπνίγω	étouffer
καταπολέμηση	lutte
καταπολεμώ	combattre
καταποντίζω	abîmer
καταπονώ	surmener
καταπόνηση	surmenage
καταραμένος	maudit
καταργώ	abolir
καταριέμαι	maudire
καταρράκτης	cataracte
καταρρέων	croulant
καταρρίπτω	abattre
καταρρακτώδης	torrentiel
καταρρακώνω	abattre
καταρροή	catarrhe
καταρτίζω	former
καταρχήν	en principe
κατασήμανση	désignation
κατασβήνω	éteindre
κατασκήνωση	camp
κατασκευάζω	construire
κατασκευάστρια	fabricante
κατασκευή	construction
κατασκευασμένος	fabriqué
κατασκευαστής	fabricant
κατασκευαστικός	construction
κατασκεύασμα	construction
κατασκηνωτής	campeur
κατασκηνώνω	camper
κατασκηνώτρια	campeuse
κατασκοπεία	espionnage
κατασκοπευτικός	espion
κατασκοπεύω	espionner
κατασπαράζω	déchiqueter
καταστάλαγμα	dépôt
καταστέλλω	réprimer
κατασταλαγμένος	décidé
κατασταλτικός	répressif
καταστατικό	statut
καταστηματάρχης	boutiquier
καταστολή	répression
καταστρέφομαι	se ruiner
καταστρέφω	détruire
καταστρατηγώ	enfreindre
καταστρεπτικός	catastrophique
καταστρεπτικότητα	destructivité
καταστροφέας	destructeur
καταστροφή	catastrophe
καταστροφικά	désastreusement
καταστροφικός	désastreux
καταστροφολογία	catastrophisme
καταστρώνω	élaborer
κατασχεμένος	saisi
κατατάσσω	classer
κατατείνω	tendre
κατατεθείς	déposé
κατατεμαχίζω	morceller
κατατονία	catatonie
κατατοπίζω	guider
κατατοπιστικός	informatif
κατατρέχω	harceler
κατατρεγμένος	persécuté
κατατρεγμός	persécution
κατατροπώνω	fuite
κατατρύχω	tourmenter
κατατόπι	alentours
κατατόπιση	orientation
καταυλισμός	camp
καταφέρνω	réussir
καταφανής	manifeste
καταφατικά	affirmativement
καταφατικός	affirmatif
καταφερτζής	débrouillard
καταφερτζού	débrouillarde
καταφθάνω	arriver
καταφορά	invective
καταφρονητικά	péjorativement
καταφρονητικός	péjoratif
καταφρόνηση	mépris
καταφύγιο	abri
καταχείμωνο	hiver
καταχθόνιος	infernal
καταχνιά	brouillard
καταχρηστικά	excessivement
καταχρηστικός	abusif
