ABC	abc
canopy	baldaquin
cap	casquette
capable	apte à
cape	cap
caper	gambader
capital	capital
capital letter	majuscule
caprice	caprice
captain	capitaine
capture	attraper
car	auto
carbon	carbone
card	carte
cardboard	carton
cardiac	cordial
care	avoir soin de
careful	prudent
careless	négligent
carelessness	négligence
caress	caresser
caressing	tendre
care about	se soucier de
care for	guérir
carnation	œillet
carp	carpe
carpet	tapis
carp at	chicaner
carriage	wagon
carrot	carotte
carry	porter
carry away	entraîner
cart	char
carve	buriner
case	affaire
cashier	trésorier
cashier's stand	caisse
casserole	casserole
cassette	cassette
cast	fondre
castle	château
cast off	précipiter
cat	mégère
catarrh	rhume
catastrophe	catastrophe
catch	s'allumer
category	catégorie
catering	ravitaillement
caterpillar	chenille
cathedral	cathédrale
cauldron	chaudron
cauliflower	chou‐fleur
cause	faire
cause to take place	causer
caution	alerter
cautious	prudent
cavalier	chevalier
cave	grotte
cavity	creux
caw	croasser
cease	cesser
ceaselessly	continuellement
cedar	cèdre
cede	abandonner
ceiling	plafond
celebrate	célébrer
celebration	fête
celebrity	star
celery	céleri
cell	cachot
cellar	cave
cello	violoncelle
cement	ciment
cemetery	cimetière
censor	censurer
censure	critiquer
centennial	siècle
centipede	myriapode
centre	centre
century	siècle
ceremonious	solennel
ceremony	cérémonie
certain	assuré
certainly	assurément
certainty	assurance
certificate	acte
cession	abandon
chain	chaîne
chair	chaise
chairman	président
chalk	craie
challenge	contester
chamber	chambre
chamois	chamois
champagne	champagne
champion	champion
chance	accidentel
change	changer
change of address	changement d'adresse
channel	canal
chanson	chanson
chaos	chaos
chap	individu
chaperon	accompagnatrice
chaplain	aumônier
chapter	chapitre
character	caractère
charge	accusation
chariot	char
charitable	sensible
charity	aumône
charlatan	charlatan
charm	amulette
charming	charmant
chase	amener à
chase away	renvoyer
chasm	abîme
chaste	chaste
chat	babil
chatter	babiller
chatterbox	babillard
chauffeur	chauffeur
cheat	tricher
cheated	déçu
check	réprimer
check up on	surveiller
cheek	joue
cheerful	gai
cheers	à la vôtre
cheese	fromage
chef	chef
chemist	apothicaire
chemistry	chimie
chemist's shop	pharmacie
cheque	chèque
cherry‐tree	cerisier
cherry	cerise
chess	échec
chest	poitrine
chestnut‐tree	châtaignier
chestnut	châtaigne
chew	mâcher
chewing‐gum	chewing‐gum
chew the cud	ruminer
chick	poussin
chicken	poulet
chief	dominant
chiefly	principalement
child	enfant
childbed	lit d'accouchement
chilly	froid
chimera	chimère
chin	menton
chirp	gazouiller
chisel	buriner
chive	ciboulette
chlorine	chlore
chocolate	chocolat
choice	choix
choke	étouffer
cholera	choléra
choose	adopter
chop	hacher
chord	accord
chorus	chœur
chrestomathy	anthologie
christen	baptiser
christening	baptême
chromium	chrome
chuck	caresser
chunk	boule
chunk of wood	bûche
church‐building	église
church	église
churn	baratter
cider	cidre
cigar	cigare
cigarette	cigarette
cinder	cendre
cinema	cinéma
cipher	chiffre
circle	cercle
circular	circulaire
circulate	circuler
circulation	circulation
circumflex	accent circonflexe
circumstance	circonstance
circumstances	situation
circumvent	circuler
circus	cirque
cistern	citerne
citation	citation
cite	citer
citizen	citoyen
city	cité
city hall	hôtel de ville
civil	civil
civilian	civil
claim	aspirer à
clamp	parenthèse
clap	applaudir
clarify	développer
clarion	clairon
clasp	agrafer
class	classe
classic	classique
classical	classique
claw	griffe
clay	argile
clean	pur
cleanliness	propreté
cleanly cut	net
cleanse	affinier
clear	clair
clergyman	abbé
clever	adroit
click	claquer
client	acheteur
cliff	falaise
climate	climat
climb	gravir
climber	alpiniste
clip	couper avec des ciseaux
cloak	manteau
cloakroom	vestiaire
clock	horloge
clod	boule
clog	boucher
close	fermer
closet	armoire
cloth	linge
clothe	habiller
clothes	vêtements
clothing	vêtements
cloud	brouiller
clown	clown
club	club
cluster	grappe
clutch	agripper
co‐	ensemble
coach	entraîner
coal	charbon
coarse	grossier
coast	bord
coat	paletot
cobra	cobra
cock	bitte
cockroach	blatte
cocoa	cacao
cod	morue
coddle	choyer
codfish	morue
coffee‐house	café
coffee‐pot	cafetière
coffee	café
coffin	cercueil
cognac	cognac
coherent	cohérent
coil	bobine
coincide	coïncider
coir	chœur
cold	froid
collar	col
colleague	collègue
collect	collectionner
collection	bande
collide with	aborder
collision	choc
colonel	colonel
colonial	colonial
colony	colonie
colossal	énorme
colour‐blind	daltonnien
colour	couleur
columbine	ancolie
column	colonne
comb	peigner
come	provenir
comet	comète
come about	devenir
come across	rencontrer
come back	revenir
come close	s'approcher
come closer	s'approcher
come on	s'approcher
come together	s'accoupler
come to an agreement	se mettre d'accord
come to an end	finir
come to a halt	s'arrêter
comfort	confort
comfortable	confortable
comfortably	agréablement
comforter	sucette
comic	comique
comical	comique
comma	virgule
command	commandement
commence	aborder
commencement	début
commend	glorifier
commerce	commerce
commercial‐at sign	colimaçon
commission	commission
committee	comité
commit adultery	tromper
commit aggression	agresser
commit suicide	se suicider
commodity	article
common	commun
commonplace	banal
commotion	agitation
communicate	communiquer
communication‐cord	frein de secours
communication	communication
communicative	abordable
communion	communion
community	commune
commute	aiguiller
companian	accompagnateur
companion	camarade
company	compagnie
compare	comparer
comparison	comparaison
compartment	domaine
compass	boussole
compassion	apitoiement
compatible	correspondant
compel	imposer
compensate	compenser
compete	concourir
competent	compétent
competition	concours
complain	porter plainte
complaint	accusation
complete	complet
completely	complètement
complexion	teint
complicate	compliquer
compliment	compliment
compose	se résoudre à
composing	montage
composition	composition
composure	repos
comprise	contenir
compulsory	obligatoire
computer	ordinateur
comrade	camarade
conceal	cacher
conceited	frivole
conceive	concevoir
concentrated	dense
concern	importance
concerned	concerné
concerning	concernant
concert	concert
concise	concis
conclude	se résoudre à
conclusion	résultat
concord	accord
concrete	béton
concurrence	accord
condemn	condamner
condition	condition
condom	condom
conduct	guider
conduct oneself	se conduire
cone	pomme de pin
confectioner's	pâtisserie
confectioner's shop	pâtisserie
confess	avouer
confession	aveu
confide	confier
confidence	foi
confine	limiter
confirm	confirmer
confiscate	confisquer
conflagration	incendie
conflict	conflit
conform	concorder
conforming	conforme
confront	affronter
confuse	confondre
confusion	désordre
congenital	inné
congentital	inné
congestion	afflux
congratulate	féliciter
congregate	réunir
congress	congrès
congruent	correspondant
conjecture	conjecturer
connect	allier
connected	cohérent
connection	ligue
connect up	aboucher
conquer	conquérir
conscience	conscience
conscious	conscient
consciousness	connaissance
consecutively	de suite
consent	admettre
consequence	aboutissement
consequently	ensuite
conservation	garde
conserve	conserver
consider	considérer
considerable	considérable
consignee	destinataire
consist	consister
consistency	aboutissement
consistent	cohérent
consist of	être composé de
consolation	consolation
console	consoler
constant	continuel
constantly	continuellement
consternation	stupéfaction
constringent	astringent
construct	bâtir
consulate	consulat
consult	consulter
consume	consommer
consumer	consommateur
contact	s'aboucher avec
contain	contenir
container	bac
contemplate	contempler
contented	content
contention	assertion
contents	contenu
contest	concours
continent	continent
contingent	éventuel
continual	continuel
continually	continuellement
continuation	suite
continue	continuer
continuous	continuel
continuously	continuellement
contort	tordre
contralto	alto
contralto voice	alto
contrary	contradictoire
contribute	contribuer
control	commandement
control oneself	se surveiller
controversy	polémique
convenient	commode
convention	congrès
conversation	conversation
converse	intervenir
conversion	transformation
convert	convertir
conviction	conviction
convince	convaincre
cook	cuire
cookie	biscuit
coop	poulailler
coping	arête
copious	abondant
copper	cuivre
copulation	accouplement
copy	copier
coquettish	coquet
cord	corde
cordial	cordial
core	centre
cork	liège
corkscrew	tire‐bouchon
cormorant	cormoran
corn	maïs
corner	accaparer
cornflower	barbeau
corpse	cadavre
corpulent	épais
correct	corriger
correspond	correspondre
corridor	corridor
corroborate	confirmer
corrugate	onduler
cosmetic powder	poudre
cosmos	cosmos
cost	coûter
costly	cher
costume	complet
cotton‐wool	ouate
cotton	coton
couch‐grass	chiendent
couch	canapé
cougar	puma
cough	tousser
counsel	avocat
counsellor	conseilleur
count	comte
counting‐frame	abaque
countless	incalculable
country	campagne
countryman	paysan
countryside	campagne
count down	retrancher
count in	additionner
couple	couple
coupon	coupon
coupé	compartiment
courage	abattage
courageous	courageux
courgette	courgette
courier	courrier
course	piste
court	faire la cour
courteous	courtois
courtyard	cour
cousin	cousine
cover	couvrir
covetousness	avidité
cow	vache
coward	peureux
cowardice	faiblesse
cower	être accroupi
cow parsnip	berce
coyote	coyote
crab	crabe
crack	craquer
crane	grue
crane's‐bill	géranium
crash into	aborder
crawl	ramper
crayfish	écrevisse
craziness	aberration
crazy	aberrant
creak	grincer
cream	crème
crease	froisser
create	créer
creature	créature
credential	lettre de créance
creep	ramper
cricket	grillon
crime	crime
crippled	infirme
crisis	crise
criticize	critiquer
croak	croasser
crockery set	service
crocodile	crocodile
cross	croiser
crossways	en largeur
cross out	barrer
crouch	être accroupi
crow	corbeau
crowbar	levier
crowd	amas
crown	couronner
crucifix	crucifix
crude	brut
cruel	atroce
cruise	croiser
crumb	miette
crumble	froisser
crush	foule
cry	cri
crystal	cristal
cry down	abaisser
cry out	crier
cube	cube
cubic	cubain
cuckoo	coucou
cucumber	concombre
cuddlesome	tendre
cuddly	tendre
cuff	manchette
cult	culte
cultivate	cultiver
cultivation	culture
culture	culture
cultured	cultivé
cunning	artificieux
cunt	chatte
cup	tasse
cupboard	armoire
cure	guérir
curiosity	curiosité
curious	curieux
curl	coiffer
currant	groseille
currant bush	groseillier
current	actuel
currently	actuellement
curry	panser
curse	blasphémer
curtail	abréger
curtailment	abaissement
curtain	rideau
curved	courbe
cushion	coussin
cuss	blasphémer
custom	coutume
customary	accoutumé
customer	client
customs	douane
cut	faucher
cutlet	côtelette
cut into	entamer
cut off	abattre
cut up	abaisser
cycle	bécane
cyclone	cyclone
cylinder	cylindre
cylinder phonograph	phonographe
cynical	cynique
cypres	cyprès
dad	papa
daddy	papa
daffodil	narcisse
dahlia	dahlia
daily	journalier
daily paper	journal
dainty	aimable
daisy	pâquerette
damage	avarie
dame	demoiselle noble
dampen	abreuver
dance	bal
dandelion	pissenlit
danger	danger
dangerous	dangereux
dare	aventurer
dare to fight	oser attaquer
daring	audacieux
dark‐room	cabinet noir
dark	foncé
darken	foncer
darkness	obscurité
dash‐board	lambris
data	matériau
date	datte
daughter	fille
dawn	aurore
day	jour
daybreak	aube
daydream	rêver éveillé
dazzle	aveugler
dead‐end street	impasse
dead‐nettle	lamier
deadly	meurtrier
deaf	sourd
deaf and dumb	sourd‐muet
deal	dispenser
deal in secondhand goods	vendre d'occasion
deal with	aborder
dear	cher
death	mort
death throes	abois
debate	débat
debauch	bamboucher
debauchery	noce
debit	débit
debris	abattis
debt	dette
decay	abaissement
decayed	caduc
deceive	tricher
deceived	déçu
decent	convenable
decently	convenablement
decide	décider
decision‐making	parti
decision	décision
deck	pont
declaration	déclaration
declaration of policy	programme
declare	déclarer
decline	diminuer
decorate	décorer
decoration	décor
decoy	attirer
decrease	abaissement
decrepit	caduc
dedicate	consacrer
deduce	déduire
deduct	prélever
deem	croire
deep	profond
deer	cerf
defeat	abattre
defecate	aller à la selle
defence	défense
defend	défendre
defendant	accusé
defense	défense
defiantly	en dépit de
defile	col
define	définer
definite	définitif
definitely	absolument
definitive	définitif
defraud	frauder
defy	provoquer
degenerate	s'abâtardir
degree	degré
delay	ajourner
delegate	déléguer
delete	effacer
deliberately	exprès
delicacy	friandise
delicate	délicat
delicious	savoureux
delight	enchanter
delightful	délicieux
delight in	jouir
delirium	transport
deliver	fournir
delivery	remise
delta	delta
demand	abattement
democrat	démocrate
demolish	abaisser
demonstrate	démontrer
demonstration	manifestation
den	nid
denounce	accuser
dense	dense
dentist	dentiste
deny	nier
deny oneself	agir avec abnégation
depart	partir
department	domaine
departure	départ
depend	dépendre
dependent	subordonné
deportment	procédé
deposit	déposer
depress	abattre
depression	crise
deprive	dépouiller
deprive ... of	dépouiller
depth	profondeur
deputy	député
derive	dériver
derrick	grue
descend	s'abaisser
descent	descente
describe	décrire
description	description
descry	s'apercevoir
desert	désert
deserve	mériter
design	dessiner
desire	désirer
desk	pupitre
desolate	morne
despair	désespérer
despise	dédaigner
despite	malgré
dessert	dessert
destine	destiner
destine for	réserver pour
destiny	destination
destroy	abîmer
destruction	annihilation
detachment	commando
detail	détail
detain	réprimer
detention	arrestation
determine	déterminer
develop	entraîner des conséquences
device	appareil
devil	diable
devote	consacrer
devoted	affectueux
dew	rosée
dexterous	adroit
diagram	figure
dial	disque
dialect	dialecte
dialogue	dialogue
diamond	diamant
diarrhoea	diarrhée
dictate	dicter
dictator	dictateur
dictionary	dictionnaire
die	décéder
diet	diète
differ	différer
difference	différence
different	différent
differently	autrement
difficult	difficile
dig	creuser
digest	digérer
digit	chiffre
dignified	digne
dignity	dignité
dig up	abattre
dilapidated	caduc
diligent	appliqué
dim	obscur
dimension	ampleur
diminish	s'abaisser
diminutive	petit
dining‐room	réfectoire
dinner	déjeuner
dip	tremper
diploma	acte
direct	diriger
direction	direction
directions	instruction
directly	debout
director	directeur
dirty	sale
disabled person	infirme
disadvantage	inconvénient
disappear	disparaître
disappearance	disparition
disappoint	tromper
disappointment	déception
disapprove	repousser
disapprove of	repousser
disc	disque
discharge	partir
disciple	disciple
disciples	adhérents
discipline	discipline
discontented	mécontent
discount	rabais
discover	découvrir
discovery	découverte
discrete	discret
discretion	précaution
discuss	débattre
discussion	discussion
disease	infirmité
disembark	débarquer
dish	met
dishevel	ébouriffer
dish cloth	torchon
disintegrate	disperser
diskette	disquette
dislike	antipathie
dismal	banal
dismay	abasourdir
dismiss	licencier
disobedient	désobéissant
disorder	désordre
dispatch	déposer
disperse	dissiper
display	parader
displeased	mécontent
dispose of	vendre
disposition	aptitude
dispute	se disputer
disquiet	brouiller
dissatisfied	mécontent
dissect	sectionner
dissemble	agir en hypocrite
disseminate	parsemer
dissipation	noce
dissolve	résoudre
dissymmetric	asymétrique
distance	distance
distant	loin
distinct	clair
distinction	distinction
distinguish	dégager
distract	distraire
distraction	amusement
distress	attrister
distribute	dispenser
distribution	répandre
district	arrondissement
distrust	se méfier
disturb	déranger
ditch	fossé
dive	plonger
diverse	divers
diversion	amusement
divert	distraire
divide	séparer
divine	divin
diving‐bell	cloche de plongée
divorce	divorce
do	construire
doctor	docteur
document	acte
doe	biche
dog	chien
dogma	dogme
doll	guignol
dollar	dollar
dolphin	dauphin
dome	voûte
domestic	aborigène
domestic animal	domestique
donate	faire cadeau
donkey‐driver	ânier
donkey	âne
don't mention it	cela ne fait rien
door	porte
dossier	dossier
dot	point
double	double
doubt	douter
doubtful	incertain
dough	pâte
dove	colombe
down	duvet
downstairs	dessous
down payment	acompte
dowry	don
dozen	douzaine
do away with	ôter
do something crooked	tricher
do the honours	recevoir officiellement
drag	tirer
dragonfly	libellule
drain	drainer
drake	canard mâle
dram	apéritif
drastic	énergique
draw	allécher
drawer	tiroir
drawers	caleçon
drawing	dessin
draw attention	signaler
draw back	retirer
draw lots	tirer au sort
draw out	répandre
draw up to the table	s'attabler
dreadful	affreux
dream	rêver éveillé
dreary	désert
dress‐coat	habit
dress	panser
dresser	commode
drift	dériver
drill	forer
drink	s'enivrer
drinkable	potable
drink to excess	s'enivrer
drip	goutte
drive	amener à
driver	chauffeur
drive away	renvoyer
drive on	amener à
drive out	répandre
drive shaft	arbre de transmission
drive through	faire accepter
driving axle	arbre de transmission
drizzle	bruine
drizzling rain	bruine
droop	pendre
drop	goutte
drop of water	goutte
drown	noyer
drug	remède
drugstore	pharmacie
drum	tambour
drunk	ivre
drunkenness	ivresse
dry	sec
dual	double
duchy	duché
duck	canard
duenna	accompagnatrice
dues	cotisation
dull	abêtir
dumb	muet
dummy	sucette
dump	verser
dung	excrément
dunning‐letter	lettre de relance
during	durant
dust	poussière
dust rag	torchon
dwarf	nain
dwell	demeurer
dwelling‐place‐residence	domicile
dwelling‐place	domicile
dwelling	demeure
dye	couleur
dynamite	dynamite
dyspepsia	dyspepsie
décor	décor
each	à
eager	avide
eagerness	avidité
eagle	aigle
eaglet	aiglon
ear	oreille
earl	comte
early	hâtif
earmark	destiner
earn	gagner
earnest	sérieux
earn back	rattraper
earth	terre
earthen	terrestre
earthly	terrestre
earthquake	séisme
earthworm	lombric
earth up	butter
easel	établi
easily	facilement
east	est
easy	facile
eat up	dévorer
echo	écho
economy	économie
edelweiss	edelweiss
edge	bord
edging	bord
edit	rédiger
editorial office	rédaction
educate	éduquer
educated	cultivé
education	instruction
eel	anguille
eelworm	anguillule
effect	effet
effort	démarche
egg	œuf
eggfruit	aubergine
eggplant	aubergine
eight	huit
eighteen	dix‐huit
eighty	quatre‐vingts
either ... or	soit ... soit
elastic	élastique
elbow	coude
elder	sureau
elect	adopter
election	choix
electric	électrique
electricity	électricité
electric fan	aérateur
electric plug	bouchon
electric socket	prise de courant
electron	électron
element	élément
elemental	primaire
elementary	primaire
elements	abc
elephant	éléphant
elevator	ascenseur
eleven	onze
eleventh	onzième
elf	lutin
elk	élan
elm	orme
eloquent	éloquent
else	autre
elsewhere	ailleurs
embarrassment	embarras
embassy	ambassade
embellish	embellir
embrace	embrasser
embroider	broder
emerge	paraître
emergency	crise
emigrate	se réfugier
emmet	fourmi
emotion	émotion
emperor	empereur
emphasis	emphase
emphasize	accentuer
empire	empire
employ	embaucher
employee	employé
employment exchange	bourse du travail
empty	vide
enchanter	sorcier
encounter	rencontrer
encourage	inciter
encyclopaedia	encyclopédie
end‐of‐the‐line	terminus
end	cesser
endeavour	se démener
ending	bout
endlessly	infiniment
endorse	virer
endure	continuer
end up	arriver
enemy	ennemi
energy	énergie
engagement	accordailles
engine	locomotive
engineer	ingénieur
engrave	graver
enigma	énigme
enjoy	être joyeux
enjoyable	agréable
enjoy oneself	se réjouir
enlarge	accroître
enlargement	accroissement
enlighten	illuminer
enormous	immense
enough	suffisant
entangle	empêtrer
enter	introduire
entertain	recevoir des visiteurs
entertaining	amusant
entertainment	amusement
enthusiasm	enthousiasme
entice	détourner
entire	entier
entirely	complètement
entrust	charger
entry	inscription
entrée	hors‐d'œuvre
envelope	enveloppe
environment	environnement
environs	abords
envisage	contempler
envy	envier
epoch	époque
equal	égal
equally	de même
equip	équiper
equivalent	équivalent
era	époque
eradicate	arracher
eraser	gomme
erect	fonder
erecting	montage
erotic	érotique
err	se tromper
errand	commission
erroneous	abusif
error	erreur
escape	échapper
escort	accompagnement
especially	surtout
essay	thèse
essential	essentiel
establish	fonder
estate	bien
esteem	apprécier
estimate	apprécier
etc.	etc.
etching	eau‐forte
eternal	éternel
ethos	ambiance
evade	éviter
even	plat
evening	soir
evening dress	habit
evening meal	dîner
event	événement
eventual	éventuel
ever	jadis
everlasting	infini
every	chaque
everybody	chacun
everyday	vulgaire
everyone's	à tout le monde
everything	tout
everywhere	partout
every kind of	tout
every one	chacun
evident	évident
evoke	rappeler
evolve	évoluer
ex‐	ancien
exact	exact
exactitude	exactitude
exactly	à l'heure
examination	examen
examine	examiner
example	exemple
excavate	abattre
exceed	dépasser
excellency	seigneurie
except	dispenser
except for	en outre
excess	excès
exchange	central
excise‐duty	droit de régie
excise	droit de régie
excite	exciter
excite pity	apitoyer
exciting	captivant
exclude	dispenser
exclusively	ne ... que
excommunication	anathème
excrement	excrément
excursion	excursion
excuse	dispenser
excuse me	je vous demande pardon
excuse oneself	s'excuser
execute	exécuter
exempt	dispenser
exercise‐book	cahier
exercise	exercer
exert	pratiquer
exhortation	observation
exile	banni
exist	exister
exit	issue
expect	attendre
expectation	attente
expel	renvoyer
expenses	dépense
expensive	cher
experienced	experimenté
experiment	essai
expert	experimenté
expertness	adresse
expire	finir
explain	expliquer
explode	exploser
exploit	exploiter
exploration	recherche
explore	examiner
express	répandre
expression	locution
expressway	autoroute
extend	ampleur
extension	suffixe
extensive	ample
exterior	aspect
exterminate	exterminer
extinguish	éteindre
extraordinary	extraordinaire
extreme	extrême
extremely	extrêmement
eye	œil
eyebrow	sourcil
eyelid	paupière
fable	fable
fabric	textile
fabricate	fabriquer
face‐ache	névralgie faciale
face	affronter
facile	facile
facilitate	faciliter
faction	parti
factory	fabrique
faculty	faculté
fade	pâlir
failure	banqueroute
faint	faible
fair	bazar
fairly	relativement
fairy	fée
fairy tale	conte
faith	foi
faithful	fidèle
falcon	faucon
fall	s'abattre
fall in love with	tomber amoureux de
falsify	falsifier
fame	renommée
family	famille
famous	célèbre
fan	souffler sur
fanatical	fanatique
fancier	amateur
fancy	imaginer
fantasy	fantaisie
far	loin
fare	aller
farewell	adieu
farm‐	agrarien
farm	bien
farmer	fermier
farmers' union	syndicat agricole
farming	agriculture
fart	péter
farther	plus loin
fascinating	passionnant
fashion	mode
fashionable	actuel
fast	jeûner
fasten	attacher
fat	épais
fate	destination
father	père
fatty	gras
faucet	robinet
favor	grâce
favorite	favori
favour	grâce
favourable	favorable
favourite	favori
façade	façade
fear	angoisse
feast	banqueter
feather	plume
feature	trait
federation	fédération
feed	alimenter
feeding‐bottle	biberon
feel	tâter
feeling	sentiment
feel sorry for	regretter
feldspar	feldspath
fellow‐creature	semblable
fellow‐thinker	ami
fellow	ensemble
felspar	feldspath
female	femelle
female admirer	admiratrice
female adorer	adoratrice
female ambassador	ambassadrice
female cook	cuisinière
female hairdresser	coiffeuse
female journalist	journaliste
female martyr	martyre
female relative	parente
female singer	chanteuse
female tailor	couturière
female teacher	institutrice
female worshipper	adoratrice
fence	barrière
fern	fougère
ferry	bac
fertile	fécond
fertilize	amender
fertilizer	engrais
fervor	ferveur
fervour	ferveur
festival	fête
fetch	amener
fetter	chaîne
fever	fièvre
fiancé	accordé
fiancée	accordée
fiasco	échec
fief	seigneurie
field	champ
field hospital	ambulance
fierce	féroce
fifteen	quinze
fifty	cinquante
fig‐tree	figuier
fig	figue
fight	batailler
figure	chiffre
file	dossier
filing card	fiche
fill	compléter
fill in	compléter
fill up	compléter
film	film
filter	filtrer
filthy	sale
fin	nageoire
finally	enfin
finance	finance
financial year	année financière
find	discerner
find oneself	se trouver
find out	s'informer
fine	beau
finger	doigt
finish	confectionner
finished	prêt
finish off	achever
fir	sapin
fire	partir
fireplace	cheminée
fire off	partir
firing	tir
firm	ferme
first	premier
firstly	au commencement
first aid	secours
first instalment	acompte
first name	prénom
first of all	au commencement
fish	pêcher
fisherman	pêcheur
fishing rod	canne
fist	poing
fit	adapter
fitting	convenable
fitting up	montage
fit out	garnir
fit together	coïncider
five	cinq
fix	adapter
fixed	fixe
fix up	accommoder
fjord	fiord
flag	drapeau
flame	flamber
flapper	adolescente
flare	ondoyer
flare up	ondoyer
flash on	s'allumer
flat‐iron	fer à repasser
flat	appartement
flatter	aduler
flavour	arôme
flax	lin
flea	puce
flee	échapper
fleet	flotte
flesh	chair
flexible	souple
flicker	scintiller
flight	fuite
flight engineer	mécanicien aéronautique
flight mechanic	mécanicien aéronautique
fling	agiter
fling off	précipiter
flint	silex
flirt	conter fleurette
flit	conter fleurette
float	flotter
flock	troupeau
flood	afflux
floor	étage
flounder	se débattre
flour	farine
flow	couler
flower	fleur
flow down	dégager
flow off	dégager
flu	grippe
fluff	duvet
fluid	flot
fluorine	fluor
flute	flûte
flutter	conter fleurette
fly	voler
foam	écume
fog	brouillard
fold	plier
folder	chemise
folk	peuple
follow	agir selon
followers	adhérents
following	adhérents
fondle	caresser
food	nourriture
fool	sot
foolish	abracadabrant
foot	patte
football	foot
for	durant
forbid	interdire
force	faire accepter
forecast	prédire
forefather	ancêtre
forehead	front
foreign	étranger
foreigner	étranger
foresee	prévoir
foreseeable	prévisible
forest	bois
foretell	prédire
foreward	en avant
foreword	préface
forge	forger
forget‐me‐not	myosotis
forget	oublier
forgive	excuser
fork	fourchette
forks, knives and spoons	couvert
form	former
former	précédent
formerly	auparavant
formidable	extraordinaire
formula	formule
formulate	formuler
forsake	abandonner
forswear	abjurer
fortress	bastille
fortunate	heureux
fortunately	heureusement
fortune	fortune
forty	quarante
forum	forum
for ... together	de suite
for a long time	longtemps
for every reason	pour toutes sortes de raisons
for example	par exemple
for instance	par exemple
for no reason	à cause de rien
for sake of	à cause de
for the greater part	pour la plus part
for the most part	pour la plus part
for the reason that	attendu que
for the rest	d'ailleurs
foster‐father	père adoptif
found	fonder
foundation	fondation
fountain‐pen	stylo
fountain	fontaine
fountain pen	stylo
four	quatre
fourteen	quatorze
fourteenth	quatorzième
fourth	quatrième
fowl	poule
fox	renard
foxglove	digitale
fraction	fraction
fracture	fracture
fragile	fragile
fragrant	aromatique
frame	cadre
framework	cadre
francium	francium
freedom	liberté
freemason	franc‐maçon
freeway	autoroute
freeze	geler
freezing cold	gel
frequent	fréquenter
frequently	beaucoup
fresh	frais
friend	amie
friendly	affable
friendship	amitié
fright	anxiété
frighten	redouter
frigid	froid
fringe	bord
frivolous	frivole
frog	grenouille
frolic	malin
frolicsome	malin
frolic about	gambader
from	de
from ... to	... à
front	front
frontage	front
frontier	frontière
frost	gel
froth	battre
fruit‐tree	fruitier
fruit	fruit
fruitful	fruitier
fry	frire
frying‐pan	poêle
frying pan	poêle
fuck	baiser
full‐grown	majeur
full	complet
fully	complètement
full of zeal	fervent
full payment	réglement
fume	exhalaison
fumy	délétère
fun	amusement
function	fonctionner
fund	fonds
fundamental	radical
funeral	enterrement
funk	peureux
funnel	entonnoir
funny	amusant
fur	fourrure
furious	furieux
furlough	permission
furnace	cuisinière
furnish	fournir
furniture	mobilier
furrow	rider
further	plus loin
furthermore	d'ailleurs
fur coat	fourrure
fur piece	fourrure
fuse	mèche
futile	abortif
future	futur
gadfly	taon
gag	badinage
gain	acquisition
gall	amer
gallant	brave
gallery	galerie
gallop	galoper
galosh	galoche
game	jeu
gang	bande
gaol	prison
gap	brèche
gape	badauder
gape at	regarder bouche bée
garage	garage
garbage can	poubelle
garden	jardin
gardener	jardinier
gardening	jardinage
gargle	rincer
garlic	ail
garlic bulb	tête d'ail
garment	habit
garnish	garnir
garret	mansarde
gas	gaz
gasolene	essence
gasoline	essence
gather	déduire
gathering	réunion
gaunt	angulaire
gawk	badauder
gay	gai
gazette	gazette
gee‐up	hop
gelding	cheval hongre
gendarme	gendarme
gene	gène
general	général
generally	en général
generalship	précaution
generate	engendrer
generation	génération
generous	généreux
genius	génie
gentle	doux
gentleman	monsieur
genuinely	en réalité
genuinly	en fait
geographer	géographe
geographic	géographique
geographical	géographique
geography	géographie
geological	géologique
geologist	géologue
geology	géologie
geometry	géométrie
geranium	géranium
germ	microbe
germinate	germer
gesture	geste
get‐at‐able	abordable
get	acquérir
get dressed	s'habiller
get in	monter
get into a car	monter
get lost	se perdre
get married	se marier
get mouldy	moisir
get off	s'abaisser
get out	descendre
get out of a car	descendre
get rid of	ôter
get tired	se fatiguer
get up	surgir
get used	s'accoutumer
ghastly	désagréable
ghost	apparition
gibbon	gibbon
gift	cadeau
gigantic	formidable
gild	dorer
gill	branchie
giraffe	girafe
gird	boucler
girder	poutre
girdle	ceinture
girl	fille
give	faire cadeau
give an account	rapporter
give an airing	aérer
give as an excuse	prétexter
give a ring	sonner
give birth	accoucher
give birth to	faire naître
give in	abandonner
give notice	annoncer
give off an odour	embaumer
give rise to	causer
give up	abandonner
give utterance to	répandre
give way	abandonner
glad	joyeux
gladiolus	glaïeul
gladness	allégresse
glamor	gloire
glamour	gloire
glass	verre
glasses	lunettes
glaze	vernis
glide	planer
globe	globe
gloomy	morne
glorify	glorifier
glorious	fameux
glory	gloire
glove	gant
glow	brûler
glow with heat	brûler
glue	coller
gnat	cousin
gnaw	ronger
gnome	gnome
gnu	gnou
go	aller
goal	but
goat	chèvre
goblet	coupe
goblin	gnome
god	dieu
godfather	parrain
gold	or
goldfinch	chardonneret
golf	golfe
good‐bye	adieu
good‐hearted	accommodant
good‐natured	affable
good	bon
goodbye‐	d'adieu
goodbye	adieu
good day	bonjour
good evening	bonsoir
good health	à la vôtre
good morning	bonjour
good night	bonne nuit
