ADN	DNA
chassie	çapak
chat	kedi
chat viverrin	balıkçı kedi
chat échaudé craint l’eau froide	sütten ağzı yanan yoğurdu üfleyerek yer
chatoiement	parıltı
chatte	kuku
chaud	sıcak
chauffeur	şoför
chaumière	kulübe
chaussette	çorap
chaussure	ayakkabı
chauve	kel
chauve-souris	yarasa
chaux	kireç
chawwal	şevval
chayotte	dikenli kabak
chaîne	zincir
chaîne parlée	bağlantılı konuşma
cheeseburger	çizburger
chef-d’œuvre	başyapıt
cheik	şeyh
chelou	acayip
chemin	yol
chemin de fer	demir yolu
cheminée	baca
chemise	gömlek
chemise de nuit	gecelik
chenille	tırtıl
cher	değerli
chercher	aramak
chercher une aiguille dans une botte de foin	samanlıkta iğne aramak
chercheur	araştırmacı
cheval	kulplu beygir
cheval-vapeur	beygir gücü
chevalier	şövalye
chevalier arlequin	kara kızılbacak
chevalier gambette	kızılbacak
chevalier guignette	dere düdükçünü
chevalier stagnatile	bataklık düdükçünü
chevaucher	binmek
chevesne	akbalık
cheveu	saç
cheville	ayak bileği
chevreau	oğlak
chevreuil	karaca
chevêche	kukumav
chewing-gum	sakız
chiant	can sıkıcı
chic	şık
chic	şık
chien	köpek
chien qui aboie ne mord pas	havlayan köpek ısırmaz
chien viverrin	rakun köpeği
chier	sıçmak
chiffre	rakam
chimie	kimya
chimie organique	organik kimya
chimiothérapie	kemoterapi
chimique	kimyasal
chimiste	kimyacı
chimpanzé	şempanze
chimpanzé commun	bayağı şempanze
chinois	Çince
chionis blanc	büyük kıngaga
chiot	köpek yavrusu
chiromancie	el falı
chirurgie	cerrahi
chlore	klor
chlorure de potassium	potasyum klorür
chocard à bec jaune	sarı gagalı dağ kargası
chocolat	çikolata
chocolat au lait	sütlü çikolata
choir	düşmek
choisir	seçmek
cholestérol	kolesterol
choléra	kolera
chorégraphe	koreograf
chorégraphie	koreografi
chose	şey
chou	lahana
chou rouge	kirmizi lahana
chou-fleur	karnabahar
choucas	küçük karga
choucas des tours	küçük karga
chouette	baykuş
chouette chevêche	kukumav
chouette effraie	peçeli baykuş
chouette hulotte	alaca baykuş
christadelphe	kristadelfiyanlık
christadelphe	Christadelphianlar
christianisme	hıristiyanlık
chrome	krom
chromosome	kromozom
chronologie	kronoloji
chrysanthème	kasımpatı
chrysope	yeşil zarkanat
chrétien	Hristiyan
chuchoter	fısıldamak
châtaigne	kestane
château	kale
château-fort	kale
chèque	çek
chèvre	keçi
chèvre angora	Ankara keçisi
chéri	sevgili
chêne	meşe
chêne pubescent	tüylü meşe
chômage	işsizlik
chœur	koro
cicatrice	yara izi
ciel	gök
cigare	puro
cigarette	sigara
cigarette électronique	e-puro
cigogne	leylek
cigogne noire	kara leylek
cil	kirpik
ciment	çimento
cimeterre	yatağan
cimetière	mezarlık
cimétidine	simetidin
cincle plongeur	derekuşu
cinq	beş
cinquante	elli
cintre	elbise askısı
cinéma	sinema
circaète jean-le-blanc	yılan kartalı
circoncision	sünnet
circonstance	durum
cire	balmumu
cirque	sirk
cirrhose	siroz
ciseau	makas
ciseaux	makas
cisplatine	sisplatin
ciste à feuilles de laurier	defne yapraklı laden
cistude d’Europe	benekli kaplumbağa
citation	alıntı
citer	alıntılamak
citoyenneté	vatandaşlık
citrine	sitrin
citron	limon
citrouille	kabak
cité	şehir
cité-État	şehir devleti
civil	sivil
civilisation	medeniyet
clair	aşikâr
clair de lune	ay ışığı
clan	aşiret
clarinette	klarnet
classe	sınıf
claustrophobie	klostrofobi
clavecin	klavsen
clavier	klavye
clepsydre	su saati
clic	tık
client	müşteri
climat	iklim
climatologie	iklimbilim
clinique	klinik
cliodynamique	kliodinamik
clochard	serseri
cloche	çan
clopin-clopant	topallayarak
clou	çivi
clou de girofle	karanfil
clown	palyaço
club	kulüp
clé	anahtar
clémence	bağışlayıcılık
clément	bağışlayıcı
clôture	çit
co-épouse	kuma
coalition	koalisyon
cobalt	kobalt
cobra	kobra
coca	koka
cocaïne	kokain
coccinelle	uğur böceği
cocher	arabacı
cochon	domuz
cocktail	kokteyl
cocktail Molotov	Molotov kokteyli
cocon	koza
cocorico	kuk-kurri-kuuu
cocotier	Hindistan cevizi
cocufier	aldatmak
code civil	medenî kanun
code pénal	ceza kanunu
code source	kaynak kodu
code-barres	barkod
coenzyme	koenzim
coffre	bavul
coffret	kutu
cogito ergo sum	düşünüyorum, öyleyse varım
cognac	kanyak
cohorte	kohort
coiffeur	berber
coin	açı
coin-coin	vak vak
coing	ayva
col	yaka
col de l’utérus	rahim ağzı
colibri	sinek kuşu
colin	balık
colis	bagaj
collection	koleksiyon
collectionner	biriktirmek
coller	yapışmak
collier	kolye
colline	tepe
collègue	meslekdaş
colombe	güvercin
colonel	albay
colonialisme	sömürgecilik
colonie	koloni
colonne	kolon
colonne vertébrale	omurga
coloré	renkli
colvert	yeşilbaş
coma	koma
combat	muharebe
combatif	mücadeleci
combattant	dövüşçü
combattant varié	dövüşken kuş
combien	kaç
comité	komite
commande	sipariş
commandement	komut
comme	yüzünden
comme	gibi
comme ci comme ça	söyle-böyle
comme pour	-mış gibi
comme si	sanki
comme ça	bu şekilde
commencer	başlamak
comment	nasıl
commentaire	yorum
commerce	ticaret
commissaire politique	siyasi komiser
commissariat	karakol
commissariat de police	karakol
commission	komisyon
commode	uygun
commode	şifonyer
communauté	topluluk
commune	belediye
communication	haberleşme
communiquer	bildirmek
communisme	komünizm
communiste	komünist
commère	dedikoducu
compagnon	arkadaş
comparaison	karşılaştırma
comparer	karşılaştırmak
compatir	acımak
complexe	karmaşık
complexité	karmaşıklık
compliment	iltifat
complot	komplo
complètement	tamamen
compléter	bütünlemek
comportement	davranış
compositeur	besteci
composé	bileşim
comprendre	anlamak
comptable	muhasebeci
compter	saymak
compteur	sayaç
comte	kont
comète	kuyruklu yıldız
comédie	komedi
comédien	komedyen
con	aptal
concentration	derişim
concert	konser
concierge	kapıcı
concombre	hıyar
concordance	ahenk
concubine	eş
condensat	yoğunlaşması
condensat de Bose-Einstein	Bose-Einstein yoğunlaşması
conducteur	sürücü
conductivité	elektriksel iletkenlik
conduire	yürütmek
confiture	reçel
conflit	mücadele
conférence	konferans
conférence de presse	basın konferansı
congrès	kongre
conjecture	konjektür
conjonction	bağlaç
conjugaison	konjugasyon
connaissance	bilgi
connexion	bağlantı
connu	bilinen
conscience	bilinç
conscient	bilinçli
conseil	nashihat
conseiller	fikir vermek
consensus	oybirliği
considérable	ağır
console de jeu	oyun konsolu
consoler	avutmak
consommation	içilen şey
consommer	tüketmek
constellation	takımyıldız
constipation	kabızlık
constitution	anayasa
constitutionnel	anayasal
construire	etmek
consulat	konsolosluk
conséquence	aksitesir
conte	masal
contemporain	zamane
conteneur	konteyner
content	memnun
contigüité	bitişiklik
continent	kıta
continuer	devam etmek
contondant	yassi
contrat	kontrat
contre	karşı
contrebasse	kontrbas
contribution	katkı
controverse	ihtilaf
contrée	belde
conure veuve	keşiş papağanı
conversation	konuşma
converser	konuşmak
convertir	değiştirmek
convive	misafir
coolie	köle
coordinateur	koordinatör
copernicium	kopernikyum
copieux	bol
coq	horoz
coque	kabuk
coquelicot	gelincik
coqueluche	boğmaca
coquerico	kuk-kurri-kuuu
coquericot	kuk-kurri-kuuu
coquille vide	işe yaramaz
corail	mercan
corbeau	kuzgun
corbeau freux	ekin kargası
corbeille	sepet
corde	urgan
corde vocale	ses teli
cordiérite	iyolit
cordonbleu à joues rouges	mavi mumgaga
cordonnier	ayakkabıcı
cormoran pygmée	küçük karabatak
corne	boynuz
corneille	karga
corneille noire	leş kargası
cornemuse	gayda
cornouille	kızılcık
corps	beden
corps céleste	gökcismi
correct	sahih
correspondance	aktarma
corridor	koridor
coréen	Korece
cosinus	kosinüs
cosmonaute	kozmonot
cosplay	cosplay
costume	kostüm
cosécante	kosekant
cot cot codet	gut gut gdak
cotangente	kotanjant
coton	pamuk
cou	boyun
couche	tabaka
couche d’ozone	ozonosfer
coucher	yatmak
couci-couça	şöyle böyle
coucou	guguk
coude	dirsek
coudre	kumaş dikmek
couler	akmak
couleur	renk
couloir	koridor
coulomb	coulomb
couman	Kuman Türkçesi
coup de mou	yorgunluk
coup de pied	tekme
coup de soleil	güneş yanığı
coup d’État	askerî darbe
coupable	suçlu
couper	kesmek
cour	avlu
courageux	yılmaz
courant	akım
courbe	eğri
courir	koşmak
couronne	çelenk
courriel	e-posta
courroie	kayış
cours	hareket
course	yarış
court	kısa
courtier	simsar
couscous	kuskus
cousin	yeğen
cousine	kuzin
coussin	yastık
couteau	bıçak
coutume	âdet
couvercle	kapak
couverture	battaniye
couvre-feu	sokağa çıkma yasağı
covariance	kovaryans
coïncidence	tesadüf
crabe	yengeç
cracher	tükürmek
craindre	korkmak
crainte	korku
crapaud accoucheur	ebe kurbağa
crapaud épineux	kara kurbağası
cravache	kırbaç
cravate	boyunbağı
crave à bec rouge	kırmızı gagalı dağ kargası
crayon	kurşun kalem
creuser	kazmak
crever	ölmek
crevette	karides
cri	feryat
cric	kriko
crier	bağırmak
crime de guerre	savaş suçu
criminel	cinaî
criminologie	kriminoloji
crinière	yele
criquet	çekirge
crise	kriz
cristal	billur
cristallisoir	kristalizör
cristallographie	kristalografi
critique	eleştiri
critère	kriter
croate	Hırvatça
croate	Hırvatça
croche	sekizlik nota
crochet	ayraç
crocodile	timsah
crocodile américain	Amerika timsahı
crocodile de Cuba	Küba timsahı
crocodile de Johnston	tatlısu timsahı
crocodile de l’Orénoque	Orinoco timsahı
crocodile des Philippines	filipin timsahı
crocodile du Nil	Nil timsahı
crocodile du Siam	Siyam timsahı
crocodile marin	tuzlu su timsahı
crocodile nain	cüce timsah
croire	inanmak
croisade	haclilar
croissance	büyüme
croissant	hilal
croix	haç
croque-mitaine	umacı
crotale	çıngıraklı yılan
crotale cascabelle	tropikal çıngıraklı yılan
crotale diamantin	doğu elmas sırtlı çıngıraklı yılanı
crotale du Texas	batı elmas sırtlı çıngıraklı yılanı
croyant	inanan
cryptographie	kriptografi
cryptographie asymétrique	açık anahtarlı şifreleme
crâne	kafatası
crème	kaymak
crève-cœur	acı
créationnisme	yaratılışçılık
créature	yaratık
crédo	amentü
créer	oluşturmak
crématorium	krematoryum
crépuscule	tan
crêpe	krep
cube	küp
cuillère	kaşık
cuir	deri
cuire	pişirmek
cuisine	mutfak
cuisinier	aşçı
cuisinière	aşçı
cuisse	kalça
cuivre	bakır
cul	göt
culotte	külot
culte	kült
culture	kültür
curcuma	zerdeçal
curium	küriyum
curling	körling
cyan	cam göbeği
cyanure	siyanür
cycle	devir
cyclomoteur	mobilet
cyclopropane	siklopropan
cygne	kuğu
cygne noir	kara kuğu
cylindre	silindir
cyprès	selvi
câble	kablo
câprier commun	gebre otu
cèdre	sedir
cécité	körlük
céder	teslim etmek
cédille	sedil
céleri	kereviz
célesta	çelesta
célèbre	meşhur
célébrer	anmak
céramique	seramik
cérium	seryum
cérusite	üstübeç
céréale	tahıl
cérébral	beyinsel
cérémonie	tören
césarienne	sezaryen
césium	sezyum
cétose	ketoz
cône	koni
côte	kıyı
cœur	kalp
c’est-à-dire	yani
daim	alageyik
daltonisme	renk körlüğü
damas	damasko
dame	hanımefendi
dame-jeanne	damacana
danger	tehlike
dangereux	tehlikeli
danois	Danca
danois	Danca
dans	içinde
danse	dans
danse du ventre	göbek dansı
danser	dans etmek
darija	Mağrip Arapçası
darmstadtium	darmstadtiyum
date	tarih
datte	hurma
dauphin	yunus
de bon cœur	memnuniyetle
de même	aynı şekilde
de pied en cap	baştan aşağı
de plein gré	razı olmak
de plus	ayrıca
de plus en plus	gittikçe
de proche en proche	azar azar
degré	derece
degré Celsius	ölçek Celsius
delta	delta
demain	yarın
demander	dilemek
demi-soupir	sekizlik es
dendrochronologie	dendrokronoloji
densité	yoğunluk
densité de courant	akım yoğunluğu
densité de population	nüfus yoğunluğu
dent	diş
dentelle	dantel
dentifrice	diş macunu
dentiste	diş tabibi
depuis	beri
derrière	arkasından
derviche	derviş
descendre	alçamak
dessein	amaç
dessert	tatlı
dessin	çizim
dessous	altı
destin	kader
destinataire	alan
destinée	alınyazısı
dette	borç
deuil	ağıt
deux	iki
deux	iki
deuxième	ikinci
devenir	olmak
devin	kâhin
devise	slogan
devoir	ev ödevi
diable	şeytan
diable de Tasmanie	Tasmanya canavarı
diabète	diyabet
diacre	diyakoz
diagnostic	tanı
dialecte	ağız
dialogue	diyalog
diamant	elmas
diamètre	çap
diarrhée	İshal
dichlorodiphényltrichloroéthane	DDT
diclofénac	diklofenak
dictateur	diktatör
dictature	diktatörlük
dictionnaire	sözlük
dictionnaire des données	veri sözlüğü
dictionnaire des synonymes	eşanlamlılar sözlüğü
dictionnaire en ligne	çevrimiçi sözlük
dieu	tanrı
difficile	zor
difficulté	zorluk
différence	fark
différent	başka
différer	ayırmak
dignité	haysiyet
diligence	arabası
dimanche	pazar
dimanche	pazar
dimension	boyut
diminuteur	çıkan
dimorphisme sexuel	seksüel dimorfizm
diméthylhydrazine asymétrique	1,1-dimetilhidrazin
dingo	dingo
dinitrate	dinitrat
dinosaure	dinozor
diode	diyot
dioxyde de carbone	karbondioksit
diplomatie	diplomat
diploïde	diploit
diplôme	diploma
dire	söylemek
direction	yön
discours	konuşma
discret	ketum
discuter	sohbet etmek
disponible	mevcut
disposer	düzenlemek
disque	disk
disque ZIP	iomega zip sürücüsü
disque dur	sabit disk
dissociation	bağların kopması
distance	mesafe
distant	uzak
distillation	damıtma
divaguer	başıboş gezmek
divertir	yönlendirmek
diviser	bölmek
diviseur	bölen
division	bölme
divorce	boşanma
divorcer	boşanmak
dix	on
dix-huit	on sekiz
dix-neuf	on dokuz
dix-sept	on yedi
dixième	onuncu
diète	perhiz
diégétique	öyküsel
djezva	cezve
djiguite	atlı
djihad	cihat
djoumada-l-oula	cemaziyelevvel
djoumada-t-tania	cemaziyelahir
djérid	cirit
docteur	hekim
doctrine	doktrin
document	belge
documentaire	belgesel
documentaire	belgesel
doigt	parmak
doliman	dolaman
doline	obruk
dollar	dolar
dollarisation	dolarizasyon
dolmen	dolmen
domino	domino
don	kabiliyet
donation	bağişlama
donc	o halde
donner	vermek
dopage	doping
dormir	uyumak
dos	sırt
dossier	dosya
dou-l-hidjja	zilhicce
dou-l-qa’da	zilkade
douane	gümrük
doublage	seslendirme
doucement	yavaş yavaş
douceur	tatlılık
douche	duş
douleur	ağrı
doute	şüphe
douter	şüphelenmek
doux	aheste
douzaine	düzine
douze	on iki
doyen	dekan
dragon	ejderha
drap	çarşaf
drapeau	bayrak
droit	sağ
droit	doğru
droit	hak
droite	sağ
droits de l’homme	insan hakları
dromadaire	tek hörgüçlü deve
druide	druid
drôle	acayip
du moment que	madem ki
dubnium	dubniyum
duc	dük
dune	kum tepesi
duodénum	duodenum
duplex	dubleks
dur	sert
dynamique	dinamik
dynamite	dinamit
dyne	dyn
dysenterie	dizanteri
dysfonctionnel	disfonksiyonel
dyslexie	disleksi
dysprosium	disprosyum
dé à coudre	yüksük
débat	münazara
débiter	bölmek
début	başlangıç
débuter	başlamak
décathlon	dekatlon
décembre	aralık
décennie	onyıl
décider	karar vermek
décision	hüküm
décorateur	dekoratör
décéder	ölmek
déesse	tanrıça
défaite	yenilgi
défendre	savunmak
défense	savunma
défenseur	avukat
déficit	bütçe açığı
définir	tanımlamak
défunt	merhum
dégueulasse	tiksinç
dégât	arıza
déifier	tanrılaştırmak
déisme	deizm
déjeuner	kahvaltı
déjeuner	yemek
déjà	daha şimdiden
déjà-vu	deja-vü
délire	sanri
déluge	tufan
délétion	delesyon
démocratie	demokrasi
démolir	bozmak
démuni	muhtaç durumda olan
déménager	taşınmak
dénominateur	payda
dépendance	bağımlılık
dépense	harcama
dépouiller	araklamak
dépression	depresyon
député	milletvekili
dépôt	depo
déraisonnable	abes
déranger	Rahatsız etmek
dérober	araklamak
désaffiliation	kurum veya toplulukla ilişkilerin kesilmesi ya da üyeliğin sona ermesi
désagréable	aynasız
désastre	afet
désert	çöl
désespoir	umutsuzluk
désespéré	umutsuz
déshabiller	soymak
désigner	seçmek
désinformation	dezenformasyon
désinvolture	küstahlık
désir	arzu
désolation	acı
détente	eğlence
détonateur	patlayıcı madde
détonation	inflâk etme
détroit	boğaz
détroit de Bass	Bass boğazı
détroit de Cook	Cook boğazı
détruire	yıkmak
développer	anlatmak
dévouement	bağlılık
dôme	kubbe
d’abord	önce
d’accord	tamam
d’aucuns	birileri
d’autant plus que	-diği için
d’autre part	diğer taraftan
d’égal à égal	eşit koşullar içinde
eau	su
eau bénite	kutsal su
eau de Cologne	kolonya
eau de mer	deniz suyu
eau tonique	tonik
eau-de-vie	rakı
effet	efekt
effet Auger	Auger etkisi
effet papillon	kelebek etkisi
effort	atılım
effraie	baykuş
effriter	dağılmak
einsteinium	aynştaynyum
elfique	Elf dili
elle	o
ellipse	elips
eléane	iğde
embellir	güzelleştirmek
embouchure	ağız
embouteillage	trafik sıkışıklığı
embrasser	öpmek
embryon	cenin
emoji	emoji
empathie	empati
empereur	imperator
empire	imparatorluk
empiéter	bir yeri ya da bir kişinin hakkını gasp etmek
emploi	istihdam
employer	kullanmak
employé	memur
empreinte	damga
empreinte digitale	parmak izi
emrakhor	imrahor
en bref	kısacası
en dessous	alt
en dépit de	rağmen
en d’autres termes	diğer bir deyişle
en face	karşısında
en fait	aslında
en fin de compte	nihayet
en finir	başından atmak
en tout cas	ne olursa olsun
en tout et pour tout	topu topu
en vain	boşuna
encablure	gomina
enceinte	hamile
enclume	örs
encore	hala
encre	mürekkep
enculer	sikmek
encyclopédie	ansiklopedi
encéphalite	ensefalit
endurer	azap çekmek
endémique	endemik
enfance	çocukluk
enfant	çocuk
enfer	cehennem
engelure	soğuk şişkinliği
engourdi	uyuşuk
engrais	gübre
engrenage	dişli çark
ennemi	düşman
ennemi	düşman
ennui	can sıkıntısı
ennuyeux	sıkıcı
ennéagone	dokuzgen
enregistrer	kaydetmek
enseignant	öğretmen
enseignement primaire	ilk okula
ensemble	küme
ensoleillé	güneşli
ensuite	sonra
entendre	duymak
entente	anlaşma
enthousiasme	şevk
entier	bütün
entier naturel	doğal sayılar
entier relatif	tamsayı
entité	kendilik
entièrement	adamakıllı
entomologie	entomoloji
entonnoir	huni
entraîneur	antrenör
entre	arasında
entrepôt	antrepo
entrer	girmek
entrée	giriş
enveloppe	zarf
environnement	çevre
envoi	gönderme
envoyer	göndermek
erbium	erbiyum
erg	erg
errance	serserilik
erreur	hata
ers lentille	burçak
escalader	tırmanmak
escalier	merdiven
escargot	salyangoz
esclave	köle
escrime	eskrim
espace	aralık
espace Schengen	Schengen Bölgesi
espace de noms	ad uzayı
espace-temps	uzayzaman
espadon	kılıç balığı
espagnol	İspanyol
espagnol	İspanyolca
espion	ajan
espionnage	casusluk
espiègle	fesat
esplanade	alan
espoir	umut
esprit	ruh
espérance	umut
espéranto	Esperanto
espérer	ummak
essai	deney
essayer	denemek
essence	benzin
essentialisme	esasçılık
essentiel	asil
est	doğu
est-nord-est	doğu-kuzey-doğu
est-quart-nord-est	gündoğusu kerte poyraz
est-quart-sud-est	gündoğusu kerte keşişleme
est-sud-est	doğu-güney-doğu
ester	ester
estimer	beğenmek
estomac	mide
estonien	Estonca
estropier	deforme etmek
estuaire	haliç
et	ve
etc.	benzeri
ethnologie	budunbilim
euglène	öglena
eugénisme	öjenik
eunuque	haremağası
euphémisme	örtmece
euro	avro
europium	europyum
européen	Avrupalı
euthanasie	ötanazi
exact	kesin
exactement	tam
exagérer	abartmak
examen	sınav
examiner	araştırmak
excuser	affetmek
exemple	örnek
exercice	egzersiz
exhibitionnisme	teşhircilik
exil	sürgün
existentialisme	varoluşçuluk
exister	varoluş
exon	ekson
expatrier	yurdundan uzaklaştırmak
expert	uzman
expirer	ölmek
explicite	açık, sarih
expliquer	açıklamak
exploration de données	veri madenciliği
explorer	araştırmak
explosif	patlayıcı
explosion	patlama
exposition	sergi
expression	ifade
expérience	deneyim
expérience de mort imminente	ÖYD
exquis	seçkin
extraordinaire	olağanüstü
extrême	aşırı
extrême droite	aşırı sağ
fabriquer	etmek
facile	kolay
facteur	postacı
factieux	fesatçı
factorielle	faktöriyel
facture	fatura
faculté	fakülte
faible	aciz
faim	açlık
faire	yapmak
faire d’une pierre deux coups	bir taşla iki kuş vurmak
faire la vaisselle	bulaşık yıkmak
faire l’amour	sevişmek
faire mal	acımak
fais ce que je dis, pas ce que je fais	Hocanın dediğini yap, yaptığını yapma
faisabilité	fizibilite
faisan	sülün
falaque	falaka
falsifier	bozmak
famille	aile
famine	kıtlık
fan	düşkün
fanatique	bağnaz
fantasia	fantazya
fantôme	hayalet
farad	farad
farce	muziplik
fard	allık
fardeau	yük
farine	un
fascisme	faşizm
fasciste	faşist
fatigue	yorgunluk
fatigué	yorgun
faucille	orak
faucille et marteau	orak ve çekiç
faucon	doğan
faucon crécerelle	bayağı kerkenez
faucon d’Éléonore	ada doğanı
faucon gerfaut	ak sungur
faucon hobereau	delice doğan
faucon lanier	bıyıklı doğan
faucon pèlerin	bayağı doğan
faucon sacre	ulu doğan
faucon émerillon	boz doğan
fauteuil	koltuk
fauvette de Rüppell	karaboğazlı ötleğen
fauvette grisette	akgerdanlı ötleğen
fauvette mélanocéphale	maskeli ötleğen
fauvette passerinette	bıyıklı ötleğen
fauvette pitchou	funda ötleğeni
fauvette à lunettes	bozkır ötleğeni
fauvette épervière	çizgili ötleğen
faux	yanlış
faux	tırpan
faux bourdon	insansız uçak
faux-gavial d’Afrique	ince burunlu timsah
façade	cephe
feldspath	feldspat
femelle	dişi
femme	eş
femme de ménage	hizmetçi
fenouil	rezene
fente	yarık
fenêtre	pencere
fer	demir
fer à cheval	nal
fer à repasser	ütü
ferme	çiftlik
fermentation	fermantasyon
fermer	kapamak
fermion	fermiyon
fermium	fermiyum
ferveur	büyük istek
fesse	kalça
fessée	şaplak
feu	ateş
feu d’artifice	havai fişek
feu tricolore	trafik ışığı
feuille	yaprak
fez	fes
fiable	güvenilir
fiacre	araba
fiançailles	nişan
fibre	lif
fibre de verre	cam elyafı
fibre optique	fiberoptik
fibrinogène	fibrinojen
fibroblaste	fibroblast
fichier	dosya
fictif	hayalî
figue	incir
figurant	figüran
figure de proue	lider
fil	iplik
filet	fileto
filigrane	filigran
fille	kız
film	film
fils	oğul
fils de pute	orospu çocugu
filtre	filtre
filtre à air	hava filtresi
filtrer	süzmek
final	final
finance	finans
finir	bitirmek
finlandais	Fin
finnois	Fince
finnois	Fince
firman	ferman
fission nucléaire	fisyon
fixer	saptamak
fièvre	ateş
fjord	fiyord
flamand occidental	Batı Flamanca
flamant	flamingo
flamant rose	büyük flamingo
flamme	alev
flancher	direnmeyi bırakmak
flaque	gölet
fleur	çiçek
fleuriste	çiçekçi
fleuve	nehir
flexibilité	esneklik
flexographie	fleksografi
fluor	flor
fluorite	fluorit
flux lumineux	işık akısı
flux magnétique	manyetik akı
flèche	ok
flérovium	flerovyum
flûte	flüt
foi	inanç
foie	karaciğer
foie gras	foie gras
foin	saman
foire	fuar
foire aux questions	SSS
fois	defa
folklore	folklor
folkloriste	folklorcu
fonction	fonksiyon
fonctionnaire	devlet memuru
fond	dip
fondation	kuruluş
fonder	kurmak
fondre	erimek
fontaine	fıskiye
football	ayaktopu
force	kuvvet
force magnétomotrice	manyetomotor kuvvet
force électromotrice	elektromotor kuvvet
forgeron	demirci
formation	formasyon
forme	biçim
forme normale	normal form
formel	açık
formulaire	form
formule	formül
formule chimique	kimyasal formül
fort	güçlü
fort comme un Turc	Türk gibi kuvvetli
fortune	alınyazısı
forum	forum
forêt	orman
forêt primaire	bakir orman
fosse	çukur
fossile	fosil
fou	deli
fou	fil
foudre	yıldırım
fouet	kamçi
fouiller	araştırmak
foulque macroule	sakarmeke
four	fırın
fourchette	çatal
fourmi	karınca
fourmilier	karıncayiyen
fourmilier marsupial	keseli karıncayiyen
fourniture	tedarik etme
foutre	amana koydum
foutre	amana koydum
foyer	odak
fracture	kırık
frais	taze
fraise	çilek
fraisier	çilek
framboise	ahududu
framboisier	ağaç çileği
franc	frank
francité	Fransızlık
francium	fransiyum
francophile	Fransız hayranı
francophone	fransızca konuşan
français	Fransız
français	Fransızca
frapper	vurmak
freelance	Açık İş
frein	fren
frelon	eşekarısı
fresque	fresk
freudisme	Freudçuluk
frimer	hava atmak
froid	soğuk
froid	soğuk
froid	soğukluk
fromage	peynir
froment	buğday
front	alın
frontière	hudut
frotter	sürtünmek
fruit	meyve
fruitier	bereketli
frustration	bıkkınlık
frère	birader
frégate	fırkateyn
fréquence	frekans
frêne	dişbudak
frêne à feuilles étroites	sivri meyveli dişbudak
fuligule milouin	elmabaş patka
fuligule milouinan	karabaş patka
fulmar boréal	kuzey fulmarı
fumier	gübre
fumée	duman
funérailles	cenaze
furane	furan
furet	yaban
furieux	azgın
fusil	tüfek
fusée	roket
futur	gelecek
futurologie	fütüristik
fève	fasulye
fécond	bitek
fédération	federasyon
fée	peri
féliciter	tebrik etmek
félin	kediye benzeyen
féministe	feminist
féroce	vahşi
février	şubat
fête	bayram
fêter	anmak
gadolinium	gadolinyum
gagner	almak
gain	kazanç
galactique	galaktik
galaxie	galaksi
gale	uyuz
galerie	galeri
gallium	galyum
gallois	Galce
galère	kadırga
gamme	gam
gamète	gamet
gangrène	kangren
gant	eldiven
gant de boxe	boks eldiveni
garage	garaj
garance	kızılkök
garance des teinturiers	kökboya bitkisi
garantie	garanti
garde	bekçi
garde-bœuf	sığır balıkçılı
gardien	bekçi
gardien de but	kaleci
gare	gar
gargouille	gargoyle
garçon	oğlan
gauche	sol
gauche	sol
gaucher	solak
gaufrette	gofret
gavial	gavyali
gaz	gaz
gaz noble	asil gaz
gazelle	ceylan
gazette	gazete
gaélique écossais	İskoçça
geai	alakarga
gecko	geko
geisha	geyşa
gel	ayaz
gelée	ayaz
gencive	dişeti
gendarme	jandarma
gendarmerie	jandarma
gendre	damat
genou	diz
genre	cins
gentil	hoş
genévrier	ardıç
gerfaut	ak sungur
germandrée	kısamahmut
germanium	germanyum
gesse	mürdümük
geste	el kol hareketi
giaour	gâvur
gibet	darağacı
gibier	av
gifle	tokat
gigoter	debelenmek
gilet	yelek
gin	cin
gingembre	zencefil
girafe	zürafa
giroflée	şebboy
gitan	çingene
glabre	köse
glace	dondurma
glacier	buzul
glaciologie	buzul bilimi
glaciologue	buzul bilimci
glaucome	glokom
glaïeul	glayöl
globe	küre
gloire	şan
glorieux	şanlı
glouton	kutup porsuğu
glucose	glukoz
glycéraldéhyde	gliseraldehit
gnou	gnu
gobemouche gris	benekli sinekkapan
gobemouche nain	küçük sinekkapan
gobemouche à collier	halkalı sinekkapan
godemichet	zıbık
golem	golem
golf	golf
golfe	körfez
golfe du Mexique	Meksika Körfezi
gorge	boğaz
gorgebleue à miroir	gökgerdan
gorille	goril
gosse	oğlan
goubernia	guberniya
goudron	katran
gouffre	uçurum
goulash	gulaş
goutte	damla
gouvernail	dümen
gouvernement	hükümet
gouverneur	vali
goyave	guava
goéland argenté	kuzey gümüş martı
goéland brun	kara sırtlı martı
goélette	uskuna
goût	tat
goûter	ikindi kahvaltısı
grabataire	yatalak
graisse	yağ
grammaire	gramer
gramme	gram
grand	büyük
grand esturgeon	mersin morinası
grand labbe	büyük korsan martı
grand monarque	kral kelebeği
grand-mère	büyükanne
grand-père	dede
grande aigrette	büyük ak balıkçıl
grandir	büyümek
grappe	salkım
gratte-ciel	gökdelen
gratter	kaşımak
gratuit	bedava
grave	ağır
gravier	moloz
gravir	tırmanmak
graviton	graviton
grec	Yunanlı
grec	Yunanca
grec	döner kebap
grelotter	soğuktan titremek
grenade	nar
grenadier commun	nar
grenouille	kurbağa
griffe	pençe
griffer	pençelemek
griffon	griffon
grimper	tırmanmak
