crazia	κρατία
grandioso	εντυπωσιακός
grandissimo	βαθύς
granello	σπυρί
granitico	γρανίτης
grano	χάντρα
granoturco	αραβόσιτος
granturco	αλατίζω
grappa	ρακί
grappolo	τσαμπί
graspo	κορυφογραμμή
grassatore	ληστής
grassetto	θαρραλέος
grasso	λίπος
grassoccio	αφράτος
grata	τρίβω
graticcio	καφάσι
graticola	σχάρα
gratifica	επιμίσθιο
gratificazione	επιμίσθιο
gratitudine	ευγνωμοσύνη
grattacielo	ουρανοξύστης
grattare	ξύνω
grattata	γρατζουνιά
grattugia	τρίφτης
gratuito	δωρεάν
grave	βαρύς
grave	βαρύς
gravida	έγκυος
gravidanza	εγκυμοσύνη
gravità	βαρύτητα
grazie mille	ευχαριστώ πολύ
grazioso	χαριτωμένος
grecizzare	ελληνίζω
greco antico	αρχαία ελληνικά
greco-romano	ελληνορωμαϊκός
gregario	αγελαίος
gregge	ποίμνιο
grembiule	ποδιά
grembo	μήτρα
greppia	παχνί
greto	ακτή
gretola	δικηγόροι
gretto	κακός
greve	άξεστος
grezzo	ακατέργαστος
grida	διάταγμα
gridare	φωνάζω
grido	κραυγή
grido di guerra	ιαχή
grifo	ρύγχος
grifone	γρύπας
grigio	θλιβερός
griglia	πλέγμα
grilletto	σκανδάλη
grillo	γρύλος
grinfia	νυχιάζω
grinta	αγριοκοιτάζω
groenlandese	γροιλανδικός
grondaia	υπόνομος
grondante	τσιγαρίδα
groppone	πλάτη
grossista	χονδρέμπορος
grosso	μεγάλος
grossolano	άξεστος
grossomodo	περίπου
grotta	σπήλαιο
grottesca	αφύσικος
groviglio	εμπλέκω
gru	γερανός
gruccia	δεκανίκι
grugno	ρύγχος
grumo	θρόμβος
gruppo	ομάδα
gruppo funzionale	χαρακτηριστική ομάδα
guadagnare	κερδίζω
guadagno	αποκτώ
guaio	προβλήματα
guaire	γαβγίζω
guaito	γαβγίζω
gualcire	ζάρα
guancia	μάγουλο
guanciale	μαξιλάρι
guano	γκουανό
guanto	γάντι
guar	γκουαρέ
guardare	παρακολουθώ
guardaroba	γκαρνταρόμπα
guardia	σκοπός
guardia del corpo	σωματοφύλακας
guardiaparco	ρέιτζερ
guardingo	επιφυλακτικός
guardone	ηδονοβλεψίας
guarire	γιατρεύω
guarnizione	διακόσμηση
guasto	ζημία
guasto	άφραγκος
guazzabuglio	θολώνω
guazzare	κυλιέμαι
guelfo	Γουέλφος
guerra	πόλεμος
guerra civile	εμφύλιος πόλεμος
guerra fredda	Ψυχρός Πόλεμος
guerra mondiale	παγκόσμιος πόλεμος
guerrafondaio	θούριος
guerreggiare	μαλώνω
guerriero	εχθρικός
guerriero	πολεμιστής
guerriglia	αντάρτικο
guerrigliero	αντάρτικο
gufo	νανόμπουφος
guglia	βέλος
gugoleggiare	γκουγκλάρω
guida	ξεναγός
guida turistica	ξεναγός
guidare	άγω
guinzaglio	λουρί
guisa	δρόμος
gujarati	Γκουτζαρατικά
guru	γκουρού
guscio	κέλυφος
gustare	πρόγευση
gusto	γούστο
gustoso	νόστιμος
gutturale	λαρυγγόφωνος
haitiano	αϊτιανά
haitiano	αϊτιανά
hamburger	χάμπεργκερ
hassio	χάσιο
hegeliano	εγελιανός
hegelismo	εγελιανισμός
hindi	Χίντι
hinterland	ενδοχώρα
hippie	χίππης
hobby	πάρεργο
hockey	χόκεϊ
horror	τρομακτικός
hotel	ξενοδοχείο
iacuto	γιακουτικά
iarda	γιάρδα
iato	χάσμα
iatrogeno	ιατρογενής
ibernazione	χειμερία νάρκη
ibice	αίγαγρος
ibrido	υβρίδιο
icastico	βουλευτής
iceberg	παγόβουνο
icona	εικόνα
iconoclasta	εικονοκλάστης
icore	ιχώρ
icosagono	εικοσάγωνο
ictus	εγκεφαλικό
iddio	Θεός
idea	ιδέα
ideale	αποστάζω
idealismo	ιδεαλισμός
identico	απαράλλακτος
identificare	συνεργάτης
identità	ταυτότητα
ideogramma	ιδεόγραμμα
ideologia	ιδεολογία
ideologico	ιδεολογικός
idillio	ειδύλλιο
idioma	γλώσσα
idiomatico	ιδιωματικός
idiopatia	ιδιοπάθεια
idiosincrasia	ιδιοσυγκρασία
idiota	βλάκας
idiotismo	ιδίωμα
idiozia	ηλιθιότητα
idolo	είδωλο
idoneo	προσοντούχος
idratare	ενυδατώνω
idraulico	υδραυλικός
idrico	θάλασσα
idrobiologia	υδροβιολογία
idrocarburo	υδρογονάνθρακας
idroelettrico	υδροηλεκτρικός
idrofobia	ὑδροφοβία
idrogenazione	υδρογόνωση
idrogeno	υδρογόνο
idrografia	υδρογραφία
idrolisi	υδρόλυση
idrologia	υδρολογία
idrometeora	υδρομετέωρο
idrossido	υδροξείδιο
idrostatica	υδροστατική
idrovolante	υδροπλάνο
iellato	άθλιος
iena	ύαινα
ieratico	ιερατικός
ieri	χθες
iettatore	γρουσούζης
igiene	υγιεινή
igienico	υγιεινός
igloo	ιγκλού
ignaro	αδαής
ignava	άτονος
ignavia	βραδύπους
ignavo	άτονος
ignifugo	αλεξίπυρος
ignizione	ανάφλεξη
ignobile	κακός
ignominioso	αισχρός
ignorante	αδαής
ignorante	αδαής
ignoranza	άγνοια
ignorare	παραθεωρώ
ignoto	άγνωστος
ignudo	γυμνός
igrofilo	υγρόφιλος
iguana	ιγκουάνα
il	ο
ilarità	ευθυμία
ileo	ειλεός
illazione	εικάζω
illegale	άνομος
illegalità	αναρχία
illegalmente	έκνομα
illeggibile	δυσανάγνωστος
illeonito	αχαλίνωτος
illeopardito	διαβάτης
illeso	άθικτος
illetterato	αναλφάβητος
illibato	θεωρητικός
illiberale	ανελεύθερος
illividire	μωλωπίζομαι
illogico	άλογος
illudere	ανόητος
illuminare	φωτίζω
illuminato	φωτισμένος
illuminismo	Διαφωτισμός
illusione	παραίσθηση
illuso	ανόητος
illusorio	απατηλός
illustratore	εικονογράφος
illustrazione	εικόνα
illustre	διάσημος
ilozoismo	υλοζωία
imballaggio	αμπαλάρισμα
imballare	πακετάρω
imballato	φίσκα
imbalsamare	ταριχεύω
imbarazzante	ντροπιαστικός
imbarazzato	άβολο
imbarazzo	στήνω
imbarcare	επιβιβάζομαι
imbarcazione	μεταφέρω
imbarco	φόρτωση
imbastardire	καταβιβάζω
imbattersi	αναμέτρηση
imbeccata	γρήγορα
imbecille	αμυδρός
imbecille	βλαμμένος
imbecillità	βλακεία
imbelle	δειλός
imberbe	άπτερος
imbevere	βουτώ
imbiancare	διακοσμώ
imbiancato	άσπρο
imbianchino	βαφέας
imboccare	ταΐζω
imboccatura	έκρηξη
imbocco	είσοδος
imbonitore	αγύρτης
imbottigliamento	εμφιάλωση
imbottire	γεμίζω
imbranato	αδέξιος
imbrattare	βαφή
imbrigliare	χαλινώνω
imbrogliare	μπάζα
imbroglio	εμπλέκω
imbronciato	συννεφιασμένος
imbrunire	βράδιασμα
imbufalito	έξαλλος
imburrare	γρασάρω
imbuto	χοάνη
imene	παρθενικός υμένας
imitare	αντιγράφω
imitazione	εντύπωση
immacolato	άσπιλος
immaginare	φαντάζομαι
immaginario	φανταστικός
immaginario	υποσυνείδητος
immaginativa	φαντασίωση
immaginativo	ευφάνταστος
immaginazione	φαντασία
immagine	εικόνα
immaginifico	ευφάνταστος
immancabilmente	αναπότρεπτα
immane	τεράστιος
immanente	έμφυτος
immanenza	εμμένεια
immarcescibile	αμαράντινος
immaturità	ανωριμότητα
immaturo	άπλερος
immediatamente	αμέσως
immediato	απευθύνομαι
immenso	απέραντος
immergere	βυθίζω
immergersi	κατεβάζω
immersione	βυθίζω
immerso	βυθισμένος
immettere	εγγράφω
immigrante	μετανάστης
immigrato	μετανάστης
immigrato	μετανάστης
immigratorio	μετανάστευση
immigrazione	μετανάστευση
imminente	επικείμενος
imminenza	προσέγγιση
immissione	άκατος
immobiliare	ιδιοκτησία
immobilismo	αδράνεια
immobilità	ακινησία
immobilizzato	τακτός
immodesti	ματαιόδοξος
immodesto	ματαιόδοξος
immolarsi	θυσία
immondezza	αηδία
immondizia	απορρίματα
immondo	φάουλ
immorale	ανήθικος
immortale	αθάνατος
immortalità	αθανασία
immotivato	αδικαιολόγητος
immune	ανεμπόδιστος
immunologia	ανοσολογία
immunologico	ανοσολογικός
immunoterapia	ανοσοθεραπεία
immutabilità	σταθερότητα
immutato	αμετάβλητος
impacciato	αδέξιος
impaccio	εμπόδιο
impacco	κομπρέσα
impadronirsi	κατέχω
impagabile	ανεκτίμητος
impalcatura	πλαίσιο
impallidire	άγευστος
imparare	μαθαίνω
impari	μεροληπτικός
impartire	δίνω
imparziale	ανοιχτός
imparzialità	αμεροληψία
impassibile	αθορύβητος
impassibilità	φλέγμα
impasto	ζύμη
impatto	πλακώνω
impaurire	τρομάζω
impavido	άφοβος
impazienza	ανυπομονησία
impeccabile	άψογος
impeccabilmente	άψογα
impedenza	εμπέδηση
impedimento	εμπόδιο
impedire	εμποδίζω
impegnare	αρχή
impegnarsi	αποπειρώμαι
impegnata	κατειλημμένος
impegnativo	απαιτητικός
impegnato	κατειλημμένος
impegno	δέσμευση
impellente	επείγων
impenetrabile	αδιαπέραστος
impenitente	αμετανόητος
impensabile	αδιανόητος
imperare	χαρακώνω
imperativo	επιτακτικός
imperatore	αυτοκράτορας
impercettibile	ανεπαίσθητος
imperdonabile	αδικαιολόγητος
imperfetto	παρατατικός
imperfezione	ατέλεια
imperialismo	αποικιοκρατία
imperialistico	ιμπεριαλίστρια
imperioso	επείγων
imperizia	απειρία
impermeabile	αδιάβροχο
imperniare	μεντεσές
impero	αυτοκρατορία
impersonale	απρόσωπος
impersonare	διάβημα
impertinente	θρασύς
imperturbabile	αθορύβητος
imperversare	λυσσομανώ
impervio	αδιάβατος
impeto	μεταφορά
impetuoso	έντονος
impiallacciatura	επικόλλημα
impianto	εγκατάσταση
impiastro	βάσανο
impiccagione	απαγχονισμός
impiccare	κρεμώ
impicciare	αταξία
impiegare	χρησιμοποιώ
impiegarsi	βρίσκω
impiegatizio	γραφειοκρατικός
impiego	δουλειά
impietoso	αλύπητος
impietrire	απολιθώνω
implacabile	αδυσώπητη
implementazione	εφαρμογή
implicare	υπονοώ
implicito	εγγενής
implodere	ανατινάζω
implorare	ικετεύω
impollinare	επικονιάζω
imponente	μεγάλος
imponibile	φορολογήσιμος
impopolare	αντιδημοτικός
imporre	διοίκηση
imporsi	κιόσκι
importabile	εισαγώγιμος
importante	σπουδαίος
importanza	νόημα
importare	κατηγορία
importazione	εισαγωγή
importo	ισοδυναμώ
importunare	ενοχλώ
importuno	ανεπιθύμητος
imposizione	βάρδια
impossibile	αδιανόητο
impossibile	αδιανόητο
impossibilità	αδυναμία
imposta	διάφραγμα
imposta sul valore aggiunto	φόρος προστιθέμενης αξίας
impostare	κλίκα
impostazione	ορισμός
imposto	τακτός
impostore	ψεύτικος
impostura	απάτη
impoverimento	εξαθλίωση
impoverire	αδειάζω
imprecare	βρίζω
imprecazione	κατάρα
imprecisato	άγνωστος
imprecisione	ανακρίβεια
impreciso	ασαφής
impregnare	ποτίζω
imprenditore	επιχειρηματίας
impreparato	αναρμόδιος
impresa	εταιρεία
imprescindibile	ουσιαστικός
impresentabile	ακατάστατος
impressionante	εκπληκτικός
impressionare	εντυπωσιάζω
impressionato	τρομαγμένος
impressione	εντύπωση
imprevedibile	απρόβλεπτος
imprevisto	απρόβλεπτος
imprigionare	φυλακίζω
imprigionato	άλμα
imprimere	εντυπωσιάζω
improbabile	απίθανος
improntato	-παγής
improntitudine	αμετροέπεια
improperio	προσβάλλω
improprio	ακατάλληλος
improrogabile	καθορισμένος
improvvisamente	ξαφνικά
improvvisare	αυτοσχεδιάζω
improvvisata	αιφνίδιος
improvvisato	αυθόρμητος
improvviso	αυτοσχεδιασμός
imprudente	αμελής
impudente	θρασύς
impudentemente	αναιδώς
impudenza	θράσος
impudicizia	αδιακρισία
impudico	ξεδιάντροπος
impugnare	έλξη
impugnatura	χειρολαβή
impulso	ενισχύω
impunità	ατιμωρησία
impurezza	ανηθικότητα
impurità	ανηθικότητα
imputabile	αποδόσιμος
imputare	γιούργια
imputato	κατηγορούμενος
imputazione	κατηγορία
inabile	ανάπηρος
inabilità	αδυναμία
inaccessibile	απρόσιτος
inaccettabile	απαράδεκτος
inadatto	ακατάλληλος
inadeguato	ακατάλληλος
inadempienza	προεπιλογή
inadempiuto	ανολοκλήρωτος
inafferrabile	ασύλληπτος
inaffidabile	αναξιόπιστος
inagibile	αδιάβατος
inagibilità	ακαταλληλότητα
inalberare	φυτό
inalienabile	αναφαίρετος
inalterabile	αμετάβλητος
inalterabilità	μονιμότητα
inalterato	αμετάβλητος
inane	άχρηστος
inanimato	άψυχος
inanità	ματαιοδοξία
inappuntabile	άμεμπτος
inarcare	κυρτώνω
inarcarsi	κυρτώνω
inaridire	παθαίνω μαρασμό
inarrestabile	αδυσώπητος
inaspettatamente	αναπάντεχος
inaspettato	απρόοπτος
inasprimento	επιδείνωση
inattaccabile	άπαρτος
inattendibile	αναξιόπιστος
inatteso	απρόοπτος
inattività	αδράνεια
inattivo	αδρανής
inattuale	παλιομοδίτης
inaudito	ακατανόητος
inaugurale	ευκαιρία
inaugurazione	ευκαιρία
inavveduto	αμελής
inavvertitamente	άθελα
inazione	αδράνεια
incagliare	οπίσθιος
incalcolabile	ανυπολόγιστος
incallito	άκαρδος
incalzante	επείγων
incamerare	κατάσχω
incancellabile	ανεξίτηλος
incandescente	πυρακτωμένος
incandescenza	ανταύγεια
incantare	γοητεύω
incantato	μαγεμένος
incantesimo	φυλαχτό
incantevole	γοητευτικός
incanto	γοητεία
incapace	ανίκανος
incapacità	ανικανότητα
incappucciato	κουκουλοφόρος
incarcerare	φυλακίζω
incardinare	μεντεσές
incaricare	γιούργια
incarico	αξίωμα
incarnare	ενσαρκώνω
incarnarsi	ενσαρκωμένος
incarnato	χρώμα
incarnazione	ενσάρκωση
incartamento	αρχείο
incassare	εξαργυρώνω
incastellatura	πλαισιώνω
incastonare	κλίκα
incastrare	στήνω
incastro	ένωση
incatenare	δένω
incavolato	έξαλλος
incedere	βαδισμα
incendiare	ανάβω
incendio	πυρκαγιά
incenso	λιβανος
incensurato	άμεμπτος
incentivo	κίνητρο
incertezza	αβεβαιότητα
incerto	αβέβαιος
incerto	διστακτικός
incessabile	αδιάλειπτος
incessante	ακατάπαυστος
incesso	βαδισμα
incestuoso	αιμομικτικός
inchiedere	ερευνώ
inchiesta	έρευνα
inchinarsi	υποκλίνομαι
inchiodare	καρφώνω
inchiostro	μελάνι
inciampo	εμπόδιο
incidentale	αλλοίωση
incidente	ένσταση
incidente	ατύχημα
incinerare	αποτεφρώνω
incingere	περικλείω
incinta	έγκυος
incipiente	αρχή
incipit	έναρξη
incisione	εντομή
incisivo	κοπτήρας
inciso	παρενθέσεις
incitamento	ενθάρρυνση
inciucio	απεργάζομαι
inclinato	πρηνής
inclinazione	γήπεδο
includere	συμπεριλαμβάνω
inclusivo	συμπεριλαμβανομένου
incognito	ανωνυμία
incollare	βέργα
incolto	αμόρφωτος
incolume	ακίνδυνος
incolumità	ασφάλεια
incombenza	αγγαρεία
incombustibile	άκαυστος
incommensurabile	ανυπολόγιστος
incomparabile	απαράμιλλος
incompatibile	ασυμβίβαστος
incompatibilità	ανακολουθία
incompetente	αναρμόδιος
incompiuto	ανολοκλήρωτος
incompleto	ανολοκλήρωτος
incomprensibile	ακαταλαβίστικος
incomprensione	παρεξήγηση
inconcepibile	ακατανόητος
inconcludente	αναποτελεσματικός
inconcusso	γερός
inconfondibile	πατέντα
inconfutabile	αδιάψευστος
incongruente	ανακόλουθος
incongruo	ανάρμοστος
inconquistabile	ακαταμάχητος
inconsapevole	υποσυνείδητος
inconsciamente	ασυνείδητα
inconscio	υποσυνείδητος
inconsiderato	αδιάφορος
inconsistente	αβάσιμος
inconsueto	(asiníthis)
incontaminato	αμόλυντος
incontentabile	απαιτητικός
incontinenza	ακράτεια
incontrare	αναμέτρηση
incontrarsi	συναντιέμαι
incontro	προς
incontro	ένωση
incontrollabile	ανεπαλήθευτος
incontrollato	αδιασταύρωτος
incontrovertibile	αδιάσειστος
inconveniente	κοτσάρω
incoraggiamento	ενθάρρυνση
incoraggiare	ενθαρρύνω
incoronare	κορυφή
incoronazione	στέψη
incorporante	πολυσυνθετικός
incorporare	αναμιγνύω
incorporazione	ενσωμάτωση
incorreggibile	ανίατος
incorruttibile	άφθαρτος
incosciente	ανεύθυνος
incosciente	ανόητος
incoscienza	ανευθυνότητα
incostante	άστατος
incostituzionalità	αντισυνταγματικότητα
incredibile	απίθανος
incredibilmente	απίστευτα
incredulo	απίστευτος
incrementare	ανεβαίνω
incremento	αβγατίζω
increscioso	άμοιρος
increspare	ζάρα
incrinare	ζημία
incrinarsi	ευθυμία
incrociare	σταυρώνω
incrociatore	καταδρομικό
incrocio	σταυροδρόμι
incrollabile	γερός
incrostazione	δίνω εγγύηση
incruento	αναίμακτος
incubo	εφιάλτης
incudine	αμόνι
inculare	ξεκωλιάζω
inculcare	ενσταλάζω
incunabolo	αρχέτυπο
incuneare	σμήνος
incunearsi	σμήνος
incurabile	ανίατος
incurante	μέτριος
incuria	αβλεψία
incuriosire	πλοκή
incuriosito	περίεργος
incursione	έφοδος
incurvare	λυγίζω
incutere	διοίκηση
indagare	καθετηριάζω
indagine	εκλογικό κέντρο
indebito	υπέρμετρος
indebolirsi	άγευστος
indecente	βρόμικος
indecenza	απρέπεια
indecifrabile	δυσερμήνευτος
indecisione	αναποφασιστικότητα
indeciso	άβουλος
indefinito	ακαθόριστος
indegno	ανάξιος
indelebile	ανεξίτηλος
indemoniato	μανιακός
indenne	άθικτος
indennità	αποζημίωση
indennizzo	αποζημίωση
indescrivibile	αδιήγητος
indesiderato	ανεπιθύμητος
indeterminato	αβέβαιος
indiano	Ινδή
indicare	δείχνω
indicativamente	περίπου
indicativo	παραπλήσιος
indicato	λοιπόν
indicatore	οριστική
indicatore	δείκτης
indicazione	ζώδιο
indice	κατάλογος
indice di massa corporea	ΔΜΣ
indicibile	άφατος
indifeso	ευάλωτος
indifferente	κάνει κρύο
indifferenza	αδιαφορία
indifferenziato	αδιαφοροποίητος
indigeno	αυτόχθων
indigente	καημένος
indigestione	βαρυστομαχιά
indigesto	σοβαρός
indignato	θυμωμένος
indignazione	οργή
indimenticabile	αλησμόνητος
indio	ίνδιο
indipendente	ανεξάρτητος
indipendenza	ανεξαρτησία
indiretto	έμμεσος
indirizzo	διεύθυνση
indiscreto	αδιάκριτος
indiscrezione	αμετροέπεια
indiscutibile	αδιαμφισβήτητος
indiscutibilmente	αναμφίβολα
indispensabile	αναγκαίος
indispettito	ενοχλημένος
indisponente	ενοχλητικός
indisponibile	δυσεύρετος
indisposizione	αδιαθεσία
indissolubile	ακατάλυτος
indistinto	ασαφής
indistruttibile	άθραυστος
individuabile	αναγνωρίσιμος
individuale	κόβω
individualismo	ατομικισμός
individualità	ιδιομορφία
individuare	εντοπίζω
individuo	αντικείμενο
individuo	άτομο
indivisibile	αδιαίρετος
indiviso	ενωμένος
indiziato	ύποπτη
indizio	ζώδιο
indoeuropeo	ινδοευρωπαϊκός
indole	διάθεση
indolente	άτονος
indolore	άπονος
indomabile	αδάμαστος
indomito	άγριος
indossare	βάζω
indossatore	μοντέλο
indossatrice	μοντέλο
indottrinamento	κατήχηση
indovinare	εικάζω
indovinello	αίνιγμα
indubbiamente	αδιαμφισβήτητα
indubbio	αδιάψευστος
indubitabile	αδιαμφισβήτητος
indugio	αναβάλλω
indulgente	φωτεινός
indulgenza	επιείκεια
indulgere	ενδίδω
indulto	συγχωρώ
indumento	ρούχο
indurire	σκληραίνω
indurre	διάστιχο
industria	βιομηχανία
industriale	βιομηχανικός
industrializzato	προβιομηχανικός
industrializzazione	εκβιομηχάνιση
induttanza	αυτεπαγωγή
induttivo	επαγωγικός
induzione	επαγωγή
inebriare	συναρπαστικός
ineccepibile	άμεμπτος
inedia	νηστεία
inedito	ανέκδοτος
ineffabile	άφατος
inefficace	ατελέσφορος
ineguale	άτακτος
inelegante	γδαρμένος
ineludibile	αναπόφευκτος
ineluttabile	αναπόφευκτος
inenarrabile	άρρητος
inequivocabile	ξεκάθαρος
inequivoco	ξεκάθαρος
inerpicarsi	σκαρφαλώνω
inerte	χαλασμένος
inerzia	αδράνεια
inesatto	αμάζευτος
inesauribile	ανεξάντλητος
inesorabile	αδυσώπητος
inesperienza	απειρία
inesperto	άπειρος
inespressivo	ανέκφραστος
inespugnabile	απόρθητος
inettitudine	ανεπιτηδειότητα
inetto	αναρμόδιος
inevitabile	αναπόφευκτος
inevitabile	αναπόφευκτος
inevitabilmente	αναπότρεπτα
inezia	οδηγός
infallibile	αλάνθαστος
infamante	αισχρός
infame	διαβόητος
infamia	ατίμωση
infangare	αίσχος
infante	βρέφος
infantile	πρώτα στάδια
infanzia	παιδική ηλικία
infarinare	αλευρώνω
infarto	εμβολή
infastidire	ενοχλώ
infaticabile	ακούραστος
infausto	δυσοίωνος
infedele	κίβδηλος
infedele	άπιστος
infedeltà	ανακρίβεια
infelice	θλιβερός
infelicità	δυστυχία
inferenza	συμπερασμός
inferiore	κατεβάζω
inferire	συμπεραίνω
infermeria	θεραπευτήριο
infermiere	νοσηλευτής
infermità	αδυναμία
inferno	κόλαση
infertilità	στειρότητα
infervorare	γαλβανίζω
infervorato	διεγερμένος
infetto	σηπτικός
infezione	λοίμωξη
infiacchire	εξάτμιση
infiammabile	άφλεκτος
infiammare	ενθουσιάζω
infiammato	καύση
infiammazione	φλεγμονή
infido	δόλιος
infierire	λυσσομανώ
infiltrarsi	διηθητικό κύκλωμα
infimo	κάτω
infingardo	άτονος
infingardo	τεμπέλης
infinitamente	άκρως
infinità	άπειρο
inflazione	εισβολή
inflessibilità	γινάτι
inflessione	κάμψη
infliggere	επιβάλλω
influente	ισχυρός
influenza	γρίπη
influenzare	επηρεάζω
influire	επηρεάζομαι
infondato	αβάσιμος
informale	φιλικός
informare	πληροφορώ
informarsi	έλεγχος ρουτίνας
informatica	πληροφορική
informativo	εκπαιδευτικός
informato	γνώστης
informazione	πληροφορία
infornare	ρίχνω
infortunio	ατύχημα
infradito	σαγιονάρα
infrangibile	άθραυστος
infranto	άφραγκος
infrarosso	υπέρυθρος
infrastruttura	υποδομή
infrazione	καταστρατήγηση
infruttifero	άκαρπος
infruttuoso	άκαρπη
infuocato	αισθησιακός
infuriare	λυσσομανώ
ingabbiare	κλουβί
ingaggio	αρραβώνας
ingannare	απάτη
ingannatore	κομπιναδόρος
ingannevole	παραπλανητικός
inganno	πλάνη
ingarbugliato	αμήχανος
ingegnere	μηχανικός
ingegneria	μηχανική
ingegneria del software	μηχανική λογισμικού
ingegneristico	μηχανική
ingegnerizzare	απεργάζομαι
ingegno	άποψη
ingegnoso	εφευρετικός
ingente	εκτενής
ingerire	καταπίνω
inghiottire	μπουκιά
ingigantire	μεγαλοποιώ
inginocchiarsi	γονατίζω
ingiungere	διοίκηση
ingiunzione	διατάζω
ingiuria	προσβολή
ingiurioso	επιθετικός
ingiustamente	άδικα
ingiustificabile	αδικαιολόγητος
ingiustificato	αβάσιμος
ingiustizia	αδικία
ingiusto	αβάσιμος
inglese	αγγλικά
inglese	Αγγλικά
inglobare	αφομοιώνω
ingoiare	καταβροχθίζω
ingombrante	ογκώδης
ingordigia	απληστία
ingordo	άπληστος
ingorgare	βουλώνω
ingorgo	φράγμα
ingranaggio	εξοπλισμός
ingranare	δάγκωμα
ingrandimento	μεγέθυνση
ingrandire	μεγεθύνω
ingrassamento	παχυντικός
ingrassare	γρασάρω
ingratitudine	αγνωμοσύνη
ingrato	αγνώμων
ingrediente	συστατικό
ingresso	είσοδος
ingrossare	αβγατίζω
ingrosso	χονδρική
inguaribile	έσχατος
inguine	βουβώνας
inibire	αναστέλλω
inibizione	αναστολή
iniezione	ένεση
inimicizia	εχθροπραξία
inimitabile	αμίμητος
ininfluente	άσχετος
ininterrotto	αδιάλειπτος
iniquità	αδικία
iniziale	αρχικός
iniziale	αρχικός
inizializzare	αρχικοποιώ
inizializzazione	έναρξη
iniziare	αρχίζω
iniziativa	δράση
iniziazione	μύηση
inizio	αρχή
innaffiare	θάλασσα
innalzamento	ανάδυση
innalzare	χτίζω
innamoramento	εκτιμώ
innamorare	κάνω
innamorato	αγαπητικιά
innato	έμφυτος
innaturale	αφύσικος
innegabile	αδιάψευστος
innegabilmente	αναμφίβολα
innesco	θρυαλλίδα
innesto	μπόλι
inno	ύμνος
innocente	αθώος
innocenza	αθωότητα
innocuo	αβλαβής
innovativo	καινοτόμος
innovazione	καινοτομία
inoculare	εμβολιάζω
inoffensivo	αβλαβής
inoltrato	προηγούμενος
inoltre	επιπλέον
inoltro	προώθηση
inondare	πλημμυρίζω
inondazione	πλημμύρα
inoperoso	άεργος
inopinabile	αδιανόητος
inopinatamente	αναπάντεχος
inopportuno	ακατάλληλος
inoppugnabile	αδιάσειστος
inospitale	σκληρός
inosservato	απαρατήρητος
inquadrare	αντιλαμβάνομαι
inquadrato	εξισώνω
inqualificabile	άρρητος
inquietante	ενοχλητικός
inquietudine	άγχος
inquilino	ενοικιαστής
inquinamento	μόλυνση
inquinare	μαρτυρώ
inquinato	φάουλ
inquisito	ύποπτη
inquisizione	Ιερά Εξέταση
insalata	σαλάτα
insano	παράφρων
insapore	ακαρύκευτος
insaporire	εποχή
inscindibile	ακατάλυτος
inscusabile	αδικαιολόγητος
insediamento	εγκατάσταση
insediarsi	άγω
insegna	έμβλημα
insegnamento	εκπαίδευση
insegnante	δάσκαλος
insegnare	διδάσκω
inseguimento	επιδίωξη
inseguire	καταδιώκω
insenatura	όρμος
insensato	ανόητος
inseparabile	αδιαχώριστος
inserimento	ολοκλήρωση
inserire	εισπνέω
inserirsi	εγγράφω
inserito	ανοικτό
inserto	καταχώρηση
inserviente	υπηρέτης
inserzione	διαβαθισμένος
insettivoro	εντομοφάγος
insetto	έντομο
insicurezza	ανασφάλεια ουσ
insicuro	αβέβαιος
insidioso	μπερδεμένος
insieme	μαζί
insigne	γιορτασμένος
insignificante	χωρίς σημασία
insincero	ανειλικρινής
insipido	άγευστος
insipienza	άγνοια
insistente	επίμονος
insistere	επιμένω
insofferente	ανυπόμονος
insofferenza	ανυπομονησία
insolazione	ηλιασμός
insolente	αυθάδης
insolentire	προσβάλλω
insolvente	χρεωκοπημένος
insolvibile	άσχημος
insomma	αρκετά
insonne	ακούραστος
insonnia	αϋπνία
insonnolito	νυσταγμένος
insopportabile	αφόρητος
insorgenza	αρχή
insorgere	ανακύπτω
insormontabile	ανυπέρβλητος
insorto	αντάρτης
insorto	αντάρτης
insostenibile	ακατοίκητος
insostituibile	μοναδικός
insperato	αναπάντεχος
inspirare	εισπνέω
inspirazione	εισπνοή
instabile	επισφαλής
installare	θέση
installatore	εγκαταστάτης
installazione	εγκατάσταση
instaurare	θεμελιώνω
instradatore	δρομολογητής
insuccesso	αποτυχία
insudiciare	βεβηλώνω
insufficiente	αποκάτω
insufficientemente	ανεπαρκώς
insufficienza	ανεπάρκεια
insufflare	εμπνέω
insulare	απομονώνω
insulina	ινσουλίνη
insulsaggine	αηδία
insulso	άγευστος
insultare	βρίζω
insulto	βρισιές
insuperabile	αδιάβατος
insuperato	απροσπέραστος
insurrezione	εξέγερση
intaccare	χειροτερεύω
intaglio	γλυπτική
intangibile	άυλος
intanto	εν τω μεταξύ
intarsiare	διακοσμώ
intasamento	εμποδίζω
intatto	άθικτος
integrale	ολοκλήρωμα
integralismo	φονταμενταλισμός
integralista	φονταμενταλιστής
integrare	αλληλοσυμπληρώνω
integrativo	επιπλέον
integrazione	ολοκλήρωση
integrità	εντιμότητα
integro	ακέραιος
intelaiatura	κάδρο
intellettivo	νοήμων
intellettuale	διανοητικός
intellettuale	διανοητικός
